state,year,population,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
US Prison Total,1983,932943873.5999999,0,0,0,0,0,0,12521,174887,187408,20,573,593,368,8870,9238,413,8026,8439,525,14001,14526,612,12753,13365,222,4134,4356,15425,234636,250061,258,3450,3708
US Prison Total,1982,231111445.6,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1982,924445782.4,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1982,924445782.4,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1981,228986922.79999998,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1981,915947691.1999999,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1981,915947691.1999999,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1980,226862400,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1980,907449600,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1980,907449600,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1979,224480020,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1979,897920080,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1979,897920080,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1978,222097640,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
US Prison Total,1978,888390560,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
US Prison Total,1978,888390560,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
