state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Missouri,2000,5449651,3976371,3311194,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1993,25550,27543,0,0,0,1993,25550,27543
Missouri,1999,5414878,3958270.099999999,3292867.599999999,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1891,24264,26155,0,0,0,1891,24264,26155
Missouri,1998,5380105,3940169.1999999993,3274541.1999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1894,23166,25060
Missouri,1997,5345332,3922068.2999999993,3256214.7999999993,NA,NA,NA,0,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1663,22001,23664
Missouri,1996,5310559,3903967.3999999994,3237888.3999999994,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,20539,22003
Missouri,1995,5275786,3885866.4999999995,3219561.9999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,17960,19134
Missouri,1994,5241013,3867765.5999999996,3201235.5999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042,16856,17898
Missouri,1993,5206240,3849664.6999999997,3182909.1999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,15258,16178
Missouri,1992,5171467,3831563.8,3164582.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,15276,16195
Missouri,1991,5136694,3813462.9,3146256.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,15076,15897
Missouri,1990,5101921,3795362,3127930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,14166,14943
Missouri,1989,5083005,3770683.8000000017,3109289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,13203,13921
Missouri,1988,5064089,3746005.6000000015,3090648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,11546,12176
Missouri,1987,5045173,3721327.4000000013,3072007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,10728,11357
Missouri,1986,5026257,3696649.200000001,3053366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,9856,10309
Missouri,1985,5007340,3671971.000000001,3034725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,9415,9796
Missouri,1984,4988424,3647292.8000000007,3016084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,8425,8770
Missouri,1983,4969508,3622614.6000000006,2997443,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,7793,8103
Missouri,1982,4950592,3597936.4000000004,2978802,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,394,7051,7445
Missouri,1981,4931676,3573258.2,2960161,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,265,6224,6489
Missouri,1980,4912760,3548580,2941520,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,236,5490,5726
Missouri,1979,4888484,3505052,2905948,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,203,5076,5279
Missouri,1978,4864208,3461524,2870376,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,182,5455,5637
