state,year,population,population_adult,population_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Oklahoma,1997,3272652.3,2408264.9,2014014.6,0,3,3,0,1,1,0,3,3,0,1,1,NA,NA,NA,3,55,58,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1996,3253290.4,2392683.2,1998718.8,0,3,3,0,5,5,0,4,4,0,2,2,NA,NA,NA,1,47,48,NA,NA,NA,0,4,4,NA,NA,NA
Oklahoma,1995,3233928.5,2377101.5,1983423,1,10,11,0,5,5,1,3,4,0,3,3,NA,NA,NA,0,35,35,NA,NA,NA,0,7,7,NA,NA,NA
Oklahoma,1994,3214566.6,2361519.8,1968127.2,0,5,5,0,3,3,0,1,1,0,0,0,NA,NA,NA,4,57,61,NA,NA,NA,0,3,3,NA,NA,NA
Oklahoma,1993,3195204.7,2345938.1,1952831.4,0,4,4,0,5,5,0,2,2,0,0,0,NA,NA,NA,4,33,37,NA,NA,NA,0,8,8,NA,NA,NA
Oklahoma,1992,3175842.8,2330356.4,1937535.6,0,5,5,0,4,4,0,2,2,0,2,2,NA,NA,NA,2,29,31,NA,NA,NA,0,4,4,NA,NA,NA
Oklahoma,1991,3156480.9,2314774.7,1922239.8,0,3,3,0,0,0,0,3,3,0,0,0,NA,NA,NA,2,21,23,NA,NA,NA,0,3,3,NA,NA,NA
Oklahoma,1990,3137119,2299193,1906944,1,2,3,1,3,4,NA,NA,NA,0,1,1,NA,NA,NA,0,24,24,NA,NA,NA,0,4,4,NA,NA,NA
Oklahoma,1989,3126003.1,2285801.7,1897837.6,0,5,5,1,0,1,NA,NA,NA,0,0,0,NA,NA,NA,0,23,23,NA,NA,NA,0,4,4,NA,NA,NA
Oklahoma,1988,3114887.2,2272410.4,1888731.2,0,2,2,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,19,20,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1987,3103771.3,2259019.1,1879624.8,0,4,4,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA,0,20,20,NA,NA,NA,1,5,6,NA,NA,NA
Oklahoma,1986,3092655.4,2245627.8,1870518.4,0,6,6,1,1,2,NA,NA,NA,0,0,0,NA,NA,NA,1,11,12,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1985,3081539.5,2232236.5,1861412,0,12,12,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA,0,11,11,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1984,3070423.6,2218845.2,1852305.6,0,6,6,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,12,12,NA,NA,NA,0,1,1,NA,NA,NA
Oklahoma,1983,3059307.7,2205453.9,1843199.2,0,7,7,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,8,8,NA,NA,NA,0,0,0,NA,NA,NA
Oklahoma,1982,3048191.8,2192062.6,1834092.8,0,3,3,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,8,8,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1981,3037075.9,2178671.3,1824986.4,0,3,3,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,3,4,NA,NA,NA,0,0,0,NA,NA,NA
Oklahoma,1980,3025960,2165280,1815880,0,3,3,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA,0,4,4,NA,NA,NA,0,2,2,NA,NA,NA
Oklahoma,1979,2978784,2120052,1777322,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,3,3,NA,NA,NA
Oklahoma,1978,2931608,2074824,1738764,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,9,9,NA,NA,NA,1,2,3,NA,NA,NA
