state,year,population,population_adult,population_adult_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Iowa,2006,2982085,2275603,1870476,0,0,0,0,1,1,461,3075,3536,247,1870,2117,0,0,0,0,0,0,NA,NA,NA,141,751,892,2,18,20,855,5718,6573,4,3,7
Iowa,2005,2848266,2191376,1802448,0,0,0,1,6,7,509,3102,3611,216,1734,1950,0,0,0,0,0,0,118,703,821,0,0,0,1,14,15,849,5559,6408,4,0,4
Iowa,2004,2849976,2170380,1796139,0,0,0,NA,229,NA,NA,3487,NA,NA,80,NA,0,0,0,0,0,0,NA,780,NA,0,0,0,NA,17,NA,NA,6379,NA,NA,13,NA
Iowa,2003,2846089,2155627,1782647,0,0,0,101,541,642,459,3047,3506,22,648,670,21,94,115,16,193,209,42,338,380,101,530,631,2,32,34,771,5510,6281,7,87,94
Iowa,2002,2838815,2145832,1764550,0,0,0,81,504,585,465,3087,3552,47,627,674,24,117,141,15,188,203,31,261,292,80,515,595,4,55,59,755,5451,6206,8,97,105
Iowa,2001,2819039,2099158,1722578,0,0,0,64,407,471,396,2930,3326,23,518,541,17,120,137,13,168,181,26,229,255,29,311,340,3,43,46,578,4806,5384,7,80,87
Iowa,2000,2820668,2089720,1708728,0,0,0,57,343,400,340,2924,3264,11,534,545,18,99,117,23,164,187,32,223,255,26,217,243,3,42,45,513,4604,5117,3,58,61
Iowa,1999,2815267,2085645,1702833.4000000008,NA,NA,NA,99,403,502,315,2641,2956,4,97,101,18,102,120,15,134,149,28,228,256,30,191,221,6,49,55,636,3924,4560,121,79,200
Iowa,1998,2809866,2081570,1696938.8000000007,NA,NA,NA,NA,NA,NA,370,2942,3312,3,63,66,23,105,128,6,112,118,33,197,230,24,160,184,5,36,41,588,4210,4798,9,92,101
Iowa,1997,2804465,2077495,1691044.2000000007,NA,NA,NA,NA,NA,NA,332,2538,2870,6,50,56,19,137,156,11,107,118,40,217,257,28,192,220,7,45,52,552,3889,4441,9,81,90
Iowa,1996,2799064,2073420,1685149.6000000006,NA,NA,NA,NA,NA,NA,282,2322,2604,9,45,54,18,114,132,4,122,126,28,270,298,26,210,236,3,29,32,471,3685,4156,7,71,78
Iowa,1995,2793663,2069345,1679255.0000000005,NA,NA,NA,NA,NA,NA,282,2150,2432,7,64,71,20,121,141,4,110,114,31,338,369,28,234,262,0,25,25,471,3601,4072,5,91,96
Iowa,1994,2788262,2065270,1673360.4000000004,NA,NA,NA,NA,NA,NA,240,2044,2284,10,69,79,23,163,186,4,101,105,36,403,439,26,240,266,7,37,44,441,3673,4114,7,101,108
Iowa,1993,2782861,2061195,1667465.8000000003,NA,NA,NA,NA,NA,NA,205,1939,2144,2,49,51,7,125,132,10,99,109,22,345,367,27,254,281,1,35,36,326,3285,3611,7,100,107
Iowa,1992,2777460,2057120,1661571.2000000002,NA,NA,NA,NA,NA,NA,213,1955,2168,3,63,66,6,42,48,11,129,140,9,359,368,16,207,223,3,18,21,275,3065,3340,6,83,89
Iowa,1991,2772059,2053045,1655676.6,NA,NA,NA,NA,NA,NA,185,1633,1818,3,62,65,4,51,55,6,116,122,9,345,354,14,251,265,1,28,29,234,2751,2985,4,65,69
Iowa,1990,2766658,2048970,1649782,NA,NA,NA,NA,NA,NA,202,1787,1989,14,67,81,1,38,39,14,274,288,8,153,161,24,251,275,2,20,22,275,2826,3101,3,56,59
Iowa,1989,2781782,2052287,1657121.7999999996,NA,NA,NA,NA,NA,NA,178,1729,1907,3,86,89,1,25,26,11,141,152,8,126,134,29,470,499,0,11,11,242,2825,3067,5,68,73
Iowa,1988,2796906,2055604,1664461.5999999996,NA,NA,NA,NA,NA,NA,132,1453,1585,6,71,77,0,10,10,10,185,195,13,172,185,42,376,418,0,9,9,213,2543,2756,3,69,72
Iowa,1987,2812031,2058921,1671801.3999999997,NA,NA,NA,NA,NA,NA,109,1367,1476,6,64,70,0,7,7,12,167,179,8,213,221,28,307,335,0,15,15,169,2347,2516,2,54,56
Iowa,1986,2827155,2062238,1679141.1999999997,NA,NA,NA,NA,NA,NA,74,1335,1409,2,39,41,1,23,24,6,118,124,7,160,167,15,326,341,0,11,11,112,2174,2286,2,49,51
Iowa,1985,2842279,2065555,1686480.9999999998,NA,NA,NA,NA,NA,NA,84,1372,1456,0,1,1,2,29,31,3,52,55,9,147,156,14,228,242,1,22,23,129,2115,2244,8,131,139
Iowa,1984,2857403,2068872,1693820.7999999998,NA,NA,NA,NA,NA,NA,47,1277,1324,0,0,0,1,34,35,2,59,61,4,124,128,6,182,188,0,22,22,68,1952,2020,4,136,140
Iowa,1983,2872527,2072189,1701160.5999999999,NA,NA,NA,NA,NA,NA,56,1311,1367,0,0,0,1,18,19,2,53,55,2,56,58,6,144,150,1,27,28,80,1890,1970,6,148,154
Iowa,1982,2887652,2075506,1708500.4,NA,NA,NA,NA,NA,NA,52,1168,1220,7,160,167,1,15,16,2,46,48,2,51,53,4,95,99,2,39,41,77,1736,1813,0,0,0
Iowa,1981,2902776,2078823,1715840.2,NA,NA,NA,NA,NA,NA,86,1139,1225,1,140,141,0,23,23,1,34,35,3,38,41,11,50,61,0,41,41,119,1634,1753,0,0,0
Iowa,1980,2917900,2082140,1723180,NA,NA,NA,NA,NA,NA,67,978,1045,0,1,1,1,10,11,2,42,44,2,22,24,0,0,0,0,22,22,88,1205,1293,0,0,0
Iowa,1979,2908530,2057646,1701112,NA,NA,NA,NA,NA,NA,51,899,950,0,10,10,0,5,5,1,12,13,5,22,27,11,54,65,0,29,29,79,1120,1199,0,0,0
Iowa,1978,2899160,2033152,1679044,0,0,0,6,44,50,51,741,792,0,0,0,0,0,0,0,4,4,6,27,33,11,79,90,0,24,24,74,919,993,0,0,0
