state,year,population,population_adult,population_adult_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Idaho,2006,1466465,1073063,916276,4,11,15,433,1228,1661,198,1077,1275,NA,12,NA,34,257,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,3110,3835,NA,NA,NA,NA,NA,NA,52,509,561
Idaho,2005,1408650,1028287,882529,2,9,11,373,1187,1560,154,958,1112,4,1,5,36,278,314,0,0,0,0,0,0,0,0,0,611,2962,3573,0,0,0,0,0,0,42,513,555
Idaho,2004,1360152,989067,847303,0,0,0,337,1225,1562,146,894,1040,0,10,10,48,266,314,0,0,0,0,0,0,0,0,0,564,2926,3490,0,0,0,0,0,0,33,519,552
Idaho,2003,1333165,963572,824794,0,0,0,288,1002,1290,198,981,1179,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,526,2513,3039,0,0,0,0,0,0,38,513,551
Idaho,2002,1308320,945405,811531,0,0,0,260,940,1200,149,987,1136,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,439,2425,2864,0,0,0,0,0,0,29,481,510
Idaho,2001,1289492,915983,784558,0,0,0,235,882,1117,125,813,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,2143,2539,0,0,0,0,0,0,36,430,466
Idaho,2000,1272112,913964,774152,0,0,0,225,793,1018,98,717,815,2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,405,2309,2714,0,0,0,0,0,0,23,368,391
Idaho,1999,1243992,891740,754785.6000000002,NA,NA,NA,237,792,1029,65,605,670,2,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,1455,1759,0,18,18,NA,NA,NA,0,10,10
Idaho,1998,1215873,869516,735419.2000000002,NA,NA,NA,238,901,1139,89,899,988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,341,2145,2486,0,0,0,NA,NA,NA,8,323,331
Idaho,1997,1187753,847292,716052.8000000002,NA,NA,NA,210,850,1060,64,680,744,NA,NA,NA,16,126,142,0,0,0,0,0,0,NA,NA,NA,313,1933,2246,0,0,0,0,0,0,22,258,280
Idaho,1996,1159634,825068,696686.4000000001,NA,NA,NA,165,878,1043,63,638,701,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,244,1778,2022,0,0,0,0,0,0,16,246,262
Idaho,1995,1131514,802844,677320.0000000001,NA,NA,NA,110,831,941,60,599,659,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,182,1664,1846,0,0,0,0,0,0,12,226,238
Idaho,1994,1103394,780620,657953.6000000001,NA,NA,NA,84,621,705,29,422,451,NA,NA,NA,2,37,39,1,10,11,0,5,5,NA,NA,NA,133,1310,1443,4,37,41,0,0,0,10,154,164
Idaho,1993,1075275,758396,638587.2000000001,NA,NA,NA,94,550,644,43,471,514,NA,NA,NA,0,37,37,0,14,14,0,4,4,NA,NA,NA,147,1273,1420,4,36,40,0,0,0,3,141,144
Idaho,1992,1047155,736172,619220.8,NA,NA,NA,80,623,703,32,375,407,NA,NA,NA,2,35,37,1,19,20,0,2,2,NA,NA,NA,123,1220,1343,2,23,25,0,0,0,6,130,136
Idaho,1991,1019036,713948,599854.4,NA,NA,NA,74,541,615,28,375,403,NA,NA,NA,0,0,0,1,20,21,0,4,4,NA,NA,NA,112,1108,1220,0,17,17,0,1,1,8,138,146
Idaho,1990,990916,691724,580488,NA,NA,NA,88,492,580,15,220,235,NA,NA,NA,0,0,0,0,11,11,0,1,1,NA,NA,NA,108,910,1018,0,0,0,0,0,0,5,152,157
Idaho,1989,986304,686259.6000000002,577525.2000000004,NA,NA,NA,55,409,464,15,237,252,NA,NA,NA,0,0,0,1,26,27,0,0,0,NA,NA,NA,81,856,937,0,0,0,0,0,0,9,165,174
Idaho,1988,981693,680795.2000000002,574562.4000000004,NA,NA,NA,22,397,419,15,263,278,NA,NA,NA,0,0,0,0,1,1,0,1,1,NA,NA,NA,48,865,913,0,0,0,0,4,4,10,177,187
Idaho,1987,977081,675330.8000000002,571599.6000000003,NA,NA,NA,32,422,454,23,295,318,NA,NA,NA,0,0,0,0,1,1,0,4,4,NA,NA,NA,67,877,944,0,0,0,0,3,3,11,135,146
Idaho,1986,972470,669866.4000000001,568636.8000000003,NA,NA,NA,24,368,392,14,226,240,NA,NA,NA,0,3,3,0,2,2,0,1,1,NA,NA,NA,45,763,808,0,21,21,0,1,1,7,113,120
Idaho,1985,967858,664402.0000000001,565674.0000000002,NA,NA,NA,0,13,13,9,232,241,NA,NA,NA,0,0,0,15,377,392,0,5,5,0,0,0,32,834,866,3,84,87,0,0,0,4,98,102
Idaho,1984,963246,658937.6000000001,562711.2000000002,NA,NA,NA,34,342,376,6,295,301,NA,NA,NA,0,0,0,0,0,0,0,3,3,NA,NA,NA,43,743,786,0,0,0,0,0,0,3,90,93
Idaho,1983,958635,653473.2000000001,559748.4000000001,NA,NA,NA,23,360,383,16,244,260,NA,NA,NA,0,0,0,0,1,1,0,5,5,NA,NA,NA,45,679,724,0,0,0,0,0,0,4,63,67
Idaho,1982,954023,648008.8,556785.6000000001,NA,NA,NA,32,371,403,9,210,219,NA,NA,NA,0,0,0,0,1,1,0,1,1,0,0,0,45,691,736,0,0,0,0,1,1,4,69,73
Idaho,1981,949412,642544.4,553822.8,NA,NA,NA,24,271,295,8,195,203,NA,NA,NA,0,0,0,0,2,2,0,4,4,0,0,0,38,577,615,0,0,0,0,0,0,5,80,85
Idaho,1980,944800,637080,550860,NA,NA,NA,23,266,289,8,211,219,NA,NA,NA,0,0,0,0,2,2,0,4,4,0,0,0,40,585,625,0,0,0,1,0,1,5,74,79
Idaho,1979,922310,617972,533884,NA,NA,NA,15,218,233,9,223,232,NA,NA,NA,0,0,0,0,2,2,1,3,4,0,0,0,31,599,630,3,34,37,0,0,0,2,81,83
Idaho,1978,899820,598864,516908,1,10,11,23,248,271,9,224,233,0,4,4,0,0,0,0,3,3,0,3,3,0,0,0,35,590,625,1,27,28,0,0,0,1,58,59
