state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Massachusetts,1991,6036476,4663588.1,3903205.2,NA,NA,NA,13,820,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,60,636,8779,9415
Massachusetts,1990,6015898,4664662,3904454,NA,NA,NA,12,418,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,12,80,596,7749,8345
Massachusetts,1989,5986810,4620995.800000002,3869056.599999999,NA,NA,NA,12,365,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,498,7026,7524
Massachusetts,1988,5957722,4577329.6000000015,3833659.1999999993,NA,NA,NA,5,298,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,6310,6757
Massachusetts,1987,5928635,4533663.400000001,3798261.7999999993,NA,NA,NA,0,142,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,5859,6268
Massachusetts,1986,5899547,4489997.200000001,3762864.3999999994,NA,NA,NA,0,102,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,5310,5636
Massachusetts,1985,5870459,4446331.000000001,3727466.9999999995,NA,NA,NA,0,123,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,5079,5390
Massachusetts,1984,5841371,4402664.800000001,3692069.5999999996,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,4619,4883
Massachusetts,1983,5812283,4358998.600000001,3656672.1999999997,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,4244,4482
Massachusetts,1982,5783196,4315332.4,3621274.8,NA,NA,NA,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,217,4117,4334
Massachusetts,1981,5754108,4271666.2,3585877.4,NA,NA,NA,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,192,3697,3889
Massachusetts,1980,5725020,4228e3,3550480,NA,NA,NA,0,125,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,106,3079,3185
Massachusetts,1979,5720268,4185280,3514102,NA,NA,NA,0,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,87,2837,2924
Massachusetts,1978,5715516,4142560,3477724,NA,NA,NA,0,119,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,7,82,2724,2806
