state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
New Mexico,1990,6,100,106,0,6,6,16,295,311,101,1646,1747,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,32,38,136,2561,2697
New Mexico,1991,6,91,97,0,4,4,16,300,316,83,1711,1794,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,22,129,2551,2680
New Mexico,1992,7,112,119,0,4,4,26,339,365,96,1761,1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,12,149,2622,2771
New Mexico,1993,4,113,117,0,5,5,28,367,395,102,1868,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,38,155,2788,2943
New Mexico,1994,4,137,141,0,2,2,27,402,429,95,2006,2101,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,32,63,129,2948,3077
New Mexico,1995,10,142,152,0,5,5,46,444,490,116,2093,2209,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,131,172,181,3078,3259
New Mexico,1996,23,199,222,0,13,13,65,495,560,178,2305,2483,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,290,3639,3929
New Mexico,1997,20,218,238,NA,NA,NA,57,488,545,175,2465,2640,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,297,3595,3892
New Mexico,1998,21,253,274,NA,NA,NA,54,506,560,151,2606,2757,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,240,3900,4140
New Mexico,1999,21,261,282,NA,NA,NA,49,533,582,184,2690,2874,0,0,0,0,0,0,NA,NA,NA,19,157,176,280,3842,4122
New Mexico,2e3,43,219,262,NA,NA,NA,65,490,555,246,2859,3105,3,7,10,51,0,51,NA,NA,NA,9,28,37,145,1170,1315
New Mexico,2001,39,291,330,NA,NA,NA,58,511,569,258,3101,3359,2,3,5,0,0,0,NA,NA,NA,7,24,31,153,1212,1365
New Mexico,2002,45,334,379,NA,NA,NA,63,526,589,268,3240,3508,1,4,5,0,0,0,NA,NA,NA,6,129,135,133,1227,1360
New Mexico,2003,43,373,416,NA,NA,NA,55,585,640,292,3305,3597,0,5,5,NA,NA,NA,NA,NA,NA,13,60,73,173,1308,1481
New Mexico,2004,35,388,423,NA,NA,NA,58,549,607,312,3455,3767,1,5,6,0,0,0,NA,NA,NA,7,8,15,166,1378,1544
New Mexico,2005,55,354,409,NA,NA,NA,61,515,576,341,3600,3941,0,1,1,0,0,0,0,0,0,9,5,14,196,1416,1612
New Mexico,2006,42,409,451,NA,NA,NA,57,532,589,359,3588,3947,0,3,3,0,0,0,0,0,0,8,5,13,198,1420,1618
New Mexico,2007,45,428,473,NA,NA,NA,45,519,564,301,3503,3804,0,4,4,0,0,0,0,0,0,9,3,12,175,1416,1591
New Mexico,2008,44,460,504,NA,NA,NA,46,487,533,304,3440,3744,0,5,5,0,0,0,0,0,0,12,7,19,160,1344,1504
New Mexico,2009,46,484,530,NA,NA,NA,44,492,536,346,3370,3716,1,6,7,NA,NA,NA,0,0,0,5,43,48,156,1368,1524
New Mexico,2010,44,489,533,NA,NA,NA,46,472,518,321,3537,3858,1,6,7,84,1,83,0,0,0,12,30,42,174,1428,1602
New Mexico,2011,51,498,549,NA,NA,NA,55,505,560,311,3666,3977,2,7,9,0,0,0,0,0,0,7,24,31,203,1561,1764
New Mexico,2012,11,80,91,NA,NA,NA,47,485,532,385,3949,4334,0,8,8,0,0,0,0,0,0,9,25,34,177,1448,1625
New Mexico,2013,56,448,504,NA,NA,NA,48,461,509,357,3658,4015,1,11,12,0,0,0,0,0,0,6,36,42,184,1489,1673
New Mexico,2014,69,443,512,NA,NA,NA,38,465,503,382,3777,4159,0,14,14,0,0,0,0,0,0,2,40,42,181,1526,1707
New Mexico,2015,51,442,493,NA,NA,NA,40,468,508,404,3871,4275,0,16,16,0,0,0,0,0,0,1,45,46,207,1545,1752
New Mexico,2016,50,435,485,NA,NA,NA,35,462,497,396,3745,4141,0,15,15,0,0,0,0,0,0,27,129,156,201,1540,1741
