state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Vermont,1988,NA,NA,NA,NA,NA,NA,10,415,425,0,0,0,NA,NA,NA,NA,NA,NA,2,5,7,0,30,30,NA,NA,NA,12,485,497,0,0,0
Vermont,1989,NA,NA,NA,NA,NA,NA,14,455,469,0,0,0,NA,NA,NA,NA,NA,NA,1,4,5,2,17,19,NA,NA,NA,17,499,516,0,0,0
Vermont,1990,NA,NA,NA,NA,NA,NA,21,520,541,0,0,0,NA,NA,NA,NA,NA,NA,0,61,61,1,30,31,NA,NA,NA,25,654,679,2,7,9
Vermont,1991,NA,NA,NA,NA,NA,NA,12,298,310,0,0,0,NA,NA,NA,NA,NA,NA,0,31,31,1,45,46,NA,NA,NA,15,455,470,0,28,28
Vermont,1992,NA,NA,NA,NA,NA,NA,16,216,232,0,0,0,NA,NA,NA,NA,NA,NA,0,81,81,0,99,99,NA,NA,NA,18,464,482,0,22,22
Vermont,1993,NA,NA,NA,NA,NA,NA,18,304,322,0,0,0,NA,NA,NA,NA,NA,NA,1,31,32,6,76,82,NA,NA,NA,27,470,497,2,48,50
Vermont,1994,NA,NA,NA,NA,NA,NA,10,328,338,0,0,0,NA,NA,NA,NA,NA,NA,1,30,31,4,50,54,NA,NA,NA,16,428,444,1,10,11
Vermont,1995,NA,NA,NA,NA,NA,NA,32,379,411,0,0,0,NA,NA,NA,NA,NA,NA,2,14,16,5,94,99,NA,NA,NA,41,529,570,0,12,12
Vermont,1996,NA,NA,NA,NA,NA,NA,10,194,204,10,279,289,NA,NA,NA,NA,NA,NA,2,145,147,14,88,102,NA,NA,NA,36,767,803,0,11,11
Vermont,1997,NA,NA,NA,NA,NA,NA,10,200,210,43,454,497,NA,NA,NA,NA,NA,NA,1,150,151,10,84,94,NA,NA,NA,66,991,1057,0,5,5
Vermont,1998,NA,NA,NA,NA,NA,NA,16,195,211,33,362,395,NA,NA,NA,NA,NA,NA,4,66,70,4,48,52,NA,NA,NA,65,759,824,0,2,2
Vermont,1999,0,0,0,8,87,95,38,209,247,32,391,423,0,0,0,0,0,0,5,71,76,4,57,61,NA,NA,NA,88,817,905,1,2,3
Vermont,2e3,0,0,0,10,87,97,43,343,386,33,394,427,0,0,0,0,0,0,4,94,98,1,72,73,0,0,0,91,993,1084,0,3,3
Vermont,2001,0,0,0,11,92,103,46,307,353,49,402,451,0,0,0,0,0,0,1,95,96,2,70,72,0,0,0,109,969,1078,0,3,3
Vermont,2002,13,76,89,0,0,0,91,676,767,0,0,0,41,222,263,96,551,647,1,27,28,9,71,80,0,0,0,251,1623,1874,0,0,0
Vermont,2003,17,63,80,NA,NA,NA,109,796,905,NA,NA,NA,35,211,246,121,610,731,2,39,41,4,60,64,NA,NA,NA,288,1779,2067,NA,NA,NA
Vermont,2004,13,79,92,NA,NA,NA,117,858,975,NA,NA,NA,21,225,246,119,742,861,4,42,46,5,75,80,NA,NA,NA,279,2021,2300,NA,NA,NA
Vermont,2005,12,77,89,NA,NA,NA,156,847,1003,NA,NA,NA,37,191,228,106,734,840,7,47,54,19,113,132,NA,NA,NA,337,2009,2346,NA,NA,NA
Vermont,2006,12,66,78,0,0,0,127,898,1025,0,0,0,39,222,261,146,751,897,5,37,42,17,98,115,0,0,0,346,2072,2418,0,0,0
Vermont,2007,2,11,13,0,0,0,98,710,808,0,0,0,26,122,148,186,1083,1269,18,69,87,9,41,50,0,0,0,339,2036,2375,0,0,0
Vermont,2008,1,9,10,0,0,0,88,711,799,0,0,0,17,110,127,217,996,1213,9,82,91,10,33,43,0,0,0,342,1941,2283,0,0,0
Vermont,2009,1,3,4,0,0,0,85,628,713,0,0,0,29,106,135,168,929,1097,17,100,117,9,35,44,0,0,0,309,1801,2110,0,0,0
Vermont,2010,1,3,4,0,0,0,93,637,730,0,0,0,28,112,140,174,906,1080,19,76,95,8,26,34,0,0,0,323,1760,2083,NA,0,NA
Vermont,2011,0,0,0,0,0,0,82,558,640,0,0,0,26,132,158,174,935,1109,13,83,96,5,36,41,0,0,0,300,1744,2044,0,0,0
Vermont,2012,0,6,6,0,0,0,59,538,597,0,0,0,25,135,160,147,874,1021,15,82,97,8,29,37,0,0,0,254,1664,1918,0,0,0
Vermont,2013,1,1,2,0,0,0,72,590,662,0,0,0,23,118,141,135,765,900,18,94,112,10,33,43,0,0,0,259,1601,1860,0,0,0
Vermont,2014,1,1,2,0,0,0,73,528,601,0,0,0,16,118,134,166,673,839,15,79,94,9,38,47,0,0,0,280,1437,1717,0,0,0
Vermont,2015,1,1,2,0,0,0,73,528,601,0,0,0,16,118,134,166,673,839,15,79,94,9,38,47,0,0,0,280,1437,1717,0,0,0
Vermont,2016,1,1,2,0,0,0,73,528,601,0,0,0,16,118,134,166,673,839,15,79,94,9,38,47,0,0,0,280,1437,1717,0,0,0
