state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Minnesota,1992,NA,NA,NA,NA,NA,NA,172,1972,2144,0,0,0,NA,NA,NA,NA,NA,NA,5,189,194,49,522,571,0,0,0,229,2689,2918,0,0,0
Minnesota,1993,NA,NA,NA,NA,NA,NA,158,2033,2191,0,0,0,0,127,127,53,664,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,2824,3035,NA,NA,NA
Minnesota,1994,NA,NA,NA,NA,NA,NA,185,2029,2214,0,0,0,5,135,140,53,733,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,2897,3140,NA,NA,NA
Minnesota,1995,NA,NA,NA,NA,NA,NA,194,2164,2358,0,0,0,7,127,134,53,771,824,0,0,0,0,6,6,NA,NA,NA,254,3068,3322,NA,NA,NA
Minnesota,1996,NA,NA,NA,NA,NA,NA,186,2292,2478,0,0,0,11,136,147,33,638,671,0,1,1,0,7,7,NA,NA,NA,230,3074,3304,NA,NA,NA
Minnesota,1997,NA,NA,NA,NA,NA,NA,232,2308,2540,0,0,0,9,131,140,58,859,917,0,0,0,0,0,0,NA,NA,NA,299,3298,3597,NA,NA,NA
Minnesota,1998,NA,NA,NA,NA,NA,NA,271,2730,3001,0,0,0,5,134,139,68,1099,1167,0,0,0,0,0,0,NA,NA,NA,344,3963,4307,NA,NA,NA
Minnesota,1999,NA,NA,NA,NA,NA,NA,312,2744,3056,1,38,39,5,161,166,88,1208,1296,0,0,0,0,0,0,NA,NA,NA,406,4151,4557,NA,NA,NA
Minnesota,2e3,0,0,0,0,0,0,304,2719,3023,0,9,9,2,151,153,92,1129,1221,0,0,0,0,0,0,0,0,0,398,4008,4406,0,0,0
Minnesota,2001,0,0,0,0,0,0,286,2788,3074,8,93,101,5,133,138,70,1237,1307,0,0,0,0,0,0,0,0,0,370,4275,4645,1,24,25
Minnesota,2002,0,0,0,0,0,0,387,3173,3560,0,0,0,10,151,161,109,1435,1544,0,0,0,0,0,0,0,0,0,506,4774,5280,0,15,15
Minnesota,2003,0,0,0,0,0,0,411,3646,4057,0,0,0,9,189,198,117,1542,1659,0,0,0,0,0,0,0,0,0,537,5377,5914,0,0,0
Minnesota,2004,0,0,0,0,0,0,475,3912,4387,0,0,0,15,223,238,143,1836,1979,0,0,0,0,0,0,0,0,0,633,5971,6604,0,0,0
Minnesota,2005,0,0,0,0,0,0,513,4155,4668,0,0,0,0,0,0,0,0,0,24,257,281,141,2022,2163,0,0,0,678,6452,7130,0,18,18
Minnesota,2006,NA,NA,NA,NA,NA,NA,501,4269,4770,0,6,6,0,0,0,0,0,0,11,234,245,173,2059,2232,NA,NA,NA,685,6576,7261,0,8,8
Minnesota,2007,NA,NA,NA,NA,NA,NA,534,4533,5067,0,8,8,NA,NA,NA,NA,NA,NA,9,283,292,188,2301,2489,NA,NA,NA,731,7128,7859,0,3,3
Minnesota,2008,NA,NA,NA,NA,NA,NA,536,4383,4919,0,12,12,NA,NA,NA,NA,NA,NA,15,332,347,140,2137,2277,NA,NA,NA,691,6880,7571,0,16,16
Minnesota,2009,NA,NA,NA,NA,NA,NA,544,4245,4789,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,296,310,174,2088,2262,NA,NA,NA,734,6635,7369,2,6,8
Minnesota,2010,0,0,0,0,0,0,478,4044,4522,0,0,0,0,0,0,0,0,0,13,289,302,173,1992,2165,0,0,0,664,6335,6999,NA,10,NA
Minnesota,2011,0,0,0,0,0,0,519,3943,4462,0,0,0,0,0,0,0,0,0,11,332,343,184,2225,2409,0,0,0,714,6511,7225,0,11,11
Minnesota,2012,0,0,0,0,0,0,588,4147,4735,0,0,0,0,0,0,0,0,0,17,344,361,179,2137,2316,0,0,0,784,6639,7423,0,11,11
Minnesota,2013,0,0,0,0,0,0,601,4300,4901,0,0,0,0,0,0,0,0,0,14,339,353,210,2223,2433,0,0,0,826,6874,7700,1,12,13
Minnesota,2014,0,0,0,0,0,0,643,4452,5095,0,0,0,0,0,0,0,0,0,1,121,122,213,2436,2649,0,0,0,857,7019,7876,0,10,10
Minnesota,2015,0,0,0,0,0,0,669,4448,5117,0,0,0,0,0,0,0,0,0,12,315,327,238,2375,2613,0,0,0,919,7156,8075,0,18,18
Minnesota,2016,0,0,0,0,0,0,669,4176,4845,0,0,0,0,0,0,0,0,0,8,291,299,289,2594,2883,0,0,0,967,7070,8037,1,9,10
