state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
US Prison Total,1994,768,8515,9283,300,5705,6005,30089,471583,501672,7356,149552,156908,NA,NA,NA,0,0,0,NA,NA,NA,5469,68178,73647,27714,436453,464167
US Prison Total,1995,874,9302,10176,340,6143,6483,33245,510760,544005,8073,166221,174294,NA,NA,NA,0,0,0,NA,NA,NA,4793,105809,110602,29225,425796,455021
US Prison Total,1996,959,10434,11393,428,7154,7582,35409,530140,565549,9241,177520,186761,NA,NA,NA,0,0,0,NA,NA,NA,5563,110703,116266,32172,446136,478308
US Prison Total,1997,1006,11367,12373,NA,NA,NA,37084,553370,590454,9846,188827,198673,232,1889,2121,0,0,0,NA,NA,NA,5998,118219,124217,34567,470946,505513
US Prison Total,1998,1155,12241,13396,NA,NA,NA,38817,577289,616106,10183,198154,208337,205,2104,2309,0,0,0,NA,NA,NA,5935,121417,127352,37645,495593,533238
US Prison Total,1999,1258,13322,14580,NA,NA,NA,40528,597462,637990,10550,208154,218704,263,2114,2377,108229,4742,103487,NA,NA,NA,569,8119,8688,42326,539406,581732
US Prison Total,2e3,1390,13770,15160,NA,NA,NA,39505,597595,637100,10690,207998,218688,310,2324,2634,7613,370,7243,NA,NA,NA,113,1201,1314,41080,483637,524717
US Prison Total,2001,1478,14607,16085,NA,NA,NA,38757,597761,636518,7974,170636,178610,314,2423,2737,7652,378,7274,NA,NA,NA,87,960,1047,43075,504868,547943
US Prison Total,2002,1624,15068,16692,NA,NA,NA,38327,599704,638031,8523,176745,185268,337,2604,2941,7518,373,7145,NA,NA,NA,82,1506,1588,46541,520602,567143
US Prison Total,2003,1713,15588,17301,NA,NA,NA,38306,604155,642461,9007,183682,192689,435,3657,4092,7301,327,6974,NA,NA,NA,135,1472,1607,50244,542030,592274
US Prison Total,2004,1919,16522,18441,NA,NA,NA,37866,608774,646640,9560,187868,197428,390,2989,3379,8413,415,7998,NA,NA,NA,81,1552,1633,53868,554783,608651
US Prison Total,2005,2101,16777,18878,NA,NA,NA,36502,613017,649519,10081,187631,197712,407,2993,3400,9355,447,8908,15,72,87,136,1918,2054,57481,578574,636055
US Prison Total,2006,2196,18105,20301,NA,NA,NA,36860,625842,662702,10687,194639,205326,422,2996,3418,10013,513,9500,31,73,104,157,2164,2321,60437,589728,650165
US Prison Total,2007,2342,18092,20434,NA,NA,NA,36837,638932,675769,10980,205474,216454,433,3040,3473,9745,427,9318,29,150,179,208,2927,3135,61941,591748,653689
US Prison Total,2008,2367,18128,20495,NA,NA,NA,35943,642330,678273,10699,201158,211857,471,3373,3844,10069,424,9645,57,381,438,149,2604,2753,61674,599245,660919
US Prison Total,2009,2531,18532,21063,NA,NA,NA,35038,644219,679257,10867,207097,217964,471,3220,3691,8743,387,8356,53,285,338,166,3643,3809,62819,603761,666580
US Prison Total,2010,2680,18891,21571,NA,NA,NA,33721,635808,669529,10733,207808,218541,481,3121,3602,8421,358,8063,106,482,588,159,3440,3599,63450,603827,667277
US Prison Total,2011,2588,18901,21489,NA,NA,NA,31995,630651,662646,10334,204376,214710,472,3288,3760,7794,293,7501,80,469,549,184,2353,2537,64394,608885,673279
US Prison Total,2012,2561,18211,20772,NA,NA,NA,29394,605355,634749,13453,261023,274476,414,3101,3515,7488,321,7167,74,382,456,173,2557,2730,59863,533731,593594
US Prison Total,2013,2516,17094,19610,NA,NA,NA,28884,600123,629007,13691,261032,274723,368,2721,3089,9558,445,9113,61,408,469,195,3034,3229,61753,534515,596268
US Prison Total,2014,2930,19830,22760,NA,NA,NA,28587,600209,628796,14457,261405,275862,318,2750,3068,9579,509,9070,99,699,798,114,2217,2331,64883,542395,607278
US Prison Total,2015,2848,19994,22842,NA,NA,NA,27554,582338,609892,14397,254342,268739,376,2936,3312,8791,483,8308,57,353,410,181,2367,2548,64685,534559,599244
US Prison Total,2016,2954,19790,22744,NA,NA,NA,26596,569902,596498,14435,259039,273474,346,2866,3212,8738,510,8228,78,404,482,187,2067,2254,65348,521492,586840
