state,year,population,population_adult,population_adult_aged_18_65,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Vermont,2006,623908,491886,417975,0,0,0,38,246,284,28,125,153,0,0,0,255,1371,1626,0,0,0,0,0,0,0,0,0,336,1993,2329,0,0,0,0,0,0,15,245,260
Vermont,2005,609857,474663,403020,NA,NA,NA,71,354,425,22,126,148,NA,NA,NA,216,1230,1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,1937,2260,NA,NA,NA,NA,NA,NA,14,226,240
Vermont,2004,600632,465374,395443,NA,NA,NA,65,354,419,9,107,116,NA,NA,NA,194,1316,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1976,2261,NA,NA,NA,NA,NA,NA,17,198,215
Vermont,2003,598352,462404,390664,NA,NA,NA,47,295,342,4,52,56,NA,NA,NA,218,1166,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,1698,1985,NA,NA,NA,NA,NA,NA,17,180,197
Vermont,2002,595826,457129,387325,0,0,0,36,284,320,7,44,51,0,0,0,174,1155,1329,0,0,0,0,0,0,0,0,0,225,1632,1857,0,0,0,0,0,0,8,144,152
Vermont,2001,592321,458909,389473,0,0,0,2,44,46,36,351,387,0,0,0,41,402,443,0,0,0,0,0,0,0,0,0,96,981,1077,3,5,8,0,0,0,14,175,189
Vermont,2000,593200,439633,365471,0,0,0,2,33,35,35,322,357,0,0,0,29,344,373,NA,NA,NA,0,0,0,0,0,0,86,863,949,2,1,3,0,0,0,18,161,179
Vermont,1999,589813,437316.8999999998,364652.6999999999,0,0,0,3,37,40,26,224,250,0,0,0,33,351,384,0,0,0,0,0,0,NA,NA,NA,74,767,841,1,1,2,0,0,0,11,149,160
Vermont,1998,586427,435000.7999999998,363834.3999999999,NA,NA,NA,1,31,32,25,206,231,NA,NA,NA,42,303,345,0,0,0,0,0,0,NA,NA,NA,75,620,695,0,0,0,0,0,0,2,79,81
Vermont,1997,583040,432684.69999999984,363016.0999999999,NA,NA,NA,2,40,42,1,284,285,NA,NA,NA,40,569,609,0,0,0,0,0,0,NA,NA,NA,53,977,1030,0,3,3,0,0,0,10,80,90
Vermont,1996,579653,430368.59999999986,362197.79999999993,NA,NA,NA,2,28,30,1,337,338,NA,NA,NA,35,562,597,0,0,0,0,0,0,NA,NA,NA,47,1003,1050,0,6,6,0,0,0,9,70,79
Vermont,1995,576266,428052.4999999999,361379.49999999994,NA,NA,NA,26,164,190,14,193,207,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,41,462,503,0,0,0,0,0,0,1,105,106
Vermont,1994,572880,425736.3999999999,360561.19999999995,NA,NA,NA,3,51,54,9,251,260,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,12,344,356,0,8,8,0,0,0,0,34,34
Vermont,1993,569493,423420.29999999993,359742.89999999997,NA,NA,NA,5,46,51,5,234,239,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,22,447,469,0,10,10,0,0,0,2,103,105
Vermont,1992,566106,421104.19999999995,358924.6,NA,NA,NA,4,23,27,10,185,195,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,19,331,350,0,0,0,0,0,0,4,94,98
Vermont,1991,562720,418788.1,358106.3,NA,NA,NA,0,31,31,10,210,220,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,14,404,418,0,4,4,0,0,0,2,107,109
Vermont,1990,559333,416472,357288,NA,NA,NA,3,154,157,2,190,192,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,28,596,624,0,1,1,0,0,0,19,199,218
Vermont,1989,554780,411442.8000000001,352579.1999999999,NA,NA,NA,1,163,164,1,54,55,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,433,443,0,1,1,0,0,0,6,163,169
Vermont,1988,550226,406413.6000000001,347870.3999999999,NA,NA,NA,0,210,210,0,80,80,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,448,449,0,0,0,0,0,0,1,112,113
Vermont,1987,545673,401384.4000000001,343161.5999999999,NA,NA,NA,1,184,185,0,70,70,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,388,389,0,NA,NA,0,0,0,0,95,95
Vermont,1986,541120,396355.20000000007,338452.79999999993,NA,NA,NA,2,54,56,5,155,160,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,8,422,430,0,NA,NA,0,0,0,1,164,165
Vermont,1985,536567,391326.00000000006,333743.99999999994,NA,NA,NA,0,67,67,4,121,125,NA,NA,NA,0,0,0,0,0,0,0,2,2,NA,NA,NA,5,345,350,0,NA,NA,0,1,1,1,119,120
Vermont,1984,532013,386296.80000000005,329035.19999999995,NA,NA,NA,5,77,82,4,133,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,9,327,336,NA,NA,NA,0,0,0,0,99,99
Vermont,1983,527460,381267.60000000003,324326.39999999997,NA,NA,NA,5,96,101,2,186,188,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,9,337,346,0,0,0,0,0,0,1,22,23
Vermont,1982,522907,376238.4,319617.6,NA,NA,NA,7,77,84,2,150,152,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,11,290,301,0,0,0,0,0,0,2,18,20
Vermont,1981,518353,371209.2,314908.8,NA,NA,NA,4,176,180,1,119,120,NA,NA,NA,0,5,5,0,3,3,0,1,1,0,0,0,6,369,375,0,0,0,0,0,0,1,20,21
Vermont,1980,513800,366180,310200,NA,NA,NA,4,176,180,1,109,110,NA,NA,NA,0,5,5,0,3,3,0,1,1,0,12,12,6,375,381,0,0,0,0,0,0,1,20,21
Vermont,1979,506710,357662,302910,NA,NA,NA,2,78,80,5,121,126,NA,NA,NA,0,0,0,0,8,8,0,10,10,0,33,33,8,294,302,0,3,3,0,0,0,0,0,0
Vermont,1978,499620,349144,295620,0,0,0,2,108,110,3,136,139,0,40,40,0,2,2,0,1,1,0,1,1,1,14,15,6,303,309,0,0,0,0,0,0,0,0,0
