state,year,population,population_adult,population_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Florida,1993,13722163.6,10638775.7,8312710.4,0,3,3,0,1,1,1,78,79,0,3,3,NA,NA,NA,1,75,76,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1992,13455743.4,10445090.8,8157762.6,0,0,0,0,2,2,2,65,67,0,2,2,NA,NA,NA,0,60,60,NA,NA,NA,0,6,6,NA,NA,NA
Florida,1991,13189323.2,10251405.9,8002814.8,0,2,2,0,4,4,1,50,51,0,3,3,NA,NA,NA,1,62,63,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1990,12922903,10057721,7847867,0,3,3,0,2,2,NA,NA,NA,0,4,4,NA,NA,NA,4,85,89,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1989,12607470.7,9789654.9,7644042.3,0,2,2,0,6,6,NA,NA,NA,0,2,2,NA,NA,NA,2,88,90,NA,NA,NA,0,4,4,NA,NA,NA
Florida,1988,12292038.4,9521588.8,7440217.6,0,4,4,0,1,1,NA,NA,NA,0,2,2,NA,NA,NA,5,76,81,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1987,11976606.1,9253522.7,7236392.9,0,4,4,0,3,3,NA,NA,NA,0,1,1,NA,NA,NA,3,61,64,NA,NA,NA,0,6,6,NA,NA,NA
Florida,1986,11661173.8,8985456.6,7032568.2,0,5,5,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,2,50,52,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1985,11345741.5,8717390.5,6828743.5,0,1,1,0,1,1,NA,NA,NA,0,3,3,NA,NA,NA,0,39,39,NA,NA,NA,0,5,5,NA,NA,NA
Florida,1984,11030309.2,8449324.4,6624918.8,0,5,5,0,3,3,NA,NA,NA,0,8,8,NA,NA,NA,0,45,45,NA,NA,NA,0,7,7,NA,NA,NA
Florida,1983,10714876.9,8181258.3,6421094.1,0,7,7,0,2,2,NA,NA,NA,0,1,1,NA,NA,NA,1,42,43,NA,NA,NA,0,3,3,NA,NA,NA
Florida,1982,10399444.6,7913192.2,6217269.4,0,6,6,0,5,5,NA,NA,NA,0,0,0,NA,NA,NA,0,36,36,NA,NA,NA,0,2,2,NA,NA,NA
Florida,1981,10084012.3,7645126.1,6013444.7,0,4,4,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA,0,29,29,NA,NA,NA,1,3,4,NA,NA,NA
Florida,1980,9768580,7377060,5809620,0,8,8,0,5,5,NA,NA,NA,0,0,0,NA,NA,NA,0,30,30,NA,NA,NA,1,14,15,NA,NA,NA
Florida,1979,9470802,7104164,5602528,0,7,7,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,27,28,NA,NA,NA,0,23,23,NA,NA,NA
Florida,1978,9173024,6831268,5395436,0,8,8,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,25,26,NA,NA,NA,0,16,16,NA,NA,NA
