state,year,population,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
Texas,2006,23507783,0,0,0,1056,4184,5240,3700,31834,35534,0,0,0,1314,9177,10491,0,0,0,188,1466,1654,174,3248,3422,8128,62285,70413,0,0,0,0,8,8,1625,11546,13171
Texas,2005,22250152,0,0,0,1172,4603,5775,3462,30940,34402,0,2,2,1149,9211,10360,0,0,0,104,975,1079,287,4261,4548,7952,63138,71090,0,0,0,0,3,3,1595,11152,12747
Texas,2004,21890579,0,0,0,1646,6137,7783,3004,24709,27713,0,4,4,1159,8977,10136,0,0,0,0,0,0,380,5221,5601,7555,58249,65804,0,0,0,1,7,8,1096,9994,11090
Texas,2003,21575409,0,0,0,162,1044,1206,1621,12346,13967,0,4,4,1040,8914,9954,0,0,0,497,3810,4307,437,5673,6110,7590,57583,65173,0,0,0,1,8,9,1455,10403,11858
Texas,2002,21288789,0,0,0,1315,5749,7064,3116,27548,30664,0,0,0,0,0,0,0,0,0,319,3246,3565,798,8854,9652,7108,57612,64720,0,0,0,0,7,7,1540,11799,13339
Texas,2001,20773439,0,0,0,1268,5964,7232,3340,28700,32040,0,0,0,0,0,0,0,0,0,175,1837,2012,1114,10843,11957,7700,58528,66228,0,0,0,0,2,2,1790,10769,12559
Texas,2e3,20848171,0,0,0,102,957,1059,2099,16469,18568,0,9,9,1738,12546,14284,0,0,0,0,0,0,1287,12515,13802,9391,77391,86782,0,0,0,0,0,0,1066,7775,8841
Texas,1999,20458492.099999987,0,0,0,76,922,998,1647,9362,11009,0,5,5,2114,12210,14324,0,0,0,0,0,0,1735,16826,18561,6450,45887,52337,0,14,14,0,0,0,863,6119,6982
Texas,1998,20068813.199999988,NA,NA,NA,1359,6290,7649,2387,10650,13037,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1855,18009,19864,8254,46927,55181,NA,NA,NA,NA,NA,NA,2421,10501,12922
Texas,1997,19679134.29999999,NA,NA,NA,39,264,303,1706,8092,9798,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1718,15423,17141,5089,31360,36449,NA,NA,NA,NA,NA,NA,120,1776,1896
Texas,1996,19289455.39999999,NA,NA,NA,10,347,357,1605,10254,11859,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1273,15265,16538,3521,30578,34099,NA,NA,NA,NA,NA,NA,53,1330,1383
Texas,1995,18899776.499999993,NA,NA,NA,128,1452,1580,3286,13863,17149,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,2390,20936,23326,6064,39797,45861,NA,NA,NA,NA,NA,NA,97,1307,1404
Texas,1994,18510097.599999994,NA,NA,NA,51,519,570,860,8701,9561,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,660,6671,7331,1637,16599,18236,NA,NA,NA,NA,NA,NA,40,408,448
Texas,1993,18120418.699999996,NA,NA,NA,75,1022,1097,1036,11433,12469,NA,NA,NA,389,1353,1742,NA,NA,NA,NA,NA,NA,232,3921,4153,1760,18496,20256,NA,NA,NA,0,0,0,23,518,541
Texas,1992,17730739.799999997,NA,NA,NA,65,1036,1101,2322,19808,22130,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,108,2306,2414,2561,27824,30385,0,8,8,0,0,0,8,226,234
Texas,1991,17341060.9,NA,NA,NA,75,1539,1614,2797,28917,31714,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,92,1899,1991,2982,33203,36185,0,1,1,0,0,0,9,197,206
Texas,1990,16951382,NA,NA,NA,5,1275,1280,2929,31567,34496,NA,NA,NA,0,1,1,0,0,0,NA,NA,NA,156,3170,3326,3224,36585,39809,0,3,3,0,0,0,8,118,126
Texas,1989,16683321.799999993,NA,NA,NA,0,822,822,2186,24498,26684,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,268,4776,5044,2558,30785,33343,0,0,0,0,0,0,4,124,128
Texas,1988,16415261.599999994,NA,NA,NA,4,752,756,2005,22918,24923,NA,NA,NA,0,0,0,0,2,2,NA,NA,NA,405,6272,6677,2485,30638,33123,0,0,0,0,0,0,1,125,126
Texas,1987,16147201.399999995,NA,NA,NA,2,1251,1253,1961,19498,21459,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,988,9513,10501,2957,31258,34215,0,0,0,0,0,0,6,170,176
Texas,1986,15879141.199999996,NA,NA,NA,1,1702,1703,1086,15155,16241,NA,NA,NA,1,29,30,0,14,14,NA,NA,NA,898,11979,12877,2340,29348,31688,0,0,0,0,0,0,14,295,309
Texas,1985,15611080.999999996,NA,NA,NA,3,1812,1815,1062,10418,11480,NA,NA,NA,0,52,52,0,2,2,NA,NA,NA,661,11163,11824,1950,23959,25909,2,1,3,0,0,0,14,339,353
Texas,1984,15343020.799999997,NA,NA,NA,0,1861,1861,466,8066,8532,NA,NA,NA,0,80,80,0,5,5,NA,NA,NA,736,9314,10050,1433,20598,22031,3,3,6,0,0,0,42,1155,1197
Texas,1983,15074960.599999998,NA,NA,NA,4,1900,1904,686,8890,9576,NA,NA,NA,0,78,78,0,33,33,NA,NA,NA,694,9004,9698,1664,22085,23749,4,8,12,0,0,0,84,2078,2162
Texas,1982,14806900.399999999,NA,NA,NA,4,993,997,443,7215,7658,NA,NA,NA,0,115,115,0,10,10,0,0,0,436,4738,5174,1114,15382,16496,4,14,18,0,0,0,73,1396,1469
Texas,1981,14538840.2,NA,NA,NA,2,34,36,488,7584,8072,NA,NA,NA,0,66,66,0,1,1,0,0,0,225,3302,3527,896,14244,15140,4,13,17,0,0,0,66,1668,1734
Texas,1980,14270780,NA,NA,NA,2,43,45,464,5277,5741,NA,NA,NA,1,30,31,0,1,1,0,0,0,181,2389,2570,855,11138,11993,0,4,4,0,0,0,99,2180,2279
Texas,1979,13961962,NA,NA,NA,1,34,35,433,6032,6465,NA,NA,NA,1,52,53,0,3,3,0,0,0,73,1044,1117,697,10739,11436,1,22,23,0,0,0,110,2583,2693
Texas,1978,13653144,0,0,0,3,39,42,443,5515,5958,0,10,10,0,44,44,0,3,3,0,0,0,10,129,139,661,9898,10559,3,58,61,0,0,0,173,3595,3768
