state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Texas,1996,13537375.4,11825510,19040858,9686009.4,9354848.6,6985293.8,6552081.6,5978875.4,5846634.6,68152.8,38574.8,29578,53519.6,31140.4,22379.2,48698.6,28629.2,20069.4,491122.8,249594,241528.8,357488.6,184672.4,172816.2,340638.8,173463.6,167175.2,2086869.6,1115030.8,971838.8,1413338.4,768088.4,645250,1276005.6,683591.8,592413.8,5738160.8,2858736,2879424.8,3614055,1830524,1783531,3342619.2,1673261.4,1669357.8,158179.8,79556.2,78623.6,91560.2,45977.8,45582.4,82596.4,40214.6,42381.8,10498372.2,5344517.6,5153854.6,8007413.6,4124890.8,3882522.8,6734951.4,3379714.8,3355236.6,NA,NA,NA,NA,NA,NA,5322,55810,61132,1476,32464,33940,1497,32964,34461,3114,33676,36790
Texas,1995,13302746,11613198.5,18692612,9505753,9186859,6864200.5,6438545.5,5867614.5,5745584,66341,36863.5,29477.5,51961.5,29584,22377.5,47356,27183.5,20172.5,460332.5,234030.5,226302,333808.5,172459.5,161349,318367.5,162362,156005.5,2069633,1101661,967972,1401289,759845.5,641443.5,1263146.5,674775.5,588371,5495354,2737923.5,2757430.5,3458450,1751037.5,1707412.5,3199359,1601011,1598348,134800.5,67736,67064.5,78109,39205.5,38903.5,70514,34336,36178,10466151,5327538.5,5138612.5,7979128,4112068.5,3867059.5,6714455.5,3367946.5,3346509,NA,NA,NA,NA,NA,NA,4404,55602,60006,1111,31156,32267,1135,31635,32770,2396,32594,34990
Texas,1994,13068116.6,11400887,18344366,9325496.6,9018869.4,6743107.2,6325009.4,5756353.6,5644533.4,64529.2,35152.2,29377,50403.4,28027.6,22375.8,46013.4,25737.8,20275.6,429542.2,218467,211075.2,310128.4,160246.6,149881.8,296096.2,151260.4,144835.8,2052396.4,1088291.2,964105.2,1389239.6,751602.6,637637,1250287.4,665959.2,584328.2,5252547.2,2617111,2635436.2,3302845,1671551,1631294,3056098.8,1528760.6,1527338.2,111421.2,55915.8,55505.4,64657.8,32433.2,32224.6,58431.6,28457.4,29974.2,10433929.8,5310559.4,5123370.4,7950842.4,4099246.2,3851596.2,6693959.6,3356178.2,3337781.4,NA,NA,NA,NA,NA,NA,2975,40451,43426,909,25282,26191,4207,42704,46911,1657,26201,27858
Texas,1993,12833487.2,11188575.5,17996120,9145240.2,8850879.8,6622013.9,6211473.3,5645092.7,5543482.8,62717.4,33440.9,29276.5,48845.3,26471.2,22374.1,44670.8,24292.1,20378.7,398751.9,202903.5,195848.4,286448.3,148033.7,138414.6,273824.9,140158.8,133666.1,2035159.8,1074921.4,960238.4,1377190.2,743359.7,633830.5,1237428.3,657142.9,580285.4,5009740.4,2496298.5,2513441.9,3147240,1592064.5,1555175.5,2912838.6,1456510.2,1456328.4,88041.9,44095.6,43946.3,51206.6,25660.9,25545.7,46349.2,22578.8,23770.4,10401708.6,5293580.3,5108128.3,7922556.8,4086423.9,3836132.9,6673463.7,3344409.9,3329053.8,NA,NA,NA,NA,NA,NA,2017,29260,31277,603,15311,15914,615,19876,20491,1175,17184,18359
Texas,1992,12598857.8,10976264,17647874,8964983.8,8682890.2,6500920.6,6097937.2,5533831.8,5442432.2,60905.6,31729.6,29176,47287.2,24914.8,22372.4,43328.2,22846.4,20481.8,367961.6,187340,180621.6,262768.2,135820.8,126947.4,251553.6,129057.2,122496.4,2017923.2,1061551.6,956371.6,1365140.8,735116.8,630024,1224569.2,648326.6,576242.6,4766933.6,2375486,2391447.6,2991635,1512578,1479057,2769578.4,1384259.8,1385318.6,64662.6,32275.4,32387.2,37755.4,18888.6,18866.8,34266.8,16700.2,17566.6,10369487.4,5276601.2,5092886.2,7894271.2,4073601.6,3820669.6,6652967.8,3332641.6,3320326.2,1,0,1,5,222,227,1317,27588,28905,385,14307,14692,385,14307,14692,779,16594,17373
Texas,1991,12364228.4,10763952.5,17299628,8784727.4,8514900.6,6379827.3,5984401.1,5422570.9,5341381.6,59093.8,30018.3,29075.5,45729.1,23358.4,22370.7,41985.6,21400.7,20584.9,337171.3,171776.5,165394.8,239088.1,123607.9,115480.2,229282.3,117955.6,111326.7,2000686.6,1048181.8,952504.8,1353091.4,726873.9,626217.5,1211710.1,639510.3,572199.8,4524126.8,2254673.5,2269453.3,2836030,1433091.5,1402938.5,2626318.2,1312009.4,1314308.8,41283.3,20455.2,20828.1,24304.2,12116.3,12187.9,22184.4,10821.6,11362.8,10337266.2,5259622.1,5077644.1,7865985.6,4060779.3,3805206.3,6632471.9,3320873.3,3311598.6,4,2,6,4,189,193,1271,23249,24520,367,11578,11945,367,11578,11945,845,14168,15013
Texas,1990,12129599,10551641,16951382,8604471,8346911,6258734,5870865,5311310,5240331,57282,28307,28975,44171,21802,22369,40643,19955,20688,306381,156213,150168,215408,111395,104013,207011,106854,100157,1983450,1034812,948638,1341042,718631,622411,1198851,630694,568157,4281320,2133861,2147459,2680425,1353605,1326820,2483058,1239759,1243299,17904,8635,9269,10853,5344,5509,10102,4943,5159,10305045,5242643,5062402,7837700,4047957,3789743,6611976,3309105,3302871,3,2,5,2,168,170,948,22634,23582,338,10789,11127,279,10789,11068,837,14253,15090
Texas,1989,11907315.1,10360744.9,16683321.8,8469845.9,8213475.9,6145934.6,5761380.5,5217767,5142977.9,55933.8,27652.3,28281.5,42917.9,21203.8,21714.1,39516.7,19417.5,20099.2,288510.9,147233.7,141277.2,202445.2,104923.5,97521.7,194547.9,100630.6,93917.3,1954795,1019354.8,935440.2,1316011.8,704987.9,611023.9,1175275.9,618382.6,556893.3,4154698,2072044.9,2082653.1,2587152.5,1307678.5,1279474,2396386.2,1197973.1,1198413.1,17145.6,8281.5,8864.1,10461.7,5143.6,5318.1,9713.8,4742.7,4971.1,10212238.5,5195278.7,5016959.8,7748326,4001997.3,3746328.7,6545304.4,3276620.5,3268683.9,3,1,4,2,115,117,948,19366,20314,279,9088,9367,279,9088,9367,837,13383,14220
Texas,1988,11685031.2,10169848.8,16415261.6,8335220.8,8080040.8,6033135.2,5651896,5124224,5045624.8,54585.6,26997.6,27588,41664.8,20605.6,21059.2,38390.4,18880,19510.4,270640.8,138254.4,132386.4,189482.4,98452,91030.4,182084.8,94407.2,87677.6,1926140,1003897.6,922242.4,1290981.6,691344.8,599636.8,1151700.8,606071.2,545629.6,4028076,2010228.8,2017847.2,2493880,1261752,1232128,2309714.4,1156187.2,1153527.2,16387.2,7928,8459.2,10070.4,4943.2,5127.2,9325.6,4542.4,4783.2,10119432,5147914.4,4971517.6,7658952,3956037.6,3702914.4,6478632.8,3244136,3234496.8,2,1,3,0,0,0,722,16956,17678,231,8551,8782,234,8640,8874,690,13192,13882
Texas,1987,11462747.3,9978952.7,16147201.4,8200595.7,7946605.7,5920335.8,5542411.5,5030681,4948271.7,53237.4,26342.9,26894.5,40411.7,20007.4,20404.3,37264.1,18342.5,18921.6,252770.7,129275.1,123495.6,176519.6,91980.5,84539.1,169621.7,88183.8,81437.9,1897485,988440.4,909044.6,1265951.4,677701.7,588249.7,1128125.7,593759.8,534365.9,3901454,1948412.7,1953041.3,2400607.5,1215825.5,1184782,2223042.6,1114401.3,1108641.3,15628.8,7574.5,8054.3,9679.1,4742.8,4936.3,8937.4,4342.1,4595.3,10026625.5,5100550.1,4926075.4,7569578,3910077.9,3659500.1,6411961.2,3211651.5,3200309.7,0,0,0,0,0,0,652,15780,16432,219,8391,8610,219,8391,8610,671,13108,13779
