state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
North Dakota,2004,0,43,43,NA,NA,NA,0,0,0,0,35,0,35,35,35,129,1163,1292,0,0,0,129,1198,1327
North Dakota,2005,0,45,45,NA,NA,NA,0,0,0,0,47,0,47,47,47,155,1183,1338,0,0,0,155,1230,1385
North Dakota,2006,5,43,48,NA,NA,NA,0,0,0,0,0,0,0,0,0,157,1206,1363,NA,NA,NA,157,1206,1363
North Dakota,2007,0,48,48,NA,NA,NA,0,0,0,0,0,0,0,0,0,147,1269,1416,NA,NA,NA,147,1269,1416
North Dakota,2008,1,70,71,NA,NA,NA,0,0,0,0,0,0,0,0,0,160,1292,1452,NA,NA,NA,160,1292,1452
North Dakota,2009,0,47,47,NA,NA,NA,0,0,0,0,0,0,0,0,0,174,1312,1486,NA,NA,NA,174,1312,1486
North Dakota,2010,6,62,68,NA,NA,NA,0,0,0,0,0,0,0,0,0,179,1308,1487,0,0,0,179,1308,1487
North Dakota,2011,1,54,55,NA,NA,NA,0,0,0,0,0,0,0,0,0,147,1276,1423,0,0,0,147,1276,1423
North Dakota,2012,7,99,106,NA,NA,NA,0,0,0,0,0,0,0,0,0,171,1341,1512,0,0,0,171,1341,1512
North Dakota,2013,1,8,9,NA,NA,NA,157,157,162,319,162,0,0,0,319,0,1257,1257,0,0,0,157,1419,1576
North Dakota,2014,2,10,12,NA,NA,NA,204,204,167,371,167,0,0,0,371,0,1347,1347,0,0,0,204,1514,1718
North Dakota,2015,2,35,37,NA,NA,NA,208,208,219,427,219,0,0,0,427,0,1368,1368,NA,NA,NA,208,1587,1795
North Dakota,2016,5,13,18,NA,NA,NA,95,95,165,260,165,0,0,0,260,118,1413,1531,NA,NA,NA,213,1578,1791
