state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Wisconsin,1989,NA,NA,NA,NA,NA,NA,167,2362,2529,0,1,1,4,133,137,7,355,362,3,43,46,12,165,177,NA,NA,NA,193,3061,3254,0,2,2
Wisconsin,1990,NA,NA,NA,NA,NA,NA,198,2578,2776,0,2,2,6,141,147,15,300,315,4,52,56,9,135,144,NA,NA,NA,232,3208,3440,0,0,0
Wisconsin,1991,NA,NA,NA,NA,NA,NA,246,2962,3208,2,10,12,1,125,126,1,287,288,5,99,104,10,220,230,NA,NA,NA,265,3703,3968,0,0,0
Wisconsin,1992,NA,NA,NA,NA,NA,NA,281,3511,3792,1,3,4,2,105,107,2,185,187,6,187,193,24,389,413,NA,NA,NA,316,4380,4696,0,0,0
Wisconsin,1993,NA,NA,NA,NA,NA,NA,304,3826,4130,91,606,697,0,74,74,5,136,141,14,219,233,22,517,539,NA,NA,NA,436,5378,5814,0,0,0
Wisconsin,1994,NA,NA,NA,NA,NA,NA,323,3920,4243,97,705,802,1,68,69,3,140,143,19,338,357,35,784,819,NA,NA,NA,478,5955,6433,0,0,0
Wisconsin,1995,NA,NA,NA,NA,NA,NA,392,4084,4476,122,982,1104,0,83,83,3,189,192,19,352,371,28,689,717,NA,NA,NA,564,6379,6943,0,0,0
Wisconsin,1996,NA,NA,NA,NA,NA,NA,443,4176,4619,96,919,1015,6,79,85,5,166,171,19,402,421,31,677,708,NA,NA,NA,600,6419,7019,0,0,0
Wisconsin,1997,NA,NA,NA,NA,NA,NA,404,4066,4470,104,1308,1412,8,127,135,5,200,205,33,409,442,40,767,807,NA,NA,NA,594,6877,7471,0,0,0
Wisconsin,1998,NA,NA,NA,NA,NA,NA,497,4293,4790,165,2263,2428,8,93,101,8,283,291,16,317,333,63,779,842,NA,NA,NA,757,8028,8785,0,0,0
Wisconsin,1999,NA,NA,NA,NA,NA,NA,536,5559,6095,0,6,6,11,152,163,33,1020,1053,16,173,189,79,1283,1362,NA,NA,NA,675,8193,8868,NA,NA,NA
Wisconsin,2e3,0,0,0,0,0,0,544,5408,5952,0,2,2,10,202,212,71,1248,1319,12,117,129,58,724,782,0,0,0,695,7701,8396,0,0,0
Wisconsin,2001,0,0,0,0,0,0,446,4802,5248,0,83,83,6,172,178,79,1127,1206,10,88,98,54,575,629,0,0,0,595,6847,7442,0,0,0
Wisconsin,2002,0,0,0,0,0,0,552,5065,5617,0,1,1,10,213,223,66,1351,1417,3,101,104,52,576,628,0,0,0,683,7307,7990,0,0,0
Wisconsin,2003,NA,NA,NA,NA,NA,NA,534,5019,5553,0,2,2,10,241,251,72,1421,1493,2,70,72,52,577,629,NA,NA,NA,670,7330,8e3,NA,NA,NA
Wisconsin,2004,NA,NA,NA,NA,NA,NA,522,4906,5428,5,9,14,13,297,310,86,1568,1654,7,58,65,52,548,600,NA,NA,NA,685,7386,8071,NA,NA,NA
Wisconsin,2005,NA,NA,NA,NA,NA,NA,490,4445,4935,0,6,6,25,336,361,135,1780,1915,4,40,44,41,472,513,NA,NA,NA,695,7079,7774,NA,NA,NA
Wisconsin,2006,NA,NA,NA,NA,NA,NA,505,4728,5233,NA,NA,NA,24,406,430,168,2345,2513,3,42,45,42,440,482,NA,NA,NA,742,7961,8703,NA,NA,NA
Wisconsin,2007,NA,NA,NA,NA,NA,NA,509,4576,5085,0,5,5,36,459,495,183,2409,2592,3,25,28,31,356,387,NA,NA,NA,762,7830,8592,NA,NA,NA
Wisconsin,2008,NA,NA,NA,NA,NA,NA,395,4218,4613,0,12,12,36,483,519,119,2080,2199,0,18,18,20,190,210,NA,NA,NA,570,7001,7571,NA,NA,NA
Wisconsin,2009,NA,NA,NA,NA,NA,NA,414,3907,4321,0,2,2,31,430,461,158,2120,2278,1,15,16,6,161,167,NA,NA,NA,610,6635,7245,NA,NA,NA
Wisconsin,2010,0,0,0,0,0,0,390,3918,4308,0,0,0,22,367,389,128,2163,2291,0,6,6,6,107,113,0,0,0,546,6574,7120,NA,0,NA
Wisconsin,2011,0,0,0,0,0,0,385,3463,3848,0,1,1,11,314,325,97,2050,2147,0,11,11,3,76,79,0,0,0,496,5915,6411,0,0,0
Wisconsin,2012,0,0,0,0,0,0,424,3350,3774,0,0,0,14,266,280,120,1941,2061,0,7,7,5,73,78,0,0,0,563,5637,6200,0,0,0
Wisconsin,2013,0,0,0,0,13,13,465,4180,4645,1,26,27,22,376,398,112,2071,2183,0,8,8,2,80,82,0,0,0,602,6759,7361,0,5,5
Wisconsin,2014,0,0,0,0,6,6,522,3607,4129,1,29,30,19,331,350,113,1454,1567,2,8,10,6,42,48,0,0,0,664,5487,6151,1,10,11
Wisconsin,2015,0,0,0,1,19,20,557,3676,4233,1,23,24,25,364,389,114,1626,1740,2,9,11,2,43,45,0,0,0,702,5778,6480,0,18,18
Wisconsin,2016,0,0,0,0,33,33,551,3721,4272,0,27,27,37,336,373,136,1740,1876,2,10,12,5,35,40,0,0,0,732,5917,6649,1,15,16
