state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
Alabama,1999,132,1243,1375,0,0,0,0,0,0,0,0,0,0,0,0,1668,22990,24658,0,0,0,1668,22990,24658
Alabama,2e3,NA,3401,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1826,24580,26406,0,0,0,1826,24580,26406
Alabama,2001,NA,3390,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1783,24958,26741,0,0,0,1783,24958,26741
Alabama,2002,0,2449,2449,NA,NA,NA,0,0,0,0,0,0,0,0,0,1697,26250,27947,0,0,0,1697,26250,27947
Alabama,2003,0,1340,1340,NA,NA,NA,274,0,0,0,1424,274,1424,1698,1698,1729,24486,26215,0,0,0,2003,25910,27913
Alabama,2004,0,1645,1645,NA,NA,NA,244,0,0,0,0,244,0,244,244,1504,24139,25643,0,0,0,1748,24139,25887
Alabama,2005,288,1993,2281,NA,NA,NA,315,0,0,0,5,315,5,320,320,1650,25918,27568,3,188,191,1965,25923,27888
Alabama,2006,129,1031,1160,NA,NA,NA,1,0,0,0,8,1,8,9,9,2049,26183,28232,0,0,0,2050,26191,28241
Alabama,2007,163,1433,1596,NA,NA,NA,0,0,23,23,355,0,332,332,355,2158,26899,29057,0,0,0,2158,27254,29412
Alabama,2008,194,1596,1790,NA,NA,NA,55,0,0,0,46,55,46,101,101,2176,28231,30407,0,0,0,2231,28277,30508
Alabama,2009,260,2e3,2260,NA,NA,NA,83,83,800,883,800,0,0,0,883,2372,28619,30991,7,223,230,2455,29419,31874
Alabama,2010,163,1203,1366,NA,NA,NA,147,147,877,1024,877,0,0,0,1024,2356,28384,30740,4,232,236,2503,29261,31764
Alabama,2011,265,1883,2148,NA,NA,NA,127,127,418,545,418,0,0,0,545,2447,29278,31725,4,199,203,2574,29696,32270
Alabama,2012,336,2046,2382,NA,NA,NA,115,115,423,538,423,0,0,0,538,2534,29359,31893,4,191,195,2649,29782,32431
Alabama,2013,279,1811,2090,NA,NA,NA,130,130,424,554,424,0,0,0,554,2591,29236,31827,4,190,194,2721,29660,32381
Alabama,2014,217,1485,1702,NA,NA,NA,120,120,361,481,361,0,0,0,481,2469,28821,31290,3,190,193,2589,29182,31771
Alabama,2015,231,1557,1788,NA,NA,NA,73,73,325,398,325,0,0,0,398,2517,27895,30412,5,182,187,2590,28220,30810
Alabama,2016,222,1223,1445,NA,NA,NA,25,25,323,348,323,0,0,0,348,2352,26183,28535,35,243,278,2377,26506,28883
