state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Rhode Island,1988,NA,NA,NA,NA,NA,NA,22,410,432,0,1,1,6,46,52,1,26,27,2,35,37,1,74,75,0,7,7,38,635,673,0,9,9
Rhode Island,1989,NA,NA,NA,NA,NA,NA,28,548,576,0,2,2,1,19,20,1,20,21,2,44,46,2,63,65,0,5,5,36,764,800,1,7,8
Rhode Island,1990,NA,NA,NA,NA,NA,NA,36,562,598,0,2,2,0,35,35,0,57,57,1,32,33,5,70,75,0,4,4,44,820,864,0,12,12
Rhode Island,1991,NA,NA,NA,NA,NA,NA,27,562,589,0,0,0,3,57,60,1,49,50,5,15,20,1,56,57,1,6,7,39,801,840,0,12,12
Rhode Island,1992,NA,NA,NA,NA,NA,NA,36,539,575,0,2,2,4,50,54,1,41,42,3,37,40,4,57,61,0,2,2,53,776,829,0,6,6
Rhode Island,1993,NA,NA,NA,NA,NA,NA,31,565,596,0,1,1,0,46,46,2,31,33,1,37,38,1,97,98,1,4,5,38,837,875,0,7,7
Rhode Island,1994,NA,NA,NA,NA,NA,NA,38,602,640,0,0,0,5,54,59,1,56,57,4,45,49,2,79,81,0,2,2,51,883,934,0,4,4
Rhode Island,1995,NA,NA,NA,NA,NA,NA,37,546,583,0,1,1,1,44,45,1,56,57,1,65,66,2,88,90,0,4,4,46,844,890,0,10,10
Rhode Island,1996,NA,NA,NA,NA,NA,NA,43,672,715,0,0,0,3,54,57,1,40,41,6,73,79,6,100,106,0,4,4,63,973,1036,1,9,10
Rhode Island,1997,NA,NA,NA,NA,NA,NA,32,671,703,0,2,2,2,56,58,1,26,27,3,60,63,14,102,116,1,1,2,55,929,984,0,5,5
Rhode Island,1998,NA,NA,NA,NA,NA,NA,52,648,700,0,1,1,3,67,70,0,27,27,4,47,51,7,115,122,0,0,0,67,924,991,0,10,10
Rhode Island,1999,0,0,0,3,5,8,121,928,1049,0,0,0,12,47,59,19,70,89,0,4,4,3,92,95,0,3,3,158,1170,1328,0,21,21
Rhode Island,2e3,0,0,0,0,0,0,442,3084,3526,11,17,28,0,0,0,0,0,0,13,134,147,0,0,0,0,0,0,466,3235,3701,0,0,0
Rhode Island,2001,0,0,0,0,0,0,368,2974,3342,13,31,44,0,0,0,0,0,0,13,107,120,0,0,0,0,0,0,394,3112,3506,0,0,0
Rhode Island,2002,0,0,0,0,0,0,396,3224,3620,3,23,26,0,0,0,0,0,0,6,108,114,0,0,0,0,0,0,405,3355,3760,0,0,0
Rhode Island,2003,0,0,0,0,0,0,443,3253,3696,5,23,28,0,0,0,0,0,0,14,143,157,0,0,0,0,0,0,462,3419,3881,0,0,0
Rhode Island,2004,0,0,0,1,3,4,42,571,613,NA,NA,NA,0,0,0,0,0,0,3,139,142,0,0,0,0,0,0,48,725,773,2,12,14
Rhode Island,2005,0,0,0,1,5,6,31,739,770,NA,NA,NA,0,0,0,0,0,0,7,134,141,0,0,0,0,0,0,41,902,943,2,24,26
Rhode Island,2006,NA,NA,NA,0,2,2,45,709,754,0,0,0,0,0,0,0,0,0,10,112,122,NA,NA,NA,0,0,0,56,850,906,1,27,28
Rhode Island,2007,NA,NA,NA,0,3,3,77,916,993,0,0,0,0,0,0,0,0,0,10,117,127,NA,NA,NA,0,0,0,92,1070,1162,5,34,39
Rhode Island,2008,NA,NA,NA,0,3,3,56,873,929,0,0,0,0,0,0,0,0,0,10,151,161,NA,NA,NA,0,0,0,68,1051,1119,2,24,26
Rhode Island,2009,NA,NA,NA,0,1,1,55,728,783,0,0,0,0,0,0,0,0,0,14,162,176,NA,NA,NA,0,0,0,69,917,986,0,26,26
Rhode Island,2010,0,0,0,0,0,0,60,658,718,0,0,0,0,0,0,0,0,0,20,200,220,0,0,0,0,0,0,80,878,958,NA,20,NA
Rhode Island,2011,0,0,0,0,2,2,44,651,695,0,0,0,0,0,0,0,0,0,6,149,155,0,0,0,0,0,0,54,812,866,1,22,23
Rhode Island,2012,0,23,23,0,2,2,47,650,697,0,1,1,0,0,0,0,0,0,17,153,170,0,0,0,0,0,0,64,829,893,0,0,0
Rhode Island,2013,3,13,16,0,1,1,38,621,659,0,0,0,0,0,0,0,0,0,6,145,151,0,0,0,0,0,0,47,780,827,0,0,0
Rhode Island,2014,1,13,14,0,1,1,34,665,699,0,0,0,0,0,0,0,0,0,9,113,122,0,0,0,0,0,0,44,792,836,0,0,0
Rhode Island,2015,1,14,15,0,0,0,25,499,524,0,0,0,0,0,0,0,0,0,6,93,99,0,0,0,0,0,0,32,606,638,0,0,0
Rhode Island,2016,2,22,24,0,0,0,36,630,666,0,0,0,0,0,0,0,0,0,12,89,101,0,0,0,0,0,0,50,741,791,0,0,0
