state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
New Jersey,1995,7952667,5999366.500000002,5036497.5,NA,NA,NA,296,3962,4258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307,25759,27066
New Jersey,1994,7901933,5980938.6000000015,5019921,NA,NA,NA,179,3234,3413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,23464,24632
New Jersey,1993,7851199,5962510.700000001,5003344.5,NA,NA,NA,164,3430,3594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,22698,23831
New Jersey,1992,7800466,5944082.800000001,4986768,NA,NA,NA,153,3370,3523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,21558,22653
New Jersey,1991,7749732,5925654.9,4970191.5,NA,NA,NA,156,3367,3523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,22376,23483
New Jersey,1990,7698998,5907227,4953615,NA,NA,NA,192,2549,2741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041,20087,21128
New Jersey,1989,7666630,5852722.300000002,4915451.5,NA,NA,NA,163,2861,3024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886,18553,19439
New Jersey,1988,7634262,5798217.6000000015,4877288,NA,NA,NA,131,2136,2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,16232,16936
New Jersey,1987,7601895,5743712.900000001,4839124.5,NA,NA,NA,103,2180,2283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,15382,15969
New Jersey,1986,7569527,5689208.200000001,4800961,NA,NA,NA,82,2162,2244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,11603,12020
New Jersey,1985,7537159,5634703.500000001,4762797.5,NA,NA,NA,16,1470,1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,10947,11335
New Jersey,1984,7504791,5580198.800000001,4724634,NA,NA,NA,9,1527,1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,9995,10363
New Jersey,1983,7472423,5525694.100000001,4686470.5,NA,NA,NA,0,967,967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,8850,9192
New Jersey,1982,7440056,5471189.4,4648307,NA,NA,NA,0,1584,1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,324,7867,8191
New Jersey,1981,7407688,5416684.7,4610143.5,NA,NA,NA,0,995,995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,286,6725,7011
New Jersey,1980,7375320,5362180,4571980,NA,NA,NA,0,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,198,5686,5884
New Jersey,1979,7353038,5301522,4524822,NA,NA,NA,0,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,188,5664,5852
New Jersey,1978,7330756,5240864,4477664,NA,NA,NA,0,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,176,5693,5869
