state,year,population,population_adult,population_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Ohio,2006,11478006,8695512,7265029,0,0,0,0,5,5,3710,23465,27175,40,177,217,59,751,810,194,2172,2366,18,711,729,12,544,556,2,11,13,4036,27861,31897,1,25,26
Ohio,2005,11146050,8405709,7061024,0,0,0,0,5,5,3129,21033,24162,52,195,247,53,900,953,266,2122,2388,13,713,726,19,612,631,5,9,14,3538,25616,29154,1,27,28
Ohio,2004,11172251,8397018,7060876,0,0,0,0,7,7,3025,19936,22961,48,126,174,65,855,920,214,2300,2514,16,765,781,28,802,830,4,12,16,3401,24827,28228,1,24,25
Ohio,2003,11131980,8313492,6980600,0,0,0,0,2,2,2588,18591,21179,0,0,0,60,1192,1252,155,2279,2434,14,681,695,24,907,931,2,13,15,2845,23688,26533,2,23,25
Ohio,2002,11106524,8255118,6904082,0,0,0,0,4,4,2470,17745,20215,0,0,0,60,1287,1347,176,2034,2210,31,818,849,27,1031,1058,1,9,10,2767,22952,25719,2,24,26
Ohio,2001,11066289,8331665,6994432,0,0,0,0,3,3,2388,16693,19081,0,0,0,24,716,740,164,2430,2594,30,795,825,45,1097,1142,4,13,17,2655,21752,24407,0,5,5
Ohio,2000,11052389,8181891,6834334,0,0,0,0,2,2,2348,16353,18701,0,0,0,7,247,254,158,2295,2453,32,734,766,48,1545,1593,2,11,13,2595,21192,23787,0,5,5
Ohio,1999,11030378.5,8166966.6,6823433.7,NA,NA,NA,0,6,6,2167,15377,17544,0,0,0,2,99,101,114,1530,1644,34,646,680,47,1270,1317,4,12,16,2368,18942,21310,0,2,2
Ohio,1998,11008368,8152042.2,6812533.4,NA,NA,NA,NA,NA,NA,2157,15495,17652,0,0,0,NA,NA,NA,130,707,837,20,581,601,68,1455,1523,2,15,17,2377,18260,20637,0,1,1
Ohio,1997,10986357.5,8137117.8,6801633.1,NA,NA,NA,NA,NA,NA,1996,14154,16150,0,0,0,NA,NA,NA,130,801,931,15,1435,1450,56,1527,1583,6,13,19,2203,17948,20151,0,14,14
Ohio,1996,10964347,8122193.4,6790732.8,NA,NA,NA,NA,NA,NA,2411,15537,17948,0,0,0,NA,NA,NA,142,762,904,20,1216,1236,51,1551,1602,3,15,18,2628,19099,21727,0,9,9
Ohio,1995,10942336.5,8107269,6779832.5,NA,NA,NA,NA,NA,NA,2475,16058,18533,0,0,0,NA,NA,NA,161,819,980,31,1330,1361,82,1695,1777,2,13,15,2751,19927,22678,0,0,0
Ohio,1994,10920326,8092344.6,6768932.2,NA,NA,NA,NA,NA,NA,2346,16852,19198,0,0,0,NA,NA,NA,137,740,877,25,1424,1449,84,1684,1768,6,14,20,2600,20720,23320,0,0,0
Ohio,1993,10898315.5,8077420.2,6758031.9,NA,NA,NA,NA,NA,NA,2340,16152,18492,0,0,0,NA,NA,NA,109,659,768,34,1308,1342,79,1717,1796,3,7,10,2581,20002,22583,15,151,166
Ohio,1992,10876305,8062495.8,6747131.6,NA,NA,NA,NA,NA,NA,2351,16984,19335,0,0,0,NA,NA,NA,123,654,777,34,1231,1265,67,1785,1852,2,12,14,2589,20863,23452,12,186,198
Ohio,1991,10854294.5,8047571.4,6736231.3,NA,NA,NA,NA,NA,NA,2170,16207,18377,0,0,0,NA,NA,NA,99,585,684,40,1270,1310,65,1417,1482,5,15,20,2390,19748,22138,11,246,257
Ohio,1990,10832284,8032647,6725331,NA,NA,NA,NA,NA,NA,1938,14586,16524,0,0,0,NA,NA,NA,81,513,594,48,788,836,26,994,1020,3,12,15,2101,17090,19191,5,184,189
Ohio,1989,10829131.6,7998444.3,6713783.9,NA,NA,NA,NA,NA,NA,1809,13836,15645,0,0,0,NA,NA,NA,71,451,522,24,768,792,39,1065,1104,3,14,17,1947,16378,18325,1,233,234
Ohio,1988,10825979.2,7964241.6,6702236.8,NA,NA,NA,NA,NA,NA,1261,10263,11524,0,0,0,NA,NA,NA,66,283,349,29,929,958,40,896,936,2,9,11,1406,12572,13978,6,169,175
Ohio,1987,10822826.8,7930038.9,6690689.7,NA,NA,NA,NA,NA,NA,1037,9053,10090,0,0,0,NA,NA,NA,36,332,368,34,711,745,32,753,785,5,10,15,1146,10974,12120,2,101,103
Ohio,1986,10819674.4,7895836.2,6679142.6,NA,NA,NA,NA,NA,NA,946,8312,9258,0,0,0,NA,NA,NA,32,321,353,56,1125,1181,33,700,733,1,12,13,1071,10597,11668,0,106,106
Ohio,1985,10816522,7861633.5,6667595.5,NA,NA,NA,NA,NA,NA,792,7841,8633,0,0,0,NA,NA,NA,36,282,318,69,1287,1356,32,643,675,1,3,4,934,10184,11118,1,95,96
Ohio,1984,10813369.6,7827430.8,6656048.4,NA,NA,NA,NA,NA,NA,780,7335,8115,0,0,0,NA,NA,NA,18,137,155,70,1549,1619,44,522,566,2,3,5,923,9745,10668,7,141,148
Ohio,1983,10810217.2,7793228.1,6644501.3,NA,NA,NA,NA,NA,NA,848,7970,8818,0,0,0,NA,NA,NA,22,200,222,69,1330,1399,23,478,501,0,0,0,962,10134,11096,0,140,140
Ohio,1982,10807064.8,7759025.4,6632954.2,NA,NA,NA,NA,NA,NA,848,8024,8872,0,0,0,0,0,0,38,218,256,71,1506,1577,11,392,403,0,0,0,974,10339,11313,4,173,177
Ohio,1981,10803912.4,7724822.7,6621407.1,NA,NA,NA,NA,NA,NA,737,7689,8426,0,0,0,0,0,0,22,205,227,55,1357,1412,12,362,374,0,0,0,831,9736,10567,5,83,88
Ohio,1980,10800760,7690620,6609860,NA,NA,NA,NA,NA,NA,587,6908,7495,0,0,0,0,0,0,23,243,266,44,920,964,17,491,508,0,0,0,675,8692,9367,0,94,94
Ohio,1979,10783944,7610588,6544284,NA,NA,NA,NA,NA,NA,546,6097,6643,0,0,0,0,0,0,29,263,292,37,752,789,24,331,355,0,0,0,637,7559,8196,1,71,72
Ohio,1978,10767128,7530556,6478708,0,0,0,1,36,37,535,5361,5896,0,0,0,0,0,0,24,183,207,23,632,655,12,315,327,0,0,0,595,6553,7148,0,26,26
