agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Gibraltar Police Department,2019-10-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,208571211,0,0,0,0,0,0,2,0,209,0,178775,0,0,0,29795887,0,0,0,0,0,0,0,0,18,208571211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208571211,0,2413467,0,0,2,0,0,0,0,0,0
Gibraltar Police Department,2019-11-01,Michigan,4467,MI82423,0,0,0,0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,200000,300000,1191835,0,0,0,0,0,0,0,2,0,0,0,0,23837,1191835,0,119184,0,0,0,0,0,0,0,148979,0,0,0,0,0,0,0,0,0,0,1669,0,0,1,1489794,476734197,0,0,29796,0,715101296,0,0,0,62750139,0,0,0,0,0,0
Gibraltar Police Department,2019-12-01,Michigan,4467,MI82423,800000,0,0,0,125000,0,925000,5,0,0,0,8000000,0,0,0,0,0,8000000,0,0,25000,25000,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,595917747,0,0,297959,0,0,0,0,298,0,0,0,0,0,11918,0,0,0,0,0,0,0,0,0,0,11918356,0,238,0,0,0,0,23837,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2020-01-01,Michigan,4505,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,2,0,0,0,0,0,0,588656176,0,0,0,0,2943,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2020-02-01,Michigan,4505,MI82423,0,250,0,0,0,0,250,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11773124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23546247,0,0,0,23546,0,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2020-03-01,Michigan,4505,MI82423,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239248,0,0,0,0,0,0,0,0,0,223924809,235462470,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117731,0,0,0,0
Gibraltar Police Department,2020-04-01,Michigan,4505,MI82423,0,0,0,10000,0,0,10000,0,0,0,10000,0,0,0,0,0,10000,20000,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,135391,0,0,0,0,724047096,0,0,724,0,0,0,1354,0,0,0,0,0,0,0,5887,0,0,0,0,0,0,135,0,0,0,0,0,0
Gibraltar Police Department,2020-05-01,Michigan,4505,MI82423,0,5000000,0,0,0,0,5000000,0,0,0,500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177312,0,0,0,0,11773124,0,0,0,0,0,118,1,0,23546,0,0,0,0,118,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2020-06-01,Michigan,4505,MI82423,0,0,0,0,0,4000,4000,0,102000,0,0,0,1060,400,0,410,2000,3870,0,0,0,0,0,0,0,0,0,0,10,2000000,0,11,0,0,0,1412775,0,470924941,706387411,0,0,235462,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,117731,0,0,0,0,0,0,0,0,1,0,0,0,1177,0,0,0,0,0,0,11773
Gibraltar Police Department,2020-07-01,Michigan,4505,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971282690,0,0,0,0,0,0,0,971282690,0,0,0,0,0,0,0,0,0,5,2354625,0,971282690,0,0,0,0,0,0,0,0,0,0,0,29432809,0,0,0,0,2355,0,0,235,0,0,0,0,0,0,0,706387411,0,0,2,0,0,971282690
