agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Payette Police Department,2018-09-01,Idaho,7430,ID03803,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,3,1,5,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3944,0,0,0,0,0,0,0,0,121,121,24,383,343,751,8760,0,0,0,121,343,0,0,0,286,0,121,0,303,0,343,0,3640,408,0,0,4816,0,0,0,0,0,0,0,0,0,0,0,0
Payette Police Department,2018-10-01,Idaho,7430,ID03803,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2124,0,0,3100,5224,7887,0,0,0,0,0,0,0,0,0,0,52,0,973,1025,22024,0,0,0,282,0,0,0,0,744,39,149,1025,182,0,182,0,7887,3519,0,1153,14137,0,0,0,0,0,0,0,3034,0,0,0,3034
Payette Police Department,2018-11-01,Idaho,7430,ID03803,0,0,2,1,0,3,6,4,0,0,0,0,0,0,0,0,0,0,1,2,6,9,0,0,0,3,1,0,0,1,4,0,0,0,0,0,0,5096,0,0,2974,8071,77114,0,0,0,0,0,0,0,0,0,0,0,302,5602,5905,168203,0,0,0,4440,364,0,0,313,788,364,39,354,485,0,5333,0,76386,7824,0,303,91089,0,39,0,0,0,0,0,53391,0,0,0,53430
Payette Police Department,2018-12-01,Idaho,7430,ID03803,1,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,3,3,7,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,340,0,0,4063,4402,12741,0,0,0,0,0,0,0,0,0,0,0,522,2354,2876,32760,1092,0,0,121,0,0,0,0,1662,517,0,218,0,132,91,0,12741,5749,0,570,20019,0,0,0,0,0,0,0,5460,0,0,425,5885
Payette Police Department,2019-01-01,Idaho,7535,ID03803,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,2,1,0,0,0,3,0,1300,0,41840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,755623703,0,4331130,4673,0,0,0,297959,224,0,0,0,0,65550952,28854,214530389,0,0,0,0,1192,0,0,750856361,0,0,0,0,0,0,19,0
Payette Police Department,2019-02-01,Idaho,7535,ID03803,0,0,239,1,1000000,0,1000240,1331800,0,0,0,0,5500000,800000,0,14000,70000,6384000,1947000,0,0,1947000,0,0,40,0,0,0,0,0,0,0,20,0,10,0,0,476734,11918355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59591776,477,0,0,119184,0,0,0,119183549,23836710,0,4767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payette Police Department,2019-03-01,Idaho,7535,ID03803,15,0,0,4600000,0,6,4600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000,0,0,100,0,0,0,0,0,0,0,0,24433,0,0,24,0,0,0,0,179,0,0,0,0,5975863,0,1192,0,325,0,0,953468395,0,0,360768604,595917747,0,738,0,2,595917747,0,0,0,0,0,0,0,12,0,0,0,0,0,1622,0,1,0,0,418334258,0,119184,0,0,0,0
Payette Police Department,2019-04-01,Idaho,7535,ID03803,0,0,0,0,0,0,0,0,0,0,20000,30000,30000,0,0,10000,20000,110000,20000,0,20000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527,333714,0,4,0,0,339673116,0,54824433,3915,0,0,5,0,0,0,0,548244327,1,0,595917747,32048,0,0,0,0,0,0,0,0,238367,327754761,0,417142423,0
Payette Police Department,2019-05-01,Idaho,7535,ID03803,0,5000000,0,0,0,0,5000000,0,0,527000,1513,0,0,0,42000,0,0,43513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2384,2383671,0,0,0,119,11918355,0,0,12,0,0,477,71510132,238367,143020,0,0,4767342,0,238,0,4767,119184,1,0,0,0,0,0,0,0,238,238367099,0,0,0,0,0,0,0,0,1704,0,1704325,0,62,0,0,274122163
Payette Police Department,2019-06-01,Idaho,7535,ID03803,0,0,0,0,0,436000,436000,90,190000,0,0,0,55060,9300,0,1366,4000,69726,0,0,3100,3100,0,2,0,0,4490000,0,250,0,0,0,0,0,0,112,357550648,244326,0,0,5,834284845,1072651944,0,0,476734,1,0,56493,0,0,595917747,0,255052796,0,0,1151,11918,476734,0,107,595917747,0,0,0,1,0,0,0,44,119184,0,0,0,0,0,0,6021,0,0,715101,0,0,0,0,35755070,0,1549,0,0,11918
Payette Police Department,2019-07-01,Idaho,7535,ID03803,0,0,0,0,0,0,0,0,0,10,60,10,20,30,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,6793,0,312261,0,10726519,7116,0,0,0,0,0,0,0,0,0,0,0,11,2383671,0,1157272264,0,0,0,238367099,603,0,0,0,2383671,1,0,0,738938006,0,0,0,2384,0,0,2748,0,0,953,0,0,73893801,0,476734197,2861597,0,8,2384,0,1157272264
Payette Police Department,2019-08-01,Idaho,7535,ID03803,4000000,0,0,0,0,200,4000200,0,600,0,0,0,0,0,0,0,200,200,0,0,0,0,10,0,0,0,0,0,24,800010,0,0,0,0,0,358,59592,2383671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23836710,2383671,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190693679,60188,0,7,691264586,7,0,0,128217662,0,500571,0
Payette Police Department,2019-09-01,Idaho,7535,ID03803,0,0,326000,0,0,0,326000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,5,0,0,0,0,100,0,100,0,5005709,679,953468395,0,0,0,0,0,0,36,0,0,0,0,37662,0,0,0,0,5959,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,953468,23837,0,11918359,119184,11918361,1430,47673,0,0,12,0,0
Payette Police Department,2019-10-01,Idaho,7535,ID03803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,25,0,30,271738492,0,0,0,0,1191835,238367099,0,0,20533,0,59592,20470,0,0,3575506,4767342,333714,0,0,0,18887,0,0,30,1072651944,0,0,0,0,0,0,0,4767,0,0,0,0,0,0,393305713,107,0,271738492,2384,1558921,0,0,25,0,0,0,0,0,0
Payette Police Department,2019-11-01,Idaho,7535,ID03803,0,0,205000,0,100000,300000,605000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,400000,0,0,0,0,1191835,0,0,0,0,0,0,0,35755068,358,4,3576,0,107265,3575506,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860,0,345632,0,3576,0,0,80,28604052,524407617,76,178775324,258628,0,0,0,345632,0,626238042,0,0,0,0,0,3575506
Payette Police Department,2019-12-01,Idaho,7535,ID03803,8500000,1,0,0,590000,0,9090001,0,1415,0,0,0,50,0,0,0,0,50,0,0,217000,217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12871823,0,799006515,0,0,0,3676,476734197,0,0,2026120,0,0,0,0,2038,0,0,0,0,0,953480313,0,0,0,595918,1192,0,0,24,0,0,2,11918356,834,11918,0,0,0,23837,0,0,0,0,0,0,0,0,0
