agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Dublin Police Department,2019-01-01,Georgia,15756,GA08701,4,2,0,4,4,0,14,2,1,1,0,0,0,0,2,2,2,6,10,7,31,48,1,1,0,16,3,0,2,6,19,0,7299992,0,0,596,0,8122359,0,0,0,0,0,0,0,0,0,226449,0,2223,562546353,1,0,48,52,1176341632,0,0,52863,512489262,1454,0,771118,1772,667427876,0,19522265,38,308685393,102820,357550648,0,0,0,76873389,14242,23837,0,977305107,0,953468395,0,0,53187,0,284,0
Dublin Police Department,2019-02-01,Georgia,15756,GA08701,0,5630,165,1,0,5700000,5705796,2283000,100000,0,0,0,8550000,9610000,3,78600,250000,18488603,9395000,1,0,9395001,0,46,130,0,1000000,0,0,0,0,107,715101296,1833520,11918355,119,0,0,358,0,0,2026,0,0,119184,0,0,0,0,0,1192,0,1,35755,274122178,1430,8342848,1072652,560163,0,238367111,0,12,238367099,0,3576,0,0,0,0,0,0,0,0,0,0,78518122,0,2384,0,2384,18,0,881958265,0,0,0
Dublin Police Department,2019-03-01,Georgia,15756,GA08701,138,0,6000000,8800000,1,313,14800452,0,21,9220000,648840,0,0,3,4800000,0,0,5448843,5,6250000,8,6250013,145,4000000,8600000,0,123,0,0,600,0,0,963599,30,4767342,31,834284845,18473450,1537706,0,0,238,0,0,0,3337139,59592,353285,8342848,560,119184,0,476734197,0,4,416546505,595917747,0,55419,44336280,14,1072651944,0,0,40522407,0,0,0,89387662,15,0,0,118,0,0,102559,119183549,12,0,0,891492949,0,119184,119184,0,0,23836710
Dublin Police Department,2019-04-01,Georgia,15756,GA08701,0,30000,10000,40000,160000,0,240000,0,30000,0,120000,50000,0,10000,10000,170000,180000,540000,210000,10000,40000,260000,0,0,0,0,0,0,0,0,0,3742,0,0,0,4767342,2,0,0,477,0,1692406,1216,0,0,0,0,0,0,174007982,4,0,34220,1438545,25626847,92,0,0,819982819,0,237175263,35896,0,0,304,24445,0,0,0,464815846,0,0,0,3182,35755,0,0,0,25627,0,7060,2,4320404,238367099,0,916521494,1311
Dublin Police Department,2019-05-01,Georgia,15756,GA08701,0,6000000,2000000,0,0,0,8000000,0,0,631000,19715,0,0,0,72000,0,0,91715,0,1700000,0,1700000,0,0,0,0,0,0,0,0,0,0,2,477,47673,0,476734197,0,2383671,0,120,0,0,11918355,119183549,2189163,0,23837,0,2026,226448756,1430203,548244,12,0,30987723,0,119,0,13110,595918,23836710,0,0,0,0,0,0,0,14302,0,0,0,0,124284605,0,0,384,0,0,357550648,585286574,0,512,76873389,0,1167998784
Dublin Police Department,2019-06-01,Georgia,15756,GA08701,0,0,0,0,500000,2214000,2714000,0,1272000,0,0,0,446810,31100,0,10898,7000,495808,460,0,103300,103760,0,38,20000,0,8380000,0,250,0,0,846,834284845,285564,0,31464457,4,357550648,1072651944,2383671,0,1489794,2254,41833426,4774255,0,0,0,0,44097913,2,0,12154,0,178775,0,0,0,0,0,0,2,0,0,0,0,119184,0,0,0,0,0,215722224,2027,24,23836713,2622038,0,238367099,11918,0,143020271,358,5244,0,2383671,0
Dublin Police Department,2019-07-01,Georgia,15756,GA08701,0,0,0,0,0,0,0,0,30,70,260,30,0,50,0,0,0,340,0,0,0,0,0,0,4100000,0,154,154410,0,0,0,1113174351,38648,0,1585141,0,221681402,40454,0,773501235,54789,0,202612034,1,0,0,0,173,56,116,0,0,379003687,0,0,0,0,4673,0,1887867,1,27412216,863,0,1076227451,1084570299,26863972,0,0,16686,0,0,21539,0,0,2623,0,7,17877532,0,947509217,37890834,0,116,1191835,0,379003687
Dublin Police Department,2019-08-01,Georgia,15756,GA08701,0,0,0,0,0,0,0,89,0,0,0,0,746,3800,0,0,0,4546,0,0,0,0,0,0,0,0,0,0,20,1600010,0,834,500571,4767342,12,23837,238367,1,0,2384,0,0,0,23837,2,238,1191835,476734221,214530409,21453039,0,0,0,0,0,0,25,0,0,0,0,0,0,166225296,6,250,0,20749856,0,905794975,13,0,595917747,0,0,405224068,271143,207546233,309,1179917138,280,0,27388,1059946978,0,1990365,0
Dublin Police Department,2019-09-01,Georgia,15756,GA08701,0,1000000,0,0,0,0,1000000,0,0,6100,0,36,0,0,7478,0,3000000,3007514,0,0,0,0,57,3200000,5000000,2000000,22,13536,0,8,0,251596473,7888,476734197,4171,0,9773051,683,5,4290608,496,238367099,237651997,0,1072651944,689119,0,29,1,0,0,238367099,212742636,834284845,476734197,0,144569645,27,0,0,0,7270197,1094,12,5959177,0,477,0,0,1072651944,0,22645,0,11918356,2622038,47673,0,154938632,119184,5,5959,131102,0,0,119183752,19069,0
Dublin Police Department,2019-10-01,Georgia,15756,GA08701,6300000,84,0,0,0,0,6300084,3804,0,0,0,0,0,0,0,0,0,0,3000,0,846300,849300,9700000,8,0,8,9230000,0,0,0,0,131,1185876316,0,0,23837,4,255052796,0,15,1101255996,66276,0,1555345,64416,0,0,303918051,19665286,8342848,0,42373,0,584,0,0,1791,394497548,0,0,0,11,953468395,2187018,0,19665,0,2215622,0,308685393,37,0,319411912,2491,0,589958569,0,29049798,0,454089323,112,0,35,0,0,232408,0
