agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Metter Police Department,2018-09-01,Georgia,3981,GA02101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,9,0,0,0,2,2,0,0,2,3,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,109,375,1832,2316,2341,0,0,0,627,970,0,0,87,632,11,33,1832,0,214,0,0,0,251,0,0,2341,11,8,0,0,68,0,0,0,0,0,0,87
Metter Police Department,2018-10-01,Georgia,3981,GA02101,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,3,2,9,0,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,0,607,0,607,0,0,0,0,0,0,0,0,0,0,0,13,357,2427,2797,3404,0,0,0,1944,0,0,0,166,687,72,0,121,728,66,0,607,0,1787,0,23,3404,72,0,0,0,66,0,0,0,6,0,23,166
Metter Police Department,2018-11-01,Georgia,3981,GA02101,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,3,0,1,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1929,0,0,0,0,1929,0,0,0,0,0,0,38,0,0,0,38,46,0,473,519,2486,0,0,0,0,21,0,24,1,473,97,0,49,0,0,485,0,0,519,0,1336,2486,0,0,0,0,0,0,0,0,1,0,0,1
Metter Police Department,2018-12-01,Georgia,3981,GA02101,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,3,0,0,0,1,0,0,1,1,222,0,0,0,0,0,222,6067,0,0,0,0,0,0,0,0,0,0,30,243,0,273,12629,0,0,0,0,152,0,0,0,121,222,121,121,0,6,0,0,6067,24,0,0,6562,0,0,0,0,0,0,0,0,24,0,0,24
Metter Police Department,2019-01-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,1,0,0,0,1,0,300,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244326,2,0,0,0,0,0,1490,95346839,0,0,0,0,953,0,0,35755065,0,0,0,0,0,0,0,0
Metter Police Department,2019-02-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,800,0,800,128000,0,0,128000,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,11918355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119184,0,0,1,0,59591775,238,1191835,119184,83428,0,12,0,0,47673420,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,23837,0,0,0,23836710,0,0,0,0
Metter Police Department,2019-03-01,Georgia,3949,GA02101,0,0,0,4100000,0,5,4100005,0,0,0,1550,0,0,0,155000,0,0,156550,0,4140000,0,4140000,0,0,8600000,0,3,0,0,0,0,0,0,0,0,0,241466,0,0,1,0,834285,0,0,0,0,0,0,0,2465908,11918,4005,1191835,74,0,0,0,0,0,292476430,0,0,1443,0,0,0,0,0,0,0,0,0,4767342,0,0,0,30,0,0,4964,0,0,0,2383671,166856969,0,119184,0,0,0,23836710
Metter Police Department,2019-04-01,Georgia,3949,GA02101,0,10000,0,0,10000,0,20000,0,10000,0,10000,10000,0,0,0,20000,10000,50000,0,0,30000,30000,0,0,112,0,0,0,0,0,0,0,0,110,0,560,0,0,0,0,0,0,0,0,0,1334856,0,0,0,0,0,0,0,560162682,0,0,7697,131102,2383671,14,0,0,228832415,0,40522407,7868,0,0,0,0,0,0,0,0,0,0,0,77374,0,0,0,0,0,0,8340,0,4767,715101296,2,0,0
Metter Police Department,2019-05-01,Georgia,3949,GA02101,0,2000000,0,40000,0,0,2040000,0,0,0,590,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11918355,0,238844,0,0,0,119,23836710,0,35755,0,0,2383671,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,572081037
Metter Police Department,2019-06-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,102490,100,0,1024,0,103614,0,0,0,0,0,9,0,0,8490000,0,40,0,0,0,0,0,0,48,0,0,0,0,0,0,1072651944,0,0,119,0,0,1173720,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,119184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11918355,0,119,0,0,0
Metter Police Department,2019-07-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88196,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88195827,0,0,0,0,0,0,0,0,0,0,0,88195827,881958265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88195827
Metter Police Department,2019-08-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,35755,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11918357,1191835,0,238,0,0,0,0,0,0,460048500,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,0,1132243719,0,0,18,631672812,14,0,3075,23109690,0,0,0
Metter Police Department,2019-09-01,Georgia,3949,GA02101,0,0,258000,0,0,0,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,100,0,0,0,154342696,230,1072651944,0,0,0,0,0,0,0,0,0,0,0,26220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238367,11918,0,23836715,0,5,953,23837,0,0,0,2384,0
Metter Police Department,2019-10-01,Georgia,3949,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1,507721920,0,0,0,0,0,0,0,0,1697,0,190694,1460,0,0,46481584,1192,0,0,122,0,330,0,0,0,53632597,0,0,0,1,0,0,0,1,0,47673,0,20261203,0,0,238367099,0,0,506530085,0,1389680,0,0,1,0,0,0,0,0,0
Metter Police Department,2019-11-01,Georgia,3949,GA02101,0,0,1600,0,100000,0,101600,0,0,0,0,0,0,0,0,0,1600000,1600000,0,0,0,0,0,0,0,0,100000,0,100000,100000,200000,0,0,0,2,1191835,0,0,0,0,59591775,0,0,1,0,0,0,0,11918,0,0,0,0,0,0,0,0,0,0,595918,0,60,0,0,0,0,0,0,0,23836710,882,0,0,0,8366685,881958265,0,0,0,0,0,0,0,0,9844561,0,0,0,0,0,0
Metter Police Department,2019-12-01,Georgia,3949,GA02101,740000,0,0,0,0,0,740000,50,0,0,0,7400000,0,0,0,0,0,7400000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,24075077,0,0,0,98,715101296,0,0,0,0,0,0,0,0,0,0,0,0,0,11918,0,357550648,0,238367,2384,119183549,0,12,2384,0,11918356,0,477,11918,0,0,0,11918,0,0,0,0,0,0,0,0,0
Metter Police Department,2020-01-01,Georgia,3927,GA02101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,5,9,0,0,0,0,2,0,0,2,5,0,2100,0,38210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,117731235,0,0,4356,0,0,0,117731,46,117731235,0,0,0,0,0,247235594,0,0,0,0,2484,0,0,0,0,0,0,0,0,0,42,0
Metter Police Department,2020-02-01,Georgia,3927,GA02101,0,1100,0,0,0,2100000,2101100,392100,0,0,0,0,0,0,0,0,0,0,2800000,0,0,2800000,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,588656,11773124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1177312,117731,11773,0,117731235,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metter Police Department,2020-03-01,Georgia,3927,GA02101,0,0,0,3500000,0,0,3500000,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121,0,0,0,0,82412,0,0,0,0,0,0,0,41206,0,0,0,0,0,0,0,0,0,0,588656176,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117731,0,0,0,1
Metter Police Department,2020-04-01,Georgia,3927,GA02101,0,10000,0,30000,0,0,40000,0,0,0,20000,10000,0,0,0,10000,10000,50000,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35319371,35319371,0,0,235,235462,3531937,7,0,0,523903997,0,17659685,489,0,0,0,4709,0,0,0,0,0,0,0,177,0,0,0,0,3532,0,18,0,0,0,0,0,0
Metter Police Department,2020-05-01,Georgia,3927,GA02101,0,5000000,0,0,0,0,5000000,0,0,0,330,0,0,0,10000,0,0,10330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11773124,0,0,0,0,0,118,11773125,0,35319,0,0,1177312,0,118,0,0,117731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,412059323
Metter Police Department,2020-06-01,Georgia,3927,GA02101,0,0,0,0,0,0,0,0,68000,0,0,0,5330,3000,0,53,0,8383,0,0,43500,43500,0,0,0,0,680000,0,3,0,0,0,0,0,0,0,0,51213,0,0,0,0,353193706,0,0,0,0,0,8006,0,0,0,0,3531937,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,117731,1,0,0,0,0,0,0,0,0,117731,0,0,1177,0,11773124,118,235,0,0,0
Metter Police Department,2020-07-01,Georgia,3927,GA02101,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000715499,1295,0,117731,0,0,1413,0,0,2178,0,0,0,0,0,0,0,1,4,0,0,58865618,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,2295759,0,4,0,0,58865618
Metter Police Department,2020-08-01,Georgia,3927,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,235,82412,2354625,0,0,117731,0,0,0,0,0,0,0,0,0,117731,117731235,35319373,1177312,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120086,0,72,941849882,71,0,1766,312929623,0,353194,0
Metter Police Department,2020-09-01,Georgia,3927,GA02101,0,0,1156000,0,0,0,1156000,0,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,0,2000000,0,10,0,0,0,0,100,0,0,0,726872646,1928,0,0,0,0,0,0,0,0,706387411,0,0,0,0,0,0,0,0,588656,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,117731235,0,1177,0,0,353194,0,0,23546249,0,2,824,23546,0,0,24,1177,0
Metter Police Department,2020-10-01,Georgia,3927,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,1657,0,0,0,6,461506442,0,0,0,0,719337847,0,0,141277482,6207,0,228399,5930,0,0,48269806,0,0,0,47,0,5298,0,0,19,142454795,0,0,0,0,0,0,0,0,0,0,0,87121114,0,0,0,0,0,461506442,0,4121771,0,0,6,0,0,0,0,0,0
Metter Police Department,2020-11-01,Georgia,3927,GA02101,0,0,0,0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,0,0,200000,0,0,0,2,2354625,0,0,0,0,0,0,0,35319374,235,0,0,0,94185,1177312,118,588656,0,0,0,0,0,0,0,0,482698064,0,0,0,0,0,0,0,0,0,4250,0,0,19,7181605,129504359,14,588656176,41206,0,0,0,0,12,108559972,0,0,0,0,0,0
Metter Police Department,2020-12-01,Georgia,3927,GA02101,6000000,0,0,0,0,0,6000000,15,91,0,0,2000000,5,0,0,0,0,2000005,0,0,35000,35000,0,0,0,0,0,0,8,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73111097,0,0,0,673,117731235,0,0,0,0,0,0,0,0,0,1,0,0,0,11773,0,0,1177312,353194,0,0,0,0,0,0,11773124,4,471,0,0,0,0,11773,0,0,0,0,0,0,0,0,0
Metter Police Department,2021-01-01,Georgia,4000,GA02101,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,1,0,0,2,0,0,1,1,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735413586,1,0,0,2,994045275,0,0,2418,0,1383,0,56224,1383,562242803,0,0,0,663446507,0,944567908,0,0,0,0,17992,0,2,562242803,0,0,0,0,1237,0,3,0
