agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
State Police: Oswego County,2018-09-01,New York,0,NY337SD,2,1,4,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,4,10,21,35,1,0,0,7,2,0,0,4,21,0,0,0,0,271,2002,4593,0,0,0,6866,2427,0,0,0,0,0,0,0,0,0,0,78,1207,47994,49279,60998,607,0,0,19898,182,0,0,382,28210,121,123,18765,1153,97,2761,0,2427,31824,0,1302,58571,0,92,0,243,0,0,0,0,383,0,0,718,1,1.21343405628813
State Police: Oswego County,2018-10-01,New York,0,NY337SD,3,0,2,2,0,1,8,4,0,4,0,0,0,0,1,0,0,1,12,9,14,35,0,2,0,4,9,0,0,10,10,2,0,2,0,0,1618,853,0,602,364,3436,971,0,1,0,0,0,0,28,0,0,28,313,1113,22293,23719,29126,0,218,0,8729,9620,0,0,1365,3786,0,11,10972,0,447,1876,0,971,13879,0,0,28155,0,0,644,0,34,56,0,971,2710,0,0,4414,1,1.21343405628813
State Police: Oswego County,2018-11-01,New York,0,NY337SD,1,0,3,0,0,2,6,4,0,2,0,0,0,0,0,0,0,0,8,10,11,29,0,0,0,2,4,0,0,6,17,3,0,3,0,0,607,0,0,0,72,678,91008,0,0,0,0,0,0,0,0,0,0,261,1059,103931,105251,287944,0,0,0,2002,461,0,0,222,102566,0,6,16566,0,777,0,0,54605,123770,1213,0,196937,0,0,510,0,649,0,0,18202,427,0,0,19787,1,1.21343405628813
State Police: Oswego County,2018-12-01,New York,0,NY337SD,2,0,3,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,11,10,12,33,1,0,0,1,2,0,0,6,23,2,0,2,0,0,2792,354,0,607,0,3753,0,0,0,0,0,0,0,0,0,0,0,326,1063,265123,266513,270266,607,0,0,61,186,0,0,380,265280,0,86,244693,0,61,0,0,0,25426,0,0,270266,0,41,12,0,0,0,0,0,357,0,0,410,1,1.21343405628813
State Police: Oswego County,2019-01-01,New York,0,NY337SD,3,2,2,0,0,0,7,2,0,5,0,0,0,0,0,0,0,0,9,7,9,25,0,0,0,1,2,0,0,13,9,0,14500,0,186500,0,0,0,0,0,0,0,5005709,0,0,0,0,0,0,0,0,0,0,1418,655509521,1,0,0,7,1120325364,0,0,21182,0,0,0,872424,304,905794975,0,0,8,0,12,1072651944,0,0,0,0,21811,0,0,512489262,0,0,0,0,8286,0,191,0,1,1.19183549339627
State Police: Oswego County,2019-02-01,New York,0,NY337SD,0,400,80,0,0,7200000,7200480,2559000,0,0,0,0,0,5550000,0,16500,0,5566500,5161000,1,0,5161001,0,25,0,0,5000000,0,0,0,0,120,0,0,0,33,357550648,64121,11918355,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23837,107265197,1192,3575506,357551,250285,1191835,0,0,0,95346839,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,238367099,0,0,12,1,1.19183549339627
State Police: Oswego County,2019-03-01,New York,0,NY337SD,21,0,6000000,3600000,1,12,9600034,0,0,0,42210,0,0,0,0,0,0,42210,0,3500000,0,3500000,135,3000000,0,0,0,0,0,0,0,0,0,0,0,0,848587,0,792570603,111,595917747,417142,0,0,0,119,0,0,0,10727,0,13795,1191835,12,1191835,0,0,0,0,278055221,953468395,0,2461,119184,0,1072651944,0,0,1191835,0,0,0,2979589,11,0,0,0,0,0,3235,0,0,0,0,243134441,0,119184,0,10,0,2,1,1.19183549339627
State Police: Oswego County,2019-04-01,New York,0,NY337SD,0,0,0,0,170000,0,170000,0,30000,0,80000,60000,0,0,10000,160000,90000,400000,150000,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,826,0,924,0,0,0,0,312,0,0,0,0,0,0,0,0,0,4,0,607836102,651934015,5,0,27847,815215,0,33,0,0,1067884602,0,357550648,29020,0,0,279,0,0,0,0,870039911,0,0,595917747,0,11918,0,2383671,0,0,0,27343,0,0,89387662,0,0,238,1,1.19183549339627
State Police: Oswego County,2019-05-01,New York,0,NY337SD,0,6000000,2000000,0,0,0,8000000,0,0,2000000,1560,0,0,0,11900,0,0,13460,0,0,0,0,5,0,1120000,0,0,0,0,0,0,0,0,0,0,0,0,238,23837,0,0,0,2383671,0,77,0,477,11918355,119183549,152912,0,0,0,834,166856973,476734,286041,119183549,0,17877532,0,238,0,7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11918,0,0,24,0,0,0,23848628,0,1263,0,0,154938614,1,1.19183549339627
State Police: Oswego County,2019-06-01,New York,0,NY337SD,0,0,0,0,0,1166000,1166000,0,339000,0,0,0,1064840,13200,0,10848,0,1088888,0,0,0,0,0,105,0,0,1630000,0,15,5000000,0,0,0,0,0,83,0,83428,0,256840549,15,119183549,595917747,0,0,0,5,0,12092601,0,0,238367099,29795887,362913908,0,0,12929,0,0,0,0,119183549,0,0,0,0,0,0,0,156,119184,5,0,0,0,0,143020259,300,0,1,1549386,0,0,5959,0,59591785,477,3218,0,0,23837,1,1.19183549339627
