agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Sachse Police Department,2018-09-01,Texas,18532,TX05721,1,0,0,1,1,0,3,2,0,2,0,0,0,0,0,0,0,0,6,3,8,17,1,0,0,9,1,0,0,1,5,0,0,0,0,0,42470,0,0,752,0,43223,46110,0,0,0,0,0,0,0,0,0,0,138,334,18319,18791,154235,42,0,0,4135,51,0,0,1539,13024,118,188,137,0,607,0,0,88581,17887,607,0,108124,1,0,0,0,0,0,0,42470,0,0,0,42471
Sachse Police Department,2018-10-01,Texas,18532,TX05721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,9,13,0,0,0,7,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,1,231,36191,36422,39822,0,0,0,7550,848,0,0,10429,17595,1371,10470,8773,0,1002,0,0,1699,11956,2852,0,38122,971,0,0,0,0,0,0,21842,1,0,0,22814
Sachse Police Department,2018-11-01,Texas,18532,TX05721,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,8,13,0,0,0,4,0,0,0,4,5,0,0,0,0,0,1517,0,0,0,0,1517,38382,0,0,0,0,0,0,0,0,0,0,41,511,19701,20253,98534,0,0,0,1266,0,0,0,1922,17066,10398,906,63,789,12,27,0,33977,10773,1675,1533,60152,375,865,0,0,12,27,0,58246,3297,0,16,62838
Sachse Police Department,2018-12-01,Texas,18532,TX05721,3,0,0,0,0,0,3,2,0,3,0,0,1,0,0,0,0,1,4,6,5,15,0,0,0,8,0,0,0,3,4,0,0,0,0,0,22470,0,0,0,0,22470,39637,0,0,0,0,8,0,0,0,0,8,79,601,32049,32729,134481,0,0,0,31990,0,0,0,428,311,485,392,31052,607,6,21720,0,31550,5816,3216,0,94844,0,228,0,0,0,0,0,1,72,218,0,519
Sachse Police Department,2019-01-01,Texas,18515,TX05721,1,0,1,0,3,1,6,1,0,0,0,0,0,0,0,0,0,0,6,1,5,12,1,0,0,4,0,0,0,4,3,0,5600,0,55330,0,0,0,0,0,0,0,2979589,0,0,0,0,0,0,0,0,0,0,2086,0,0,0,10,15,977305105,0,1847345,6468,23836710,0,0,59592,230,274122163,0,0,10,11918,834,655509521,0,0,0,11918355,0,0,0,476734197,0,0,0,0,5226,0,43,0
Sachse Police Department,2019-02-01,Texas,18515,TX05721,0,0,18,1,3000000,3500000,6500019,1935400,2500000,0,0,0,1000,4550000,0,7500,440000,4998500,8920000,0,0,8920000,0,45,260,0,5000000,0,0,0,0,70,30,0,0,304,0,3525092,11918355,0,0,0,0,0,0,11084,21,35278331,0,0,0,357550648,0,0,0,0,0,0,35755072,477,0,0,154939,0,0,0,0,35755065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachse Police Department,2019-03-01,Texas,18515,TX05721,50,0,6000000,200000,1,3,6200054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9000000,4900000,0,18,0,0,0,0,0,0,0,0,0,276148,0,0,2,119183549,0,0,0,0,0,0,0,0,0,0,1102,0,7,33967312,0,595917747,0,0,32179558,357550648,0,371,1430203,17,357550648,0,0,14302026,0,0,0,0,166,0,0,77,0,0,399,0,0,0,0,141828424,0,119184,0,1,0,1
Sachse Police Department,2019-04-01,Texas,18515,TX05721,0,10000,0,40000,20000,10000,80000,0,20000,0,10000,30000,0,0,0,30000,70000,140000,30000,0,10000,40000,0,0,0,0,0,0,0,0,0,0,0,859,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119183549,766350222,0,0,10398,168049,20910754,52,0,0,755623703,0,42906078,10609,0,11918,19,28556,0,0,0,1013060169,0,0,0,47197,0,0,1192,0,19069,0,36,0,0,119183549,0,774693071,895
Sachse Police Department,2019-05-01,Texas,18515,TX05721,0,9000000,0,0,0,0,9000000,0,0,0,8687,0,0,0,87000,0,0,95687,0,0,0,0,0,0,6580000,0,0,0,0,75,0,0,0,0,0,0,0,0,23837,0,0,0,1191835,0,119,0,0,11918355,0,304872,0,0,0,238,71510133,238367,131102,0,0,8342848,0,0,0,2384,238367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,238367099,9773051,0,110,0,0,834284845
Sachse Police Department,2019-06-01,Texas,18515,TX05721,0,0,0,0,0,840000,840000,0,343000,0,0,0,97050,9200,0,2123,5356,113729,0,0,75000,75000,0,8,0,0,1150000,0,0,0,0,0,0,0,0,173,1072651944,71510,0,42667711,1,238367099,119183549,0,0,638347,14,0,190694,0,0,0,0,759914311,0,0,1893,0,0,0,93,595917747,0,0,0,4,1072651944,0,0,14,119184,1,0,0,0,0,4767342,1001,0,0,476734,0,0,0,0,35755067,0,1073,0,0,23837
Sachse Police Department,2019-07-01,Texas,18515,TX05721,0,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13527,0,270547,0,19069368,13817,0,0,0,0,0,0,0,0,0,0,0,49,17878724,0,709142119,0,0,0,0,12486,0,0,0,270546657,0,0,686497244,1072651944,0,2,0,17879,0,0,95,0,7494262,0,0,0,17877532,0,738938006,2303818,0,31,96539,0,707950283
Sachse Police Department,2019-08-01,Texas,18515,TX05721,0,0,0,0,0,8100,8100,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7000000,1,5900010,0,0,0,0,0,477,250285,2383671,0,8343,715101,1,0,1192,0,0,0,0,1,0,238367,238367099,107265204,7151013,0,119,0,0,0,0,4052,0,0,0,0,0,0,0,0,40522,0,19307735,0,0,0,0,0,0,0,941550040,203041,19307735,405,965386750,394,0,10583,872101786,0,166857,0
Sachse Police Department,2019-09-01,Texas,18515,TX05721,0,990000,3500000,0,0,0,4490000,0,0,0,0,395,0,0,628,0,2000000,2001023,0,0,0,0,3,2500000,360000,0,17,27800,0,0,0,4000100,0,200,0,998996511,6690,834284845,0,0,0,18,30,171266760,30,715101296,2145304,0,357550648,95347,0,10,0,0,2197149,0,57565654,357550648,715101296,0,51129743,10,0,0,0,2145304,2366,0,1191835,0,119,0,0,0,0,3576,0,1,1549386,0,0,23836716,0,0,2384,107265,0,0,95,3576,0
Sachse Police Department,2019-10-01,Texas,18515,TX05721,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,36300,0,0,36300,0,0,0,15,0,0,0,0,0,250,0,19,5000000,37,433828120,0,0,0,2,305109886,0,7,154938614,30075,0,374236,29625,0,0,75085636,0,0,0,3397,0,0,0,0,1347,152554943,0,0,0,24,0,2089288,2,0,0,225257,0,535134137,2,0,348015964,866,0,433828120,0,14551120,0,0,37,0,0,0,0,0,0
Sachse Police Department,2019-11-01,Texas,18515,TX05721,0,806000,139200,0,100000,0,1045200,0,0,0,0,0,9000000,0,13,0,2800000,11800013,0,0,0,0,0,100000,0,100000,0,0,0,0,200000,0,1024,0,0,5959177,0,0,0,0,0,0,0,107265197,238,11918355,4767,0,154939,1191835,0,357551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643591,0,2694,0,0,298,122043955,1167998784,296,214530389,12,0,870039910,0,11608478,24,421194663,8343,0,0,0,0,0
Sachse Police Department,2019-12-01,Texas,18515,TX05721,2420000,16,0,0,1000,21400,2442416,60,0,0,0,5100000,213,0,0,0,0,5100213,1,0,100010,100011,10000,0,0,0,824000,0,31,4100000,0,0,0,0,0,0,0,5,0,47673,0,0,0,0,514157832,0,0,0,4211,1072651944,0,0,0,0,0,50,0,102,0,0,0,0,0,11918,0,0,0,715101,3576,0,1191835,36,0,0,35755066,0,1192,35755,0,0,0,35755,0,0,0,0,0,0,0,0,0
Sachse Police Department,2020-01-01,Texas,18403,TX05721,3,1,1,0,1,1,7,1,0,1,0,0,0,0,1,0,0,1,2,2,3,7,2,0,0,0,0,0,0,3,2,0,1100,0,18960,0,0,0,0,0,0,410882,1494009,0,0,0,0,0,0,0,0,410882,0,35949,0,0,0,0,40,168355666,0,2753734,1857,0,0,0,362612,463,70638741,0,0,7,17659685,0,1036034870,0,0,0,2719592,0,0,0,694614288,0,0,0,0,705,0,12,0
