agency,year,state,population,ORI,actual_single_occupancy,actual_other_residential,actual_storage,actual_industrial,actual_other_commercial,actual_community_public,actual_all_other_structures,actual_total_structures,actual_motor_vehicles,actual_other_mobile,actual_total_mobile,actual_all_other_arsons,actual_grand_total,total_cleared_single_occupancy,total_cleared_other_residential,total_cleared_storage,total_cleared_industrial,total_cleared_other_commercial,total_cleared_community_public,total_cleared_all_other_structures,total_cleared_total_structures,total_cleared_motor_vehicles,total_cleared_other_mobile,total_cleared_total_mobile,total_cleared_all_other_arsons,total_cleared_grand_total,cleared_18_single_occupancy,cleared_18_other_residential,cleared_18_storage,cleared_18_industrial,cleared_18_other_commercial,cleared_18_community_public,cleared_18_all_other_structures,cleared_18_total_structures,cleared_18_motor_vehicles,cleared_18_other_mobile,cleared_18_total_mobile,cleared_18_all_other_arsons,cleared_18_grand_total,unfounded_single_occupancy,unfounded_other_residential,unfounded_storage,unfounded_industrial,unfounded_other_commercial,unfounded_community_public,unfounded_all_other_structures,unfounded_total_structures,unfounded_motor_vehicles,unfounded_other_mobile,unfounded_total_mobile,unfounded_all_other_arsons,unfounded_grand_total,estimated_damage_single_occupancy,estimated_damage_other_residential,estimated_damage_storage,estimated_damage_industrial,estimated_damage_other_commercial,estimated_damage_community_public,estimated_damage_all_other_structures,estimated_damage_total_structures,estimated_damage_motor_vehicles,estimated_damage_other_mobile,estimated_damage_total_mobile,estimated_damage_all_other_arsons,estimated_damage_grand_total
Santa Rosa Police Department,1999,California,128750,CA04905,0,0,2,0,2,2,1,7,8,0,8,16,31,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22682,0,22682,183,22865
Santa Rosa Police Department,1998,California,125520,CA04905,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa Police Department,1997,California,120075,CA04905,8,1,0,0,2,2,7,20,6,0,6,19,45,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284738,0,284738,0,0,0,1059,285797
Santa Rosa Police Department,1996,California,118625,CA04905,2,0,1,0,2,2,4,11,9,1,10,28,49,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,39,87
Santa Rosa Police Department,1995,California,117550,CA04905,4,2,1,0,4,10,0,21,8,1,9,37,67,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31993,0,31993,0,31993
Santa Rosa Police Department,1994,California,118576,CA04905,1,2,0,0,5,5,1,14,9,0,9,26,49,0,0,0,0,1,2,0,3,1,0,1,1,5,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,1028,43169,0,43169,0,44197
Santa Rosa Police Department,1993,California,117746,CA04905,3,4,1,0,0,7,1,16,11,0,11,31,58,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,105,0,0,0,0,105
Santa Rosa Police Department,1992,California,117527,CA04905,4,1,0,0,1,4,3,13,7,0,7,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600,0,7600,0,7600
Santa Rosa Police Department,1991,California,115673,CA04905,2,3,0,0,4,2,0,11,6,0,6,27,44,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100678,51308,0,0,11186,4475,0,167648,447,0,447,559,168654
Santa Rosa Police Department,1990,California,113313,CA04905,1,0,0,0,5,0,0,6,6,0,6,24,38,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,700,117,816
Santa Rosa Police Department,1989,California,111084,CA04905,5,1,1,0,3,5,2,17,15,0,15,20,52,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189261,0,0,0,0,0,0,189261,0,0,0,123,189384
Santa Rosa Police Department,1988,California,102391,CA04905,4,5,0,0,6,3,3,21,10,1,11,11,43,0,1,0,0,0,2,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39937,0,39937,0,39937
Santa Rosa Police Department,1987,California,100067,CA04905,3,3,1,1,3,2,2,15,9,0,9,13,42,0,1,0,0,0,0,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877,0,0,0,0,0,80583,82460,1609,0,1609,0,84069
Santa Rosa Police Department,1986,California,96160,CA04905,5,1,0,0,2,3,2,13,5,0,5,19,37,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,278,0,0,0,556,834
Santa Rosa Police Department,1985,California,93124,CA04905,4,1,0,0,5,4,3,17,9,2,11,28,56,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31159,0,0,0,0,0,70817,101976,11331,0,11331,0,113307
Santa Rosa Police Department,1984,California,90501,CA04905,6,4,1,2,5,3,3,24,9,0,9,45,78,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23465,733,0,0,0,0,0,24198,2346,0,2346,0,26545
Santa Rosa Police Department,1983,California,87694,CA04905,4,2,0,1,0,2,4,13,6,2,8,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,306,459,0,459,39018,39783
Santa Rosa Police Department,1982,California,86127,CA04905,8,1,2,0,7,4,3,25,12,1,13,27,65,4,0,0,0,0,1,0,5,1,0,1,0,6,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,34891,0,0,35522,632,0,632,0,36154
Santa Rosa Police Department,1981,California,84159,CA04905,8,2,1,1,4,1,5,22,10,0,10,52,84,0,0,0,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,6367,0,6367,0,6451
Santa Rosa Police Department,1980,California,81977,CA04905,11,4,8,0,3,1,1,28,16,0,16,31,75,1,0,1,0,0,0,0,2,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882,0,0,0,0,0,3882,0,0,0,0,3882
