agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
East Taylor Township Police Department,2003,Pennsylvania,2690,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2002,Pennsylvania,2738,PA01126,0,1,0,0,1,1,3,4,0,2,0,0,0,0,0,0,0,0,2,4,3,9,0,0,1,2,1,0,0,1,4,0,0,0,423,0,847,1270,22868,0,0,0,0,0,0,0,0,0,0,85,628,8809,9522,33661,0,0,85,576,6776,0,0,17,2068,0,0,2915,847,254,3405,0,22868,2863,0,508,33661,0,0,0,0,254,17,0,8470,68,0,0,8809
East Taylor Township Police Department,2001,Pennsylvania,2727,PA01126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,6,14,1,1,0,5,2,0,0,0,5,0,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,0,0,93,885,3776,4753,6474,172,110,0,2755,1279,0,0,0,437,0,0,1136,0,179,0,0,1721,1797,0,1642,6474,0,0,0,0,0,0,0,0,110,0,0,110
East Taylor Township Police Department,2000,Pennsylvania,2726,PA01126,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,3,7,2,0,0,0,0,0,0,0,5,0,8847,5361,88,0,0,14297,3240,0,0,0,0,0,0,0,0,0,0,3781,124,8214,12119,29656,6069,0,0,0,0,0,0,0,6050,0,0,2743,0,0,3539,0,3240,12119,0,8016,29656,0,0,0,0,0,0,0,0,10390,0,0,10390
East Taylor Township Police Department,1999,Pennsylvania,2941,PA01126,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,3,8,1,0,0,1,1,0,0,0,5,0,0,0,549,0,0,549,0,0,0,0,0,0,0,0,0,0,0,1070,787,4390,6247,6796,979,0,0,1829,1098,0,0,0,2341,0,128,0,1098,0,1463,0,0,1729,549,1829,6796,0,0,0,1098,0,0,0,0,0,0,0,1098
East Taylor Township Police Department,1998,Pennsylvania,2972,PA01126,2,3,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,15782,14954,1495,0,0,0,32231,12150,0,0,0,0,0,0,0,0,0,0,0,232,0,232,44613,232,0,0,0,0,0,0,0,0,0,0,2430,0,0,11215,0,12150,9662,0,9156,44613,0,0,280,0,0,0,0,2804,0,0,4486,7570
East Taylor Township Police Department,1997,Pennsylvania,3109,PA01126,0,0,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,2,1,4,0,0,0,1,0,0,1,0,2,0,0,1519,5247,0,0,6765,0,0,0,0,114,0,0,0,0,0,114,57,385,801,1243,8123,0,0,0,275,0,0,57,0,911,0,0,1661,0,0,0,0,0,1063,5247,152,8123,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,1996,Pennsylvania,3119,PA01126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,486,486,0,0,0,0,486,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,1995,Pennsylvania,3124,PA01126,0,1,1,0,2,0,4,2,0,1,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,1,2,0,0,0,3,900,0,1000,2000,0,0,3899,1800,0,0,0,0,0,0,0,0,0,0,30,990,0,1020,6719,0,0,0,250,500,0,0,0,270,0,0,300,0,0,0,0,1800,3169,1000,450,6719,0,0,0,0,0,0,0,1800,0,0,0,1800
East Taylor Township Police Department,1994,Pennsylvania,3119,PA01126,0,2,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,8,12,11,31,3,1,0,3,6,0,0,2,16,2045,0,7483,6434,0,0,15962,0,0,0,0,0,0,0,0,0,0,0,286,2440,13278,16003,31966,7503,236,0,1862,2775,0,0,103,3523,0,0,452,0,1028,0,0,2056,14523,218,13689,31966,0,0,0,0,0,0,0,0,0,0,0,0
