ori,ori9,fips_state_county_code,crosswalk_agency_name,census_name
AL01201,AL0120100,01017,Lafayette Police Department,Lafayette City
AL01202,AL0120200,01017,Lanett Police Department,Lanett City
AL01204,AL0120400,01017,Valley Police Department,Valley City
AL01200,AL0120000,01017,Chambers County Sheriff's Office,Chambers County
AL01302,AL0130200,01019,Cedar Bluff Police Department,Cedar Bluff Town
AL01301,AL0130100,01019,Centre Police Department,Centre City
AL01303,AL0130300,01019,Leesburg Police Department,Leesburg Town
AL01300,AL0130000,01019,Cherokee County Sheriff's Office,Cherokee County
AL01401,AL0140100,01021,Clanton Police Department,Clanton City
AL01403,AL0140300,01021,Jemison Police Department,Jemison City
AL01402,AL0140200,01021,Maplesville Police Department,Maplesville Town
AL01404,AL0140400,01021,Thorsby Police Department,Thorsby Town
AL01400,AL0140000,01021,Chilton County Sheriff's Office,Chilton County
AL01501,AL0150100,01023,Butler Police Department,Butler Town
AL01502,AL0150200,01023,Gilbertown Police Department,Gilbertown Town
AL01503,AL0150300,01023,Pennington Police Department,Pennington Town
AL01504,AL0150400,01023,Silas Police Dept,Silas Town
AL01505,AL0150500,01023,Toxey Police Department,Toxey Town
AL01500,AL0150000,01023,Choctaw County Sheriff's Office,Choctaw County
AL01606,AL0160600,01025,Coffeeville Police Department,Coffeeville Town
AL01604,AL0160400,01025,Fulton Police Department,Fulton Town
AL01603,AL0160300,01025,Grove Hill Police Department,Grove Hill Town
AL01601,AL0160100,01025,Jackson Police Department,Jackson City
AL01602,AL0160200,01025,Thomasville Police Department,Thomasville City
AL01600,AL0160000,01025,Clarke County Sheriff's Office,Clarke County
AL01701,AL0170100,01027,Ashland Police Department,Ashland City
AL00117,AL0011700,01027,Brownsville Pd,_undetermined
AL01702,AL0170200,01027,Lineville Police Department,Lineville City
AL01700,AL0170000,01027,Clay County Sheriff's Office,Clay County
AL01801,AL0180100,01029,Heflin Police Department,Heflin City
AL01802,AL0180200,01029,Ranburne Police Department,Ranburne Town
AL01800,AL0180000,01029,Cleburne County Sheriff's Office,Cleburne County
AL01901,AL0190100,01031,Elba Police Department,Elba City
AL01902,AL0190200,01031,Enterprise Police Department,Enterprise City
AL01905,AL0190500,01031,Enterprise St Jr Coll Campus Pd Enterprise,State Of Alabama
AL01904,AL0190400,01031,Kinston Police Department,Kinston Town
AL01903,AL0190300,01031,New Brockton Police Department,New Brockton Town
AL01900,AL0190000,01031,Coffee County Sheriff's Office,Coffee County
AL02004,AL0200400,01033,Cherokee Police Department,Cherokee Town
AL02005,AL0200500,01033,Leighton Police Department,Leighton Town
AL02006,AL0200600,01033,Littleville Police Department,Littleville Town
AL02003,AL0200300,01033,Muscle Shoals Police Department,Muscle Shoals City
AL02008,AL0200800,01033,Northwest Shoals Community College Police,State Of Alabama
AL02001,AL0200100,01033,Sheffield Police Department,Sheffield City
AL02002,AL0200200,01033,Tuscumbia Police Department,Tuscumbia City
AL02000,AL0200000,01033,Colbert County Sheriff's Office,Colbert County
AL02102,AL0210200,01035,Castleberry Pd,Castleberry Town
AL02101,AL0210100,01035,Evergreen Police Department,Evergreen City
AL02103,AL0210300,01035,Repton Police Dept,Repton Town
AL02100,AL0210000,01035,Conecuh County Sheriff's Office,Conecuh County
AL02201,AL0220100,01037,Goodwater Police Department,Goodwater Town
AL02202,AL0220200,01037,Rockford Police Department,Rockford Town
AL02200,AL0220000,01037,Coosa County Sheriff's Office,Coosa County
AL02301,AL0230100,01039,Andalusia Police Dept.,Andalusia City
AL02308,AL0230800,01039,22nd Judicial Circuit Drug Task Force,Andalusia City
AL02303,AL0230300,01039,Florala Police Department,Florala Town
AL02304,AL0230400,01039,Gantt Pd,Gantt Town
AL02306,AL0230600,01039,Lockhart Police Department,Lockhart Town
AL02302,AL0230200,01039,Opp Police Department,Opp City
AL02305,AL0230500,01039,Red Level Police Dept,Red Level Town
AL02307,AL0230700,01039,River Falls Police Dept,River Falls Town
AL02300,AL0230000,01039,Covington County Sheriff's Office,Covington County
AL02402,AL0240200,01041,Brantley Police Department,Brantley Town
AL02403,AL0240300,01041,Dozier Police Department,Dozier Town
AL02404,AL0240400,01041,Glenwood Police Dept,Glenwood Town
AL02401,AL0240100,01041,Luverne Police Department,Luverne City
AL02400,AL0240000,01041,Crenshaw County Sheriff's Office,Crenshaw County
AL02501,AL0250100,01043,Cullman Police Department,Cullman City
AL02503,AL0250300,01043,Garden City Pd,Garden City Town
AL02504,AL0250400,01043,Good Hope Police Department Cullman,Good Hope Town
AL02502,AL0250200,01043,Hanceville Police Department,Hanceville City
AL02500,AL0250000,01043,Cullman County Sheriff's Office,Cullman County
AL02608,AL0260800,01045,Ariton Police Department,Ariton Town
AL02609,AL0260900,01045,Clayhatchee Police Department,Clayhatchee Town
AL02602,AL0260200,01045,Daleville Police Department,Daleville City
AL02603,AL0260300,01045,Level Plains Police Department,Level Plains Town
AL02606,AL0260600,01045,Midland City Police Department,Midland City Town
AL02604,AL0260400,01045,Napier Field Police Department,Napier Field Town
AL02605,AL0260500,01045,Newton Police Department,Newton Town
AL02601,AL0260100,01045,Ozark Police Department,Ozark City
AL02607,AL0260700,01045,Pinckard Police Department,Pinckard Town
AL02600,AL0260000,01045,Dale County Sheriff's Office,Dale County
AL02702,AL0270200,01047,Wallace Community College - Selma Police Dept,State Of Alabama
AL02701,AL0270100,01047,Selma Police Department,Selma City
AL02700,AL0270000,01047,Dallas County Sheriff's Office,Dallas County
AL02802,AL0280200,01049,Collinsville Police Department,Collinsville Town
AL02810,AL0281000,01049,Crossville Police Department,Crossville Town
AL02801,AL0280100,01049,Fort Payne Police Department,Fort Payne City
AL02811,AL0281100,01049,Fyffe Police Department,Fyffe Town
AL02803,AL0280300,01049,Geraldine Police Department,Geraldine Town
AL02808,AL0280800,01049,Hammondville Police Department,Hammondville Town
AL02804,AL0280400,01049,Henegar Police Department,Henagar City
AL02814,AL0281400,01049,Ider Police Department,Ider Town
AL02806,AL0280600,01049,Mentone Police Department,Mentone Town
AL02805,AL0280500,01049,Powell Police Department,Powell Town
AL02807,AL0280700,01049,Rainsville Police Department,Rainsville City
AL02812,AL0281200,01049,Sylvania Police Department,Sylvania Town
AL02813,AL0281300,01049,Valley Head Police Department,Valley Head Town
AL02800,AL0280000,01049,Dekalb County Sheriff's Office,De Kalb County
AL02904,AL0290400,01051,Coosada Police Department,Coosada Town
AL02903,AL0290300,01051,Eclectic Police Department,Eclectic Town
AL02906,AL0290600,01051,Millbrook Police Department,Millbrook City
AL02902,AL0290200,01051,Tallassee Police Department,Tallassee City
AL02901,AL0290100,01051,Wetumpka Police Department,Wetumpka City
AL02900,AL0290000,01051,Elmore County Sheriff's Office,Elmore County
AL03001,AL0300100,01053,Atmore Police Department,Atmore City
ALDI003,ALDI00300,01053,Poarch Creek Tribal Police Dept,Poarch Creek Indians
AL03002,AL0300200,01053,Brewton Police Department,Brewton City
AL03003,AL0300300,01053,East Brewton Police Department,East Brewton City
AL03004,AL0300400,01053,Flomaton Police Department,Flomaton Town
AL03000,AL0300000,01053,Escambia County Sheriff's Office,Escambia County
AL03109,AL0310900,01055,Altoona Police Department,Altoona Town
AL03101,AL0310100,01055,Attalla Police Department,Attalla City
AL03102,AL0310200,01055,Gadsden Police Department,Gadsden City
AL03104,AL0310400,01055,Glencoe Police Department,Glencoe City
AL03106,AL0310600,01055,Hokes Bluff Police Department,Hokes Bluff City
AL03105,AL0310500,01055,Rainbow City Police Department,Rainbow City City
AL03108,AL0310800,01055,Sardis City Police Department,Sardis City Town
AL03107,AL0310700,01055,Southside Police Department,Southside City
AL03110,AL0311000,01055,Walnut Grove Pd,Walnut Grove Town
AL03100,AL0310000,01055,Etowah County Sheriff's Office,Etowah County
AL03122,AL0312200,01055,Etowah County Drug Enforcement Unit,Etowah County
AL03202,AL0320200,01057,Berry Police Department,Berry Town
AL03201,AL0320100,01057,Fayette Police Department,Fayette City
AL03200,AL0320000,01057,Fayette County Sheriff's Office,Fayette County
AL03305,AL0330500,01059,Hodges Police Dept,Hodges Town
AL03302,AL0330200,01059,Phil Campbell Police Department,Phil Campbell Town
AL03303,AL0330300,01059,Red Bay Police Department,Red Bay City
AL03301,AL0330100,01059,Russellville Police Department,Russellville City
AL03304,AL0330400,01059,Vina Pd,Vina Town
AL03300,AL0330000,01059,Franklin County Sheriff's Office,Franklin County
AL03405,AL0340500,01061,Coffee Springs Pd,Coffee Springs Town
AL03401,AL0340100,01061,Geneva Police Department,Geneva City
AL03403,AL0340300,01061,Hartford Police Department,Hartford City
AL03402,AL0340200,01061,Samson Police Department,Samson City
AL03404,AL0340400,01061,Slocomb Police Department,Slocomb City
AL03400,AL0340000,01061,Geneva County Sheriff's Office,Geneva County
AL03501,AL0350100,01063,Eutaw Police Department,Eutaw Town
AL03502,AL0350200,01063,Forkland Police Department,Forkland Town
AL03500,AL0350000,01063,Greene County Sheriff's Office,Greene County
AL03601,AL0360100,01065,Greensboro Police Department,Greensboro City
AL03602,AL0360200,01065,Moundville Police Department,Moundville Town
AL03600,AL0360000,01065,Hale County Sheriff's Office,Hale County
AL03701,AL0370100,01067,Abbeville Police Department,Abbeville City
AL03702,AL0370200,01067,Headland Police Department,Headland City
AL03703,AL0370300,01067,Newville Police Dept,Newville Town
AL03700,AL0370000,01067,Henry County Sheriff's Office,Henry County
AL03802,AL0380200,01069,Ashford Police Department,Ashford Town
AL03804,AL0380400,01069,Columbia Police Department,Columbia Town
AL03805,AL0380500,01069,Cottonwood Police Department,Cottonwood Town
AL03801,AL0380100,01069,Dothan Police Department,Dothan City
AL03808,AL0380800,01069,Wallace Community College - Dothan Police,State Of Alabama
AL03803,AL0380300,01069,Gordon Police Department,Gordon Town
AL03806,AL0380600,01069,Kinsey Police Department,Kinsey Town
AL03809,AL0380900,01069,Taylor Police Department,Taylor Town
AL03810,AL0381000,01069,Webb Police Department,Webb Town
AL03800,AL0380000,01069,Houston County Sheriff's Office,Houston County
AL03902,AL0390200,01071,Bridgeport Police Department,Bridgeport City
AL03906,AL0390600,01071,Dutton Pd,Dutton Town
AL03904,AL0390400,01071,Hollywood Police Department,Hollywood Town
AL03905,AL0390500,01071,Pisgah Police Dept,Pisgah Town
AL03901,AL0390100,01071,Scottsboro Police Department,Scottsboro City
AL03907,AL0390700,01071,Section Police Department,Section Town
AL03909,AL0390900,01071,Skyline Police Department,Skyline Town
AL03903,AL0390300,01071,Stevenson Police Department,Stevenson City
AL03908,AL0390800,01071,Woodville Police Department,Woodville Town
AL03900,AL0390000,01071,Jackson County Sheriff's Office,Jackson County
AL00122,AL0012200,01073,Adamsville Police Department,Adamsville City
AL00101,AL0010100,01073,Bessemer Police Department,Bessemer City
AL00124,AL0012400,01073,University Of Alabama - Birmingham Police Dept,State Of Alabama
AL00134,AL0013400,01073,Jefferson State Community College Police Departmen,State Of Alabama
AL00102,AL0010200,01073,Birmingham Police Department,Birmingham City
AL00141,AL0014100,01073,Samford University,State Of Alabama
AL00118,AL0011800,01073,Brighton Police Department,Brighton City
AL00127,AL0012700,01073,Brookside Police Department,Brookside Town
AL00128,AL0012800,01073,Cardiff Pd,Cardiff Town
AL00130,AL0013000,01073,County Line Pd Trafford,County Line Town
AL00104,AL0010400,01073,Fairfield Police Department,Fairfield City
AL00111,AL0011100,01073,Fultondale Police Department,Fultondale City
AL00105,AL0010500,01073,Gardendale Police Department,Gardendale City
AL00116,AL0011600,01073,Graysville Pd,Graysville City
AL00110,AL0011000,01073,Homewood Police Department,Homewood City
AL00112,AL0011200,01073,Hoover Police Department,Hoover City
AL00119,AL0011900,01073,Hueytown Police Department,Hueytown City
AL00113,AL0011300,01073,Irondale Police Department,Irondale City
AL00129,AL0012900,01073,Kimberly Police Department,Kimberly Town
AL00106,AL0010600,01073,Leeds Police Department,Leeds City
AL00120,AL0012000,01073,Lipscomb Police Department,Lipscomb City
AL00107,AL0010700,01073,Midfield Police Department,Midfield City
AL00126,AL0012600,01073,Morris Police Department,Morris Town
AL00103,AL0010300,01073,Mountain Brook Police Department,Mountain Brook City
AL00114,AL0011400,01073,Pleasant Grove Police Department,Pleasant Grove City
AL00115,AL0011500,01073,Roosevelt Pd,_undetermined
AL00108,AL0010800,01073,Tarrant Police Department,Tarrant City
AL00125,AL0012500,01073,Trafford Police Department,Trafford Town
AL00121,AL0012100,01073,Trussville Police Department,Trussville City
AL00145,AL0014500,01073,Fire And Explosion Invest Unit Trussville Fire,State Of Alabama
AL00109,AL0010900,01073,Vestavia Hills Police Department,Vestavia Hills City
AL00123,AL0012300,01073,Warrior Police Department,Warrior City
AL00100,AL0010000,01073,Jefferson County Sheriff's Office,Jefferson County
AL00135,AL0013500,01073,Norfolk Southern Railway,State Of Alabama
AL04003,AL0400300,01075,Kennedy Police Dept,Kennedy Town
AL04004,AL0400400,01075,Millport Police Department,Millport Town
AL04001,AL0400100,01075,Sulligent Police Department,Sulligent City
AL04002,AL0400200,01075,Vernon Police Department,Vernon City
AL04000,AL0400000,01075,Lamar County Sheriff's Office,Lamar County
AL04103,AL0410300,01077,Anderson Police Department,Anderson Town
AL04101,AL0410100,01077,Florence Police Department,Florence City
AL04108,AL0410800,01077,University Of North Alabama Police Department,State Of Alabama
AL04107,AL0410700,01077,Killen Police Department,Killen Town
AL04105,AL0410500,01077,Lexington Police Department,Lexington Town
AL04106,AL0410600,01077,Rogersville Police Department,Rogersville Town
AL04104,AL0410400,01077,St. Florian Police Department,St Florian Town
AL04102,AL0410200,01077,Waterloo Pd,Waterloo Town
AL04100,AL0410000,01077,Lauderdale County Sheriff's Office,Lauderdale County
AL04203,AL0420300,01079,Courtland Police Department,Courtland Town
AL04204,AL0420400,01079,Hillsboro Police Department,Hillsboro Town
AL04201,AL0420100,01079,Moulton Police Department,Moulton City
AL04205,AL0420500,01079,North Courtland Police Department,North Courtland Town
AL04202,AL0420200,01079,Town Creek Police Department,Town Creek Town
AL04200,AL0420000,01079,Lawrence County Sheriff's Office,Lawrence County
AL04301,AL0430100,01081,Auburn Police Department,Auburn City
AL04303,AL0430300,01081,Auburn University Department Of Public Safety & Se,State Of Alabama
AL04302,AL0430200,01081,Opelika Police Department,Opelika City
AL04300,AL0430000,01081,Lee County Sheriff's Office,Lee County
AL04402,AL0440200,01083,Ardmore Police Department,Ardmore Town
AL04401,AL0440100,01083,Athens Police Department,Athens City
AL04403,AL0440300,01083,Elkmont Police Department,Elkmont Town
AL04400,AL0440000,01083,Limestone County Sheriff's Office,Limestone County
AL04501,AL0450100,01085,Fort Deposit Police Department,Fort Deposit Town
AL04502,AL0450200,01085,Hayneville Police Department,Hayneville Town
AL04507,AL0450700,01085,2nd Jud Circ Drug Task Frc Lowndes Co So Dept,_undetermined
AL04504,AL0450400,01085,Mosses Police Department,Mosses Town
AL04505,AL0450500,01085,White Hall Police Dept,White Hall Town
AL04500,AL0450000,01085,Lowndes County Sheriff's Office,Lowndes County
AL04602,AL0460200,01087,Notasulga Police Department,Notasulga Town
AL04606,AL0460600,01087,Shorter Police Department,Shorter Town
AL04601,AL0460100,01087,Tuskegee Police Department,Tuskegee City
AL04607,AL0460700,01087,Tuskegee University Department Of Public Safety,State Of Alabama
AL04600,AL0460000,01087,Macon County Sheriff's Office,Macon County
AL04703,AL0470300,01089,Gurley Police Department,Gurley Town
AL04701,AL0470100,01089,Huntsville Police Department,Huntsville City
AL04707,AL0470700,01089,University Of Alabama - Huntsville Police Dept,State Of Alabama
AL04702,AL0470200,01089,Madison Police Department,Madison City
AL04704,AL0470400,01089,New Hope Police Department,New Hope City
AL04708,AL0470800,01089,Alabama A & M University Police Department,State Of Alabama
AL04705,AL0470500,01089,Owens Crossroad Police Department,Owens Cross Roads Town
AL04706,AL0470600,01089,Triana Police Department,Triana Town
AL04709,AL0470900,01089,Huntsville - Madison Airport Police Department,Huntsville-madison County Airport Authority
AL04700,AL0470000,01089,Madison County Sheriff's Office,Madison County
AL04711,AL0471100,01089,Madison Morgan County Hidta Stac,_undetermined
AL04801,AL0480100,01091,Demopolis Police Department,Demopolis City
AL04804,AL0480400,01091,Faunsdale Pd,Faunsdale Town
AL04802,AL0480200,01091,Linden Police Department,Linden City
AL04805,AL0480500,01091,Myrtlewood Police Dept,Myrtlewood Town
AL04806,AL0480600,01091,Sweet Water Police Department,Sweet Water Town
AL04803,AL0480300,01091,Thomaston Pd,Thomaston Town
AL04800,AL0480000,01091,Marengo County Sheriff's Office,Marengo County
AL04807,AL0480700,01091,17th Jud Circuit Drug Tf,Marengo County
AL04907,AL0490700,01093,Bear Creek Police Department,Bear Creek Town
AL04905,AL0490500,01093,Brilliant Police Department,Brilliant Town
AL04903,AL0490300,01093,Guin Police Department,Guin City
AL04904,AL0490400,01093,Hackleburg Police Department,Hackleburg Town
AL04901,AL0490100,01093,Hamilton Police Department,Hamilton City
AL04906,AL0490600,01093,Weston Pd,_undetermined
AL04902,AL0490200,01093,Winfield Police Department,Winfield City
AL04900,AL0490000,01093,Marion County Sheriff's Office,Marion County
AL05001,AL0500100,01095,Albertville Police Department,Albertville City
AL05003,AL0500300,01095,Arab Police Department,Arab City
AL05004,AL0500400,01095,Boaz Police Department,Boaz City
AL05006,AL0500600,01095,Douglas Police Department,Douglas Town
AL05005,AL0500500,01095,Grant Police Department,Grant Town
AL05002,AL0500200,01095,Guntersville Police Department,Guntersville City
AL05000,AL0500000,01095,Marshall County Sheriff's Office,Marshall County
AL05008,AL0500800,01095,Marshall County Drug Enforcement Unit,Marshall County
AL00206,AL0020600,01097,Bayou La Batre Police Department,Bayou La Batre City
AL00203,AL0020300,01097,Chickasaw Police Department,Chickasaw City
AL00204,AL0020400,01097,Citronelle Police Department,Citronelle City
AL00212,AL0021200,01097,Creola Police Department,Creola City
AL00215,AL0021500,01097,Dauphin Island Police Department,Dauphin Island Town
AL00217,AL0021700,01097,Bishop State Community College Police,State Of Alabama
AL00201,AL0020100,01097,Mobile Police Department,Mobile City
AL00214,AL0021400,01097,University Of South Alabama Police Department,State Of Alabama
AL00208,AL0020800,01097,Mount Vernon Police Department,Mt Vernon Town
AL00202,AL0020200,01097,Prichard Police Department,Prichard City
AL00205,AL0020500,01097,Saraland Police Department,Saraland City
AL00207,AL0020700,01097,Satsuma Police Department,Satsuma City
AL00209,AL0020900,01097,Wilmer Pd,State Of Alabama
AL00200,AL0020000,01097,Mobile County Sheriff's Office,Mobile County
AL05103,AL0510300,01099,Beatrice Police Department,Beatrice Town
AL05104,AL0510400,01099,Excel Police Department,Excel Town
AL05102,AL0510200,01099,Frisco City Police Department,Frisco City Town
AL05101,AL0510100,01099,Monroeville Police Department,Monroeville City
AL05100,AL0510000,01099,Monroe County Sheriff's Dept,Monroe County
AL00301,AL0030100,01101,Montgomery Police Department,Montgomery City
AL00307,AL0030700,01101,Auburn University-montgomery Police Department,State Of Alabama
AL00303,AL0030300,01101,Alabama Department Of Conservation - Marine Police,State Of Alabama
AL00304,AL0030400,01101,Alabama Alcoholic Beverage Control Board,State Of Alabama
AL00306,AL0030600,01101,Alabama State University Police,State Of Alabama
AL00313,AL0031300,01101,Alabama Capitol Police Department,State Of Alabama
ALAST00,ALAST0000,01101,St Troopers Hdq Montgomery,State Of Alabama
AL003FA,AL003FA00,01101,Faulkner University,State Of Alabama
AL00305,AL0030500,01101,Al Mental Hlth Bureau Of Special Investigations,State Of Alabama
AL00308,AL0030800,01101,Al Public Service Comm Enforcemt Div Montgomery,State Of Alabama
AL00319,AL0031900,01101,Housing Authority Investigative Unit Montgomery,Montgomery City
AL00322,AL0032200,01101,Trenholm Campus Police Department,State Of Alabama
AL00310,AL0031000,01101,Al Forestry Comm Law Enfor Sect Montgomery,State Of Alabama
AL00314,AL0031400,01101,St Fire Marshals Off Montgomery,State Of Alabama
AL00320,AL0032000,01101,Acjic Investigative Unit,State Of Alabama
AL00300,AL0030000,01101,Montgomery County Sheriff's Office,Montgomery County
AL05201,AL0520100,01103,Decatur Police Department,Decatur City
AL05211,AL0521100,01103,Calhoun Community College - Decatur Police Departm,State Of Alabama
AL05205,AL0520500,01103,Flint Pd Decatur,State Of Alabama
AL05204,AL0520400,01103,Falkville Police Department,Falkville Town
AL05202,AL0520200,01103,Hartselle Police Department,Hartselle City
AL05209,AL0520900,01103,Priceville Police Department,Priceville Town
AL05206,AL0520600,01103,Somerville Police Department,Somerville Town
AL05207,AL0520700,01103,Trinity Police Department,Trinity Town
AL05200,AL0520000,01103,Morgan County Sheriff's Office,Morgan County
AL05301,AL0530100,01105,Marion Police Department,Marion City
AL05302,AL0530200,01105,Uniontown Police Department,Uniontown Town
AL05300,AL0530000,01105,Perry County Sheriff's Office,Perry County
AL05401,AL0540100,01107,Aliceville Police Department,Aliceville City
AL05404,AL0540400,01107,Carrollton Police Department,Carrollton Town
AL05402,AL0540200,01107,Gordo Police Department,Gordo Town
AL05405,AL0540500,01107,Pickensville Police Department,Pickensville Town
AL05403,AL0540300,01107,Reform Police Department,Reform Town
AL05407,AL0540700,01107,24th Judic Crt Drug Viol Crime Task Frc Da Off,_undetermined
AL05400,AL0540000,01107,Pickens County Sheriff's Office,Pickens County
AL05502,AL0550200,01109,Brundidge Police Department,Brundidge City
AL05501,AL0550100,01109,Troy Police Department,Troy City
AL05503,AL0550300,01109,Troy University Police Department,State Of Alabama
AL05500,AL0550000,01109,Pike County Sheriff's Office,Pike County
AL05601,AL0560100,01111,Roanoke Police Department,Roanoke City
AL05602,AL0560200,01111,Wadley Police Department,Wadley Town
AL05603,AL0560300,01111,Wedowee Police Department,Wedowee Town
AL05600,AL0560000,01111,Randolph County Sheriff's Office,Randolph County
AL05605,AL0560500,01111,5th Jud Circuit Nrcts Un,Randolph County
AL05702,AL0570200,01113,Hurtsboro Pd,Hurtsboro Town
AL05701,AL0570100,01113,Phenix City Police Department,Phenix City
AL05700,AL0570000,01113,Russell County Sheriff's Office,Russell County
AL05812,AL0581200,01115,Argo Police Department,Argo Town
AL05802,AL0580200,01115,Ashville Police Department,Ashville City
AL05810,AL0581000,01115,Branchville Pd Odenville,_undetermined
AL05808,AL0580800,01115,Margaret Police Department,Margaret Town
AL05806,AL0580600,01115,Moody Police Department,Moody City
AL05805,AL0580500,01115,Odenville Police Department,Odenville Town
AL05801,AL0580100,01115,Pell City Police Department,Pell City City
AL05803,AL0580300,01115,Ragland Police Department,Ragland Town
AL05807,AL0580700,01115,Riverside Police Department,Riverside Town
AL05804,AL0580400,01115,Springville Police Department,Springville City
AL05809,AL0580900,01115,Steele Police Department,Steele Town
AL05800,AL0580000,01115,St. Clair County Sheriff's Office,St Clair County
AL05904,AL0590400,01117,Alabaster Police Department,Alabaster City
AL05901,AL0590100,01117,Calera Police Department,Calera City
AL05902,AL0590200,01117,Columbiana Police Department,Columbiana City
AL05909,AL0590900,01117,Harpersville Police Department,Harpersville Town
AL05907,AL0590700,01117,Helena Police Department,Helena City
AL05911,AL0591100,01117,University Of Montevallo Police Department,State Of Alabama
AL05903,AL0590300,01117,Montevallo Police Department,Montevallo City
AL05906,AL0590600,01117,Pelham Police Department,Pelham City
AL05905,AL0590500,01117,Vincent Police Department,Vincent Town
AL05910,AL0591000,01117,Wilsonville Pd,Wilsonville Town
AL05908,AL0590800,01117,Wilton Police Department,Wilton Town
AL05900,AL0590000,01117,Shelby County Sheriff's Office,Shelby County
AL06003,AL0600300,01119,Cuba Police Department,Cuba Town
AL06004,AL0600400,01119,Epes Pd,Epes Town
AL06005,AL0600500,01119,University Of West Alabama Police,State Of Alabama
AL06002,AL0600200,01119,Livingston Police Department,Livingston City
AL06001,AL0600100,01119,York Police Department,York City
AL06000,AL0600000,01119,Sumter County Sheriff's Office,Sumter County
AL06103,AL0610300,01121,Childersburg Police Department,Childersburg City
AL06104,AL0610400,01121,Lincoln Police Department,Lincoln City
AL06112,AL0611200,01121,Munford Police Department,Munford Town
AL06101,AL0610100,01121,Sylacauga Police Department,Sylacauga City
AL06102,AL0610200,01121,Talladega Police Department,Talladega City
AL06106,AL0610600,01121,Talladega College Campus Police,State Of Alabama
AL06105,AL0610500,01121,Waldo Pd Talladega,Waldo City
AL06100,AL0610000,01121,Talladega County Sheriff's Office,Talladega County
AL06201,AL0620100,01123,Alexander City Police Department,Alexander City City
AL06203,AL0620300,01123,Camp Hill Police Department,Camp Hill Town
AL06204,AL0620400,01123,Carriville Pd East Tallassee,_undetermined
AL06202,AL0620200,01123,Dadeville Police Department,Dadeville City
AL06205,AL0620500,01123,Daviston Pd,Daviston Town
AL06207,AL0620700,01123,Jacksons Gap Police Department,Jacksons Gap Town
AL06206,AL0620600,01123,New Site Police Department,New Site Town
