year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
2002,569157,9322,264,262,3834,4962,36477,5170,21708,9599,District of Columbia,District of Columbia State-Level Estimate,,45799
2003,557620,9061,249,274,3941,4597,32696,4671,18119,9906,District of Columbia,District of Columbia State-Level Estimate,,41757
2004,554239,7590,198,222,3202,3968,26896,3946,14542,8408,District of Columbia,District of Columbia State-Level Estimate,,34486
2005,582049,8032,195,166,3700,3971,26133,3577,14836,7720,District of Columbia,District of Columbia State-Level Estimate,,34165
2006,581530,8772,169,185,3829,4589,27064,3835,15908,7321,District of Columbia,District of Columbia State-Level Estimate,,35836
2007,588292,8325,181,192,4265,3687,28922,3926,17390,7606,District of Columbia,District of Columbia State-Level Estimate,,37247
2008,591833,8509,186,186,4430,3707,30211,3788,19958,6465,District of Columbia,District of Columbia State-Level Estimate,,38720
2009,599657,8089,145,150,4404,3390,28495,3696,19267,5532,District of Columbia,District of Columbia State-Level Estimate,,36584
2010,604912,8026,132,187,4325,3382,28802,4233,19514,5055,District of Columbia,District of Columbia State-Level Estimate,,36828
2011,619020,7433,108,173,4094,3058,29654,3850,21347,4457,District of Columbia,District of Columbia State-Level Estimate,,37087
2012,633427,7866,88,236,4037,3505,30757,3519,23575,3663,District of Columbia,District of Columbia State-Level Estimate,,38623
2013,649111,8415,103,395,4082,3835,31097,3316,24547,3234,District of Columbia,District of Columbia State-Level Estimate,,39512
2014,658893,8199,105,472,3497,4125,34147,3466,26898,3783,District of Columbia,District of Columbia State-Level Estimate,,42346
2015,670377,8538,162,494,3746,4136,31444,2971,25208,3265,District of Columbia,District of Columbia State-Level Estimate,,39982
2016,684336,8236,136,533,3500,4067,32377,2361,27089,2927,District of Columbia,District of Columbia State-Level Estimate,,40613
2017,695691,6976,116,444,2625,3791,29736,1809,25340,2587,District of Columbia,District of Columbia State-Level Estimate,,36712
2018,702455,6996,160,450,2415,3971,30724,1788,26343,2593,District of Columbia,District of Columbia State-Level Estimate,,37720
