agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Carter Lake Police Department,1997,Iowa,,IA07804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Lake Police Department,1996,Iowa,3146,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,56,31,23,2,68,19,14,3,2,157,0,0,0,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1995,Iowa,3135,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,34,50,27,16,7,88,24,19,4,1,197,0,1,1,162,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1994,Iowa,3289,IA07804,0,0,0,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,9,34,14,16,4,72,10,8,2,0,127,0,0,2,116,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1993,Iowa,3272,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,2,0,19,34,17,15,2,70,12,11,1,0,138,0,3,3,116,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1992,Iowa,3240,IA07804,0,0,0,1,0,3,3,0,1,0,0,0,1,52,2,1,1,1,47,64,27,26,11,90,10,9,1,0,221,0,5,10,164,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1991,Iowa,,IA07804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Lake Police Department,1990,Iowa,3200,IA07804,0,0,0,1,0,1,1,0,0,0,0,0,0,86,11,8,3,51,13,30,21,5,4,95,15,12,2,1,228,0,73,75,140,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,1989,Iowa,3888,IA07804,0,0,0,0,0,0,0,0,1,1,0,0,0,46,2,0,3,18,23,33,16,12,5,90,10,7,1,2,180,0,23,24,133,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Carter Lake Police Department,1988,Iowa,3973,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,2,1,3,38,60,44,9,7,114,16,9,3,4,235,0,7,7,190,197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Carter Lake Police Department,1987,Iowa,3937,IA07804,0,0,2,0,0,2,2,0,0,0,0,0,0,30,2,1,3,3,21,81,72,5,4,154,19,7,5,7,286,0,9,11,254,265,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Carter Lake Police Department,1986,Iowa,3730,IA07804,0,0,1,0,0,0,0,0,1,1,0,0,0,46,6,1,6,10,23,45,34,6,5,132,19,4,2,13,243,0,23,24,196,220,0,0,1,1,0,1,1,0,0,0,2,0,0,0,1,1,2,1,1,0,3,2,2,0,0,11,0,1,3,7,10
Carter Lake Police Department,1985,Iowa,3551,IA07804,0,0,1,0,1,2,1,1,2,2,0,0,0,54,7,0,5,8,34,84,56,17,11,154,13,7,3,3,310,0,20,24,251,275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,6,5,2,6,5,3,2,0,25,0,0,0,24,24
