year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
2003,5719204,28067,289,1400,6686,19692,233564,41997,161616,29951,Missouri,Missouri State-Level Estimate,
2004,5759532,28226,354,1479,6630,19763,224629,40472,158264,25893,Missouri,Missouri State-Level Estimate,
2005,5797703,30477,402,1625,7196,21254,227809,42822,159288,25699,Missouri,Missouri State-Level Estimate,
2006,5842713,31897,369,1764,7597,22167,224007,44734,153874,25399,Missouri,Missouri State-Level Estimate,
2007,5878415,32962,367,1785,7728,23082,225113,44897,156319,23897,Missouri,Missouri State-Level Estimate,
2008,5911605,29701,456,1612,7395,20238,216522,45763,150002,20757,Missouri,Missouri State-Level Estimate,
2009,5987580,29513,387,1606,7437,20083,201783,43591,140764,17428,Missouri,Missouri State-Level Estimate,
2010,5995715,27440,420,1445,6185,19390,200858,44197,140526,16135,Missouri,Missouri State-Level Estimate,
2011,6008984,26888,366,1469,6275,18778,199085,44875,138879,15331,Missouri,Missouri State-Level Estimate,
2012,6024522,27189,390,1527,5782,19490,199813,42510,140971,16332,Missouri,Missouri State-Level Estimate,
2013,6044917,26216,369,2305,5486,18056,189655,38797,134514,16344,Missouri,Missouri State-Level Estimate,
2014,6063589,26856,403,2379,5592,18482,176237,35258,124622,16357,Missouri,Missouri State-Level Estimate,
2015,6076204,30292,503,2573,6383,20833,173788,34029,122749,17010,Missouri,Missouri State-Level Estimate,
2016,6091176,31720,538,2557,6576,22049,170661,31716,120649,18296,Missouri,Missouri State-Level Estimate,
2017,6108612,32450,599,2737,6362,22752,173380,30086,123356,19938,Missouri,Missouri State-Level Estimate,
2018,6126452,30758,607,2912,5197,22042,162173,27257,115101,19815,Missouri,Missouri State-Level Estimate,
