year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
2003,1878562,12535,116,940,1937,9542,76816,18997,50595,7224,New Mexico,New Mexico State-Level Estimate,,89351
2004,1903006,13081,169,1039,2062,9811,79895,19924,52069,7902,New Mexico,New Mexico State-Level Estimate,,92976
2005,1925985,12448,144,1041,1893,9370,79575,20939,50707,7929,New Mexico,New Mexico State-Level Estimate,,92023
2006,1954599,12797,134,1073,2095,9495,76000,20906,45864,9230,New Mexico,New Mexico State-Level Estimate,,88797
2007,1969915,13311,183,1028,2323,9777,75168,20823,45442,8903,New Mexico,New Mexico State-Level Estimate,,88479
2008,1984356,12967,161,1118,2151,9537,75718,20706,46995,8017,New Mexico,New Mexico State-Level Estimate,,88685
2009,2009671,12709,198,1069,1932,9510,74639,21955,46182,6502,New Mexico,New Mexico State-Level Estimate,,87348
2010,2065913,12147,140,959,1616,9432,70776,21023,44503,5250,New Mexico,New Mexico State-Level Estimate,,82923
2011,2078674,11904,158,856,1720,9170,73549,21419,46730,5400,New Mexico,New Mexico State-Level Estimate,,85453
2012,2083540,11660,116,957,1847,8740,75094,21384,48247,5463,New Mexico,New Mexico State-Level Estimate,,86754
2013,2086895,12990,123,1565,1832,9470,78958,21828,51146,5984,New Mexico,New Mexico State-Level Estimate,,91948
2014,2085572,12459,101,1475,2086,8797,73877,18505,49082,6290,New Mexico,New Mexico State-Level Estimate,,86336
2015,2080328,13672,117,1663,2485,9407,77212,17084,51485,8643,New Mexico,New Mexico State-Level Estimate,,90884
2016,2085432,14585,139,1527,2737,10182,81930,17280,52907,11743,New Mexico,New Mexico State-Level Estimate,,96515
2017,2093395,16300,144,1244,3732,11180,81865,17872,52284,11709,New Mexico,New Mexico State-Level Estimate,,98165
2018,2095428,17949,167,1354,2830,13598,71657,16088,45390,10179,New Mexico,New Mexico State-Level Estimate,,89606
