year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1980,1930787,3547,138,306,936,2167,45719,14258,27606,3855,West Virginia,West Virginia State-Level Estimate,,49266
1981,1951000,3410,118,289,979,2024,47681,15122,28884,3675,West Virginia,West Virginia State-Level Estimate,,51091
1982,1948000,3405,102,302,970,2031,45514,13985,27962,3567,West Virginia,West Virginia State-Level Estimate,,48919
1983,1965000,3375,96,263,869,2147,44158,13455,27134,3569,West Virginia,West Virginia State-Level Estimate,,47533
1984,1952000,3283,86,305,744,2148,42313,12649,26296,3368,West Virginia,West Virginia State-Level Estimate,,45596
1985,1936000,3214,73,359,728,2054,40401,11972,25191,3238,West Virginia,West Virginia State-Level Estimate,,43615
1986,1919000,3156,114,362,787,1893,41301,11999,26055,3247,West Virginia,West Virginia State-Level Estimate,,44457
1987,1897000,2605,92,429,591,1493,38953,11450,24436,3067,West Virginia,West Virginia State-Level Estimate,,41558
1988,1884000,2476,93,353,644,1386,39703,11510,25147,3046,West Virginia,West Virginia State-Level Estimate,,42179
1989,1857000,2724,121,347,793,1463,41154,11635,26608,2911,West Virginia,West Virginia State-Level Estimate,,43878
1990,1793477,3036,102,423,680,1831,41855,11785,27310,2760,West Virginia,West Virginia State-Level Estimate,,44891
1991,1801000,3440,111,415,779,2135,44528,12009,29369,3150,West Virginia,West Virginia State-Level Estimate,,47968
1992,1812000,3833,115,393,788,2537,43455,11287,29200,2968,West Virginia,West Virginia State-Level Estimate,,47288
1993,1820000,3793,126,365,782,2520,42300,10904,28456,2940,West Virginia,West Virginia State-Level Estimate,,46093
1994,1822000,3931,99,370,772,2690,42136,10673,28189,3274,West Virginia,West Virginia State-Level Estimate,,46067
1995,1828000,3842,89,388,781,2584,41093,10329,27724,3040,West Virginia,West Virginia State-Level Estimate,,44935
1996,1826000,3836,69,358,737,2672,41510,9979,28300,3231,West Virginia,West Virginia State-Level Estimate,,45346
1997,1816000,3971,75,355,782,2759,40868,10647,26934,3287,West Virginia,West Virginia State-Level Estimate,,44839
1998,1811000,4503,78,339,676,3410,41627,11110,27127,3390,West Virginia,West Virginia State-Level Estimate,,46130
1999,1806928,6336,79,337,661,5259,42825,10303,28760,3762,West Virginia,West Virginia State-Level Estimate,,49161
2000,1808344,5723,46,331,749,4597,41344,9890,28139,3315,West Virginia,West Virginia State-Level Estimate,,47067
2001,1800975,5035,40,320,707,3968,41085,9601,28268,3216,West Virginia,West Virginia State-Level Estimate,,46120
2002,1804884,4221,57,328,657,3179,41099,9677,27524,3898,West Virginia,West Virginia State-Level Estimate,,45320
2003,1811440,4627,73,311,701,3542,42370,10498,28409,3463,West Virginia,West Virginia State-Level Estimate,,46997
2004,1812548,5110,68,346,774,3922,46326,10994,31566,3766,West Virginia,West Virginia State-Level Estimate,,51436
2005,1814083,4968,82,335,816,3735,47757,11334,32603,3820,West Virginia,West Virginia State-Level Estimate,,52725
2006,1818470,5113,80,404,853,3776,47941,11579,32305,4057,West Virginia,West Virginia State-Level Estimate,,53054
2007,1812035,5016,65,388,847,3716,45620,10822,31321,3477,West Virginia,West Virginia State-Level Estimate,,50636
2008,1814468,5006,67,389,896,3654,45971,10840,31967,3164,West Virginia,West Virginia State-Level Estimate,,50977
2009,1819777,5554,84,470,914,4086,46215,12005,31453,2757,West Virginia,West Virginia State-Level Estimate,,51769
2010,1854368,5586,58,362,776,4390,41301,10778,28104,2419,West Virginia,West Virginia State-Level Estimate,,46887
2011,1854908,5497,87,372,802,4236,39009,10245,26656,2108,West Virginia,West Virginia State-Level Estimate,,44506
2012,1856680,5943,70,415,835,4623,44500,11466,30800,2234,West Virginia,West Virginia State-Level Estimate,,50443
2013,1853595,5657,62,700,653,4242,39929,9908,28055,1966,West Virginia,West Virginia State-Level Estimate,,45586
2014,1850326,5588,74,505,651,4358,37648,8973,26779,1896,West Virginia,West Virginia State-Level Estimate,,43236
2015,1841053,6397,85,710,783,4819,38694,9467,26984,2243,West Virginia,West Virginia State-Level Estimate,,45091
2016,1828637,6633,85,684,720,5144,37282,9127,25657,2498,West Virginia,West Virginia State-Level Estimate,,43915
2017,1817048,6564,98,793,673,5000,32560,7557,21917,3086,West Virginia,West Virginia State-Level Estimate,,39124
2018,1805832,5236,67,652,572,3945,26827,5354,18954,2519,West Virginia,West Virginia State-Level Estimate,,32063
