year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1995,604000,4656,55,485,937,3179,30097,5055,21891,3151,Alaska,Alaska State-Level Estimate,,34753
1996,607000,4417,45,398,710,3264,28667,5118,20557,2992,Alaska,Alaska State-Level Estimate,,33084
1997,609000,4270,54,403,648,3165,27840,4276,20780,2784,Alaska,Alaska State-Level Estimate,,32110
1998,614000,4015,41,421,532,3021,25316,4098,18611,2607,Alaska,Alaska State-Level Estimate,,29331
1999,619500,3908,52,517,566,2773,23099,3787,16654,2658,Alaska,Alaska State-Level Estimate,,27007
2000,626932,3554,27,497,490,2540,23087,3899,16838,2350,Alaska,Alaska State-Level Estimate,,26641
2001,633630,3735,39,501,514,2681,23160,3847,16695,2618,Alaska,Alaska State-Level Estimate,,26895
2002,641482,3627,33,511,489,2594,24118,3908,17739,2471,Alaska,Alaska State-Level Estimate,,27745
2003,648280,3877,39,605,446,2787,24386,3874,18051,2461,Alaska,Alaska State-Level Estimate,,28263
2004,657755,4159,37,558,447,3117,22172,3773,16159,2240,Alaska,Alaska State-Level Estimate,,26331
2005,663253,4194,32,538,537,3087,23975,4131,17249,2595,Alaska,Alaska State-Level Estimate,,28169
2006,670053,4610,36,512,600,3462,23975,4155,17284,2536,Alaska,Alaska State-Level Estimate,,28585
2007,683478,4520,43,545,581,3351,23096,3734,16929,2433,Alaska,Alaska State-Level Estimate,,27616
2008,686293,4475,27,447,645,3356,20090,3237,15225,1628,Alaska,Alaska State-Level Estimate,,24565
2009,698473,4424,22,513,654,3235,20538,3600,15251,1687,Alaska,Alaska State-Level Estimate,,24962
2010,714146,4537,31,533,594,3379,20259,3105,15535,1619,Alaska,Alaska State-Level Estimate,,24796
2011,723860,4416,30,436,576,3374,19094,2852,14854,1388,Alaska,Alaska State-Level Estimate,,23510
2012,730307,4412,30,583,630,3169,20037,2950,15565,1522,Alaska,Alaska State-Level Estimate,,24449
2013,737259,4709,34,925,623,3127,21211,2917,16599,1695,Alaska,Alaska State-Level Estimate,,25920
2014,736732,4684,41,771,629,3243,20334,3150,15445,1739,Alaska,Alaska State-Level Estimate,,25018
2015,737709,5391,59,900,761,3671,20806,3511,15249,2046,Alaska,Alaska State-Level Estimate,,26197
2016,741522,5966,52,1053,850,4011,24876,4053,17766,3057,Alaska,Alaska State-Level Estimate,,30842
2017,739786,6338,62,1074,952,4250,26203,4167,17782,4254,Alaska,Alaska State-Level Estimate,,32541
2018,737438,6526,47,1192,896,4391,24339,3979,16364,3996,Alaska,Alaska State-Level Estimate,,30865
