year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1986,3189000,13578,148,760,6129,6541,140411,38190,87963,14258,Connecticut,Connecticut State-Level Estimate,,153989
1987,3211000,13455,156,800,5720,6779,146958,39120,90852,16986,Connecticut,Connecticut State-Level Estimate,,160413
1988,3241000,14759,174,849,6080,7656,150455,39477,91079,19899,Connecticut,Connecticut State-Level Estimate,,165214
1989,3239000,16576,190,892,6956,8538,154119,40035,91483,22601,Connecticut,Connecticut State-Level Estimate,,170695
1990,3287116,18201,166,918,7717,9400,158867,40355,94485,24027,Connecticut,Connecticut State-Level Estimate,,177068
1991,3291000,17761,187,960,7384,9230,158770,39198,93384,26188,Connecticut,Connecticut State-Level Estimate,,176531
1992,3281000,16252,166,884,6918,8284,149535,36372,89463,23700,Connecticut,Connecticut State-Level Estimate,,165787
1993,3277000,14949,206,800,6447,7496,137443,32052,85876,19515,Connecticut,Connecticut State-Level Estimate,,152392
1994,3275000,14916,215,806,6150,7745,134030,29142,84721,20167,Connecticut,Connecticut State-Level Estimate,,148946
1995,3275000,13293,150,776,5345,7022,134188,29095,87401,17692,Connecticut,Connecticut State-Level Estimate,,147481
1996,3274000,13490,158,755,5552,7025,124924,27574,81328,16022,Connecticut,Connecticut State-Level Estimate,,138414
1997,3270000,12781,124,740,4999,6918,117505,24143,78821,14541,Connecticut,Connecticut State-Level Estimate,,130286
1998,3274000,11993,135,728,4379,6751,111978,21801,77472,12705,Connecticut,Connecticut State-Level Estimate,,123971
1999,3282031,11342,107,654,4054,6527,99894,19298,69299,11297,Connecticut,Connecticut State-Level Estimate,,111236
2000,3405565,11058,98,678,3832,6450,99033,17436,68498,13099,Connecticut,Connecticut State-Level Estimate,,110091
2001,3434602,11492,105,639,4183,6565,95299,17159,65762,12378,Connecticut,Connecticut State-Level Estimate,,106791
2002,3458587,10807,84,740,4069,5914,93426,17111,64735,11580,Connecticut,Connecticut State-Level Estimate,,104233
2003,3486960,11045,112,698,4212,6023,92981,16043,65568,11370,Connecticut,Connecticut State-Level Estimate,,104026
2004,3498966,10113,100,755,4188,5070,93942,15959,66770,11213,Connecticut,Connecticut State-Level Estimate,,104055
2005,3500701,9542,105,712,3933,4792,90270,15245,64416,10609,Connecticut,Connecticut State-Level Estimate,,99812
2006,3504809,10505,137,696,4460,5212,90638,15583,64765,10290,Connecticut,Connecticut State-Level Estimate,,101143
2007,3502309,10547,113,690,4303,5441,86528,15640,60937,9951,Connecticut,Connecticut State-Level Estimate,,97075
2008,3501252,10737,132,680,4043,5882,87210,15107,63212,8891,Connecticut,Connecticut State-Level Estimate,,97947
2009,3518288,10588,106,657,4001,5824,82625,15172,59992,7461,Connecticut,Connecticut State-Level Estimate,,93213
2010,3575498,10083,133,595,3553,5802,78259,15145,56413,6701,Connecticut,Connecticut State-Level Estimate,,88342
2011,3586717,9889,129,689,3689,5382,77205,15468,55067,6670,Connecticut,Connecticut State-Level Estimate,,87094
2012,3591765,10183,117,933,3709,5424,77169,14787,55904,6478,Connecticut,Connecticut State-Level Estimate,,87352
2013,3599341,9439,91,891,3551,4906,71274,12934,52099,6241,Connecticut,Connecticut State-Level Estimate,,80713
2014,3596677,8522,86,782,3159,4495,69070,11955,51005,6110,Connecticut,Connecticut State-Level Estimate,,77592
2015,3584730,7938,116,798,2925,4099,65610,10286,48898,6426,Connecticut,Connecticut State-Level Estimate,,73548
2016,3587685,8169,79,791,2711,4588,64875,10107,47642,7126,Connecticut,Connecticut State-Level Estimate,,73044
2017,3573880,8190,105,850,2813,4422,63646,8906,47418,7322,Connecticut,Connecticut State-Level Estimate,,71836
2018,3572665,7411,83,840,2194,4294,60055,7948,44724,7383,Connecticut,Connecticut State-Level Estimate,,67466
