year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1992,711000,1383,4,368,120,891,19939,3849,15371,719,South Dakota,South Dakota State-Level Estimate,,21322
1993,715000,1490,24,318,107,1041,19661,3927,14915,819,South Dakota,South Dakota State-Level Estimate,,21151
1994,721000,1641,10,303,135,1193,20726,3938,15916,872,South Dakota,South Dakota State-Level Estimate,,22367
1995,729000,1513,13,299,189,1012,20799,3942,15976,881,South Dakota,South Dakota State-Level Estimate,,22312
1996,732000,1297,9,300,138,850,20443,4077,15532,834,South Dakota,South Dakota State-Level Estimate,,21740
1997,738000,1457,10,357,172,918,22491,4088,17545,858,South Dakota,South Dakota State-Level Estimate,,23948
1998,738000,1139,10,258,149,722,18227,3458,14006,763,South Dakota,South Dakota State-Level Estimate,,19366
1999,733133,1227,18,336,103,770,18159,3255,14043,861,South Dakota,South Dakota State-Level Estimate,,19386
2000,754844,1259,7,305,131,816,16252,2896,12558,798,South Dakota,South Dakota State-Level Estimate,,17511
2001,758324,1171,7,351,103,710,16473,3087,12571,815,South Dakota,South Dakota State-Level Estimate,,17644
2002,760437,1350,11,361,117,861,15992,3034,12139,819,South Dakota,South Dakota State-Level Estimate,,17342
2003,764905,1329,10,356,104,859,15324,2878,11572,874,South Dakota,South Dakota State-Level Estimate,,16653
2004,770621,1319,17,336,112,854,14885,3148,10890,847,South Dakota,South Dakota State-Level Estimate,,16204
2005,774883,1387,18,377,145,847,13694,2505,10350,839,South Dakota,South Dakota State-Level Estimate,,15081
2006,781919,2071,30,465,158,1418,13812,3024,9954,834,South Dakota,South Dakota State-Level Estimate,,15883
2007,796214,1926,31,433,118,1344,13829,2647,10398,784,South Dakota,South Dakota State-Level Estimate,,15755
2008,804194,2227,37,562,134,1494,13867,2683,10266,918,South Dakota,South Dakota State-Level Estimate,,16094
2009,812383,1777,30,501,117,1129,14378,2621,10891,866,South Dakota,South Dakota State-Level Estimate,,16155
2010,816598,2196,23,385,154,1634,15188,3192,11196,800,South Dakota,South Dakota State-Level Estimate,,17384
2011,823593,2105,20,503,167,1415,15299,2927,11423,949,South Dakota,South Dakota State-Level Estimate,,17404
2012,834047,2701,23,600,157,1921,17326,3280,12973,1073,South Dakota,South Dakota State-Level Estimate,,20027
2013,845510,2733,18,507,156,2052,16274,3383,11955,936,South Dakota,South Dakota State-Level Estimate,,19007
2014,853175,2786,20,470,200,2096,15902,2818,12077,1007,South Dakota,South Dakota State-Level Estimate,,18688
2015,857919,3302,33,500,215,2554,16739,2969,12576,1194,South Dakota,South Dakota State-Level Estimate,,20041
2016,861542,3636,28,526,274,2808,17207,3002,12705,1500,South Dakota,South Dakota State-Level Estimate,,20843
2017,873286,3753,27,575,264,2887,16588,2835,12285,1468,South Dakota,South Dakota State-Level Estimate,,20341
2018,882235,3570,12,614,262,2682,15251,2571,11156,1524,South Dakota,South Dakota State-Level Estimate,,18821
