agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Otsego Police Department,1981,Michigan,3787,MI03641,0,0,0,0,0,2,2,0,1,0,0,1,0,30,8,1,0,7,0,22,26,19,5,2,131,10,5,2,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,1,1,2,0,1,0,1,0,0,0,14,8,4,1,3,1,0,0,1,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1982,Michigan,3748,MI03641,0,0,0,0,0,1,1,0,2,0,0,2,0,34,8,0,0,6,2,26,14,11,1,2,148,7,6,0,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,15,7,4,1,4,1,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego Police Department,1983,Michigan,3731,MI03641,0,0,0,0,0,1,0,1,2,0,0,2,0,28,7,0,1,4,2,21,24,16,7,1,92,2,1,1,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,8,4,0,0,0,0,0,0,0,0,10,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4
Otsego Police Department,1984,Michigan,3904,MI03641,0,0,0,0,0,0,0,0,1,0,0,1,0,31,3,0,1,2,0,28,15,13,2,0,97,2,2,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Otsego Police Department,1985,Michigan,3910,MI03641,0,0,0,0,0,4,4,0,2,0,1,1,0,27,9,0,1,8,0,18,18,14,3,1,84,5,4,1,0,140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,7,3,1,1,0,0,1,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Otsego Police Department,1986,Michigan,3951,MI03641,0,0,2,0,0,3,3,0,1,1,0,0,0,47,10,0,0,10,0,37,19,14,4,1,81,8,7,1,0,159,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,2,0,0,0,4,1,1,1,0,0,0,0,1,1,13,11,2,1,2,1,0,0,0,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Otsego Police Department,1987,Michigan,4050,MI03641,0,0,1,0,0,1,1,0,0,0,0,0,0,57,11,1,0,10,0,46,19,16,2,1,108,6,6,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,0,1,0,0,0,2,0,0,0,9,2,3,3,3,3,0,0,0,0,18,10,1,1,1,1,0,0,0,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Otsego Police Department,1988,Michigan,4135,MI03641,0,0,0,0,0,1,1,0,1,0,0,1,0,38,5,0,0,5,0,33,23,19,4,0,75,9,8,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,6,5,1,0,1,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Otsego Police Department,1989,Michigan,4105,MI03641,0,0,2,0,0,6,6,0,2,1,0,1,0,50,10,0,0,10,0,40,32,21,8,3,126,2,2,0,0,218,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,9,0,2,2,1,1,1,1,0,0,5,3,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Otsego Police Department,1990,Michigan,NA,MI03641,0,0,0,0,0,4,4,0,0,0,0,0,0,55,3,0,0,3,0,52,35,30,3,2,92,8,6,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,1,4,1,4,1,0,0,0,0,8,6,1,0,1,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
