year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
2000,2926324,7796,46,676,1071,6003,86834,16342,65118,5374,Iowa,Iowa State-Level Estimate,
2001,2931967,7865,50,649,1154,6012,88634,16885,66244,5505,Iowa,Iowa State-Level Estimate,
2002,2935840,8388,44,797,1169,6378,92877,18643,68411,5823,Iowa,Iowa State-Level Estimate,
2003,2941976,8175,50,796,1131,6198,87554,17515,64400,5639,Iowa,Iowa State-Level Estimate,
2004,2952904,8499,44,782,1160,6513,85775,17928,62214,5633,Iowa,Iowa State-Level Estimate,
2005,2965524,8697,40,847,1153,6657,84370,18147,60723,5500,Iowa,Iowa State-Level Estimate,
2006,2982085,8521,55,871,1309,6286,84202,18160,60998,5044,Iowa,Iowa State-Level Estimate,
2007,2988046,8970,39,970,1328,6633,79133,17176,57018,4939,Iowa,Iowa State-Level Estimate,
2008,3002555,8651,77,937,1249,6388,73273,16598,52299,4376,Iowa,Iowa State-Level Estimate,
2009,3007856,8485,38,890,1201,6356,70080,16419,49757,3904,Iowa,Iowa State-Level Estimate,
2010,3050202,8191,38,883,1012,6258,68740,16746,48194,3800,Iowa,Iowa State-Level Estimate,
2011,3064097,7883,44,866,824,6149,72043,17573,50472,3998,Iowa,Iowa State-Level Estimate,
2012,3075039,8167,49,901,962,6255,70357,17201,49116,4040,Iowa,Iowa State-Level Estimate,
2013,3092341,8443,41,1133,937,6332,67976,15918,47803,4255,Iowa,Iowa State-Level Estimate,
2014,3107126,8497,60,1128,1045,6264,65056,14428,46477,4151,Iowa,Iowa State-Level Estimate,
2015,3121997,8619,73,1205,1050,6291,64688,14977,45328,4383,Iowa,Iowa State-Level Estimate,
2016,3130869,9170,73,1278,1150,6669,65888,15306,45580,5002,Iowa,Iowa State-Level Estimate,
2017,3143637,9038,98,1305,1269,6366,65652,14711,45441,5500,Iowa,Iowa State-Level Estimate,
2018,3156145,7893,54,976,932,5931,53385,11127,37571,4687,Iowa,Iowa State-Level Estimate,
