year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1981,515000,659,22,170,142,325,25404,8033,15860,1511,Vermont,Vermont State-Level Estimate,,26063
1982,516000,655,12,180,119,344,23555,6080,16160,1315,Vermont,Vermont State-Level Estimate,,24210
1983,525000,696,19,214,146,317,21001,5724,14296,981,Vermont,Vermont State-Level Estimate,,21697
1984,530000,769,12,105,122,530,20261,5387,14054,820,Vermont,Vermont State-Level Estimate,,21030
1985,535000,790,18,103,112,557,20011,5210,13924,877,Vermont,Vermont State-Level Estimate,,20801
1986,541000,807,11,118,120,558,20708,5135,14593,980,Vermont,Vermont State-Level Estimate,,21515
1987,548000,748,15,123,92,518,22658,6085,15485,1088,Vermont,Vermont State-Level Estimate,,23406
1988,556000,791,11,128,89,563,22786,6098,15591,1097,Vermont,Vermont State-Level Estimate,,23577
1989,567000,753,11,131,102,509,22429,5835,15466,1128,Vermont,Vermont State-Level Estimate,,23182
1990,562758,716,13,146,66,491,23713,6119,16424,1170,Vermont,Vermont State-Level Estimate,,24429
1991,567000,662,12,173,67,410,21764,5784,15161,819,Vermont,Vermont State-Level Estimate,,22426
1992,570000,624,12,142,51,419,18813,4706,13507,600,Vermont,Vermont State-Level Estimate,,19437
1993,576000,658,21,229,52,356,22223,5036,16423,764,Vermont,Vermont State-Level Estimate,,22881
1994,580000,562,6,160,71,325,18290,4274,13154,862,Vermont,Vermont State-Level Estimate,,18852
1995,585000,692,13,165,64,450,19395,4451,14150,794,Vermont,Vermont State-Level Estimate,,20087
1996,589000,714,11,159,91,453,16973,3964,12124,885,Vermont,Vermont State-Level Estimate,,17687
1997,589000,705,9,156,79,461,15953,3611,11542,800,Vermont,Vermont State-Level Estimate,,16658
1998,591000,628,13,163,56,396,17924,3966,13084,874,Vermont,Vermont State-Level Estimate,,18552
1999,593740,676,17,136,65,458,16059,3537,11610,912,Vermont,Vermont State-Level Estimate,,16735
2000,608827,691,9,140,117,425,17494,3501,13184,809,Vermont,Vermont State-Level Estimate,,18185
2001,612978,644,7,107,107,423,16334,3150,12426,758,Vermont,Vermont State-Level Estimate,,16978
2002,616408,658,13,126,77,442,14942,3489,10684,769,Vermont,Vermont State-Level Estimate,,15600
2003,619343,707,15,126,62,504,13803,3017,10132,654,Vermont,Vermont State-Level Estimate,,14510
2004,621233,713,16,160,78,459,14559,3435,10537,587,Vermont,Vermont State-Level Estimate,,15272
2005,622387,782,8,153,76,545,14749,3185,10894,670,Vermont,Vermont State-Level Estimate,,15531
2006,623908,905,14,173,114,604,14920,3443,10857,620,Vermont,Vermont State-Level Estimate,,15825
2007,621254,802,13,128,79,582,14702,3200,10853,649,Vermont,Vermont State-Level Estimate,,15504
2008,621270,854,17,133,93,611,15903,3515,11802,586,Vermont,Vermont State-Level Estimate,,16757
2009,621760,837,8,132,111,586,15010,3471,11090,449,Vermont,Vermont State-Level Estimate,,15847
2010,625909,820,7,141,76,596,14160,3348,10373,439,Vermont,Vermont State-Level Estimate,,14980
2011,626592,925,11,146,99,669,15086,3838,10720,528,Vermont,Vermont State-Level Estimate,,16011
2012,625953,891,8,131,114,638,15653,4179,11014,460,Vermont,Vermont State-Level Estimate,,16544
2013,626855,775,10,136,75,554,13882,3352,10193,337,Vermont,Vermont State-Level Estimate,,14657
2014,626562,622,10,110,70,432,9551,2034,7273,244,Vermont,Vermont State-Level Estimate,,10173
2015,626088,747,10,150,105,482,9064,2034,6834,196,Vermont,Vermont State-Level Estimate,,9811
2016,623354,851,14,170,78,589,9705,1884,7637,184,Vermont,Vermont State-Level Estimate,,10556
2017,624525,1082,17,254,100,711,9339,1945,7169,225,Vermont,Vermont State-Level Estimate,,10421
2018,626299,1077,10,287,70,710,8036,1467,6316,253,Vermont,Vermont State-Level Estimate,,9113
