year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1991,3713000,16262,253,1315,3084,11610,108430,29576,70885,7969,Kentucky,Kentucky State-Level Estimate,,124692
1992,3755000,20107,216,1209,3273,15409,104692,27378,69186,8128,Kentucky,Kentucky State-Level Estimate,,124799
1993,3789000,17530,249,1301,3425,12555,105979,28041,69745,8193,Kentucky,Kentucky State-Level Estimate,,123509
1994,3827000,16991,244,1350,3595,11802,110725,28718,73449,8558,Kentucky,Kentucky State-Level Estimate,,127716
1995,3860000,14079,276,1231,4001,8571,115298,28389,76906,10003,Kentucky,Kentucky State-Level Estimate,,129377
1996,3884000,12448,228,1230,3643,7347,110531,26736,73653,10142,Kentucky,Kentucky State-Level Estimate,,122979
1997,3908000,12386,228,1304,3546,7308,109819,26638,73487,9694,Kentucky,Kentucky State-Level Estimate,,122205
1998,3936000,12909,237,1107,3468,8097,109721,27998,71971,9752,Kentucky,Kentucky State-Level Estimate,,122630
1999,3960825,12212,203,1148,3104,7757,104768,25180,70719,8869,Kentucky,Kentucky State-Level Estimate,,116980
2000,4041769,11903,193,1091,3256,7363,107723,25308,73141,9274,Kentucky,Kentucky State-Level Estimate,,119626
2001,4068816,10510,181,1051,3269,6009,107356,26964,71448,8944,Kentucky,Kentucky State-Level Estimate,,117866
2002,4089822,11101,191,1087,3131,6692,108590,26891,72378,9321,Kentucky,Kentucky State-Level Estimate,,119691
2003,4118189,10232,181,1124,3224,5703,103370,26034,69083,8253,Kentucky,Kentucky State-Level Estimate,,113602
2004,4141835,10152,236,1238,3268,5410,105209,25902,70535,8772,Kentucky,Kentucky State-Level Estimate,,115361
2005,4172608,11134,190,1421,3690,5833,105608,26458,70354,8796,Kentucky,Kentucky State-Level Estimate,,116742
2006,4206074,11361,173,1312,3850,6026,109428,27867,72197,9364,Kentucky,Kentucky State-Level Estimate,,120789
2007,4241474,12329,206,1365,4068,6690,107987,27820,71489,8678,Kentucky,Kentucky State-Level Estimate,,120316
2008,4269245,12690,201,1457,4080,6952,114492,29556,77279,7657,Kentucky,Kentucky State-Level Estimate,,127182
2009,4314113,11000,184,1531,3642,5643,108914,29880,72938,6096,Kentucky,Kentucky State-Level Estimate,,119914
2010,4347223,10604,188,1438,3748,5230,111170,30443,74488,6239,Kentucky,Kentucky State-Level Estimate,,121774
2011,4366814,10465,151,1499,3705,5110,119037,32750,79586,6701,Kentucky,Kentucky State-Level Estimate,,129502
2012,4379730,9852,201,1312,3547,4792,112800,29877,76199,6724,Kentucky,Kentucky State-Level Estimate,,122652
2013,4399583,9280,172,1646,3247,4215,104448,26331,72048,6069,Kentucky,Kentucky State-Level Estimate,,113728
2014,4413457,9340,160,1440,3336,4404,99166,23244,69604,6318,Kentucky,Kentucky State-Level Estimate,,108506
2015,4424611,9887,219,1644,3314,4710,97545,22526,67143,7876,Kentucky,Kentucky State-Level Estimate,,107432
2016,4436113,10452,265,1748,3371,5068,97713,20932,66833,9948,Kentucky,Kentucky State-Level Estimate,,108165
2017,4453874,10292,265,1817,2967,5243,95899,20535,65006,10358,Kentucky,Kentucky State-Level Estimate,,106191
2018,4468402,9467,244,1707,2457,5059,87695,17190,60244,10261,Kentucky,Kentucky State-Level Estimate,,97162
