agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Frontenac Police Department,2006,Kansas,3123,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,1,1,25,16,11,5,0,49,8,4,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,1,0,1,0,18,0,4,0,4,0,0,0,0,0,2,1,4,0,2,0,2,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2007,Kansas,3134,KS01904,0,0,0,0,0,1,1,0,0,0,0,0,0,32,4,0,1,3,0,28,17,11,6,0,54,2,1,1,0,106,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,1,0,3,0,0,0,20,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2008,Kansas,3219,KS01904,0,0,0,0,0,2,2,0,0,0,0,0,0,32,2,0,1,1,0,30,34,17,15,2,57,6,3,3,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,1,0,0,0,20,1,2,1,1,0,1,1,0,0,10,0,2,0,0,0,2,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2009,Kansas,3214,KS01904,0,0,0,0,0,2,2,0,1,0,0,0,1,32,17,10,1,4,2,15,24,12,8,4,33,2,2,0,0,94,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,14,0,9,0,1,0,3,0,1,0,7,0,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2010,Kansas,3437,KS01904,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,0,2,4,22,40,32,7,1,43,4,1,2,1,116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23,3,7,0,1,0,0,0,2,0,4,0,16,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2011,Kansas,3459,KS01904,0,0,0,0,0,1,1,0,0,0,0,0,0,28,5,0,1,1,3,23,8,7,1,0,34,3,1,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,2,0,0,0,0,0,0,0,2,0,18,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2012,Kansas,3463,KS01904,0,0,0,0,0,2,2,0,0,0,0,0,0,38,6,2,1,1,2,32,30,25,5,0,40,6,4,0,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,1,0,1,0,2,0,18,0,2,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2013,Kansas,3466,KS01904,0,0,0,0,0,0,0,0,1,1,0,0,0,24,3,0,0,0,3,21,46,30,15,1,47,1,0,0,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,2,0,18,0,11,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2014,Kansas,3430,KS01904,0,0,0,0,0,1,1,0,0,0,0,0,0,29,3,1,0,1,1,26,24,22,2,0,25,9,3,3,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,1,0,0,0,0,0,1,0,20,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2015,Kansas,3445,KS01904,0,0,0,0,0,1,1,0,0,0,0,0,0,29,3,0,1,0,2,26,16,11,3,2,25,3,0,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,2,0,17,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontenac Police Department,2016,Kansas,3419,KS01904,0,0,0,0,0,2,2,0,0,0,0,0,0,21,8,0,2,3,3,13,13,6,5,2,52,7,3,2,2,95,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,2,0,3,0,1,0,10,0,5,0,4,0,1,0,0,0,16,1,3,0,1,0,1,0,1,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
