year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1993,31211000,336381,4096,11766,126436,194083,1678884,414182,945407,319295,California,California State-Level Estimate,
1994,31431000,318395,3703,10984,112160,191548,1622102,384257,929640,308205,California,California State-Level Estimate,
1995,31589000,305154,3531,10554,104611,186458,1536830,353895,902456,280479,California,California State-Level Estimate,
1996,31878000,274996,2916,10244,94222,167614,1385135,312212,830457,242466,California,California State-Level Estimate,
1997,32268000,257582,2579,10189,81468,163346,1312367,299240,784405,228722,California,California State-Level Estimate,
1998,32667000,229883,2171,9782,68782,149148,1188791,269012,724262,195517,California,California State-Level Estimate,
1999,33145121,207879,2005,9363,60039,136472,1053285,223814,660991,168480,California,California State-Level Estimate,
2000,33871648,210531,2079,9785,60249,138418,1056183,222293,651855,182035,California,California State-Level Estimate,
2001,34600463,212867,2206,9960,64614,136087,1134189,232273,697739,204177,California,California State-Level Estimate,
2002,35001986,208388,2395,10198,64968,130827,1176484,238428,715692,222364,California,California State-Level Estimate,
2003,35462712,205551,2407,9994,63770,129380,1215086,242274,731486,241326,California,California State-Level Estimate,
2004,35842038,189175,2392,9615,61768,115400,1227194,245903,728687,252604,California,California State-Level Estimate,
2005,36154147,190178,2503,9392,63622,114661,1200531,250521,692467,257543,California,California State-Level Estimate,
2006,36457549,194483,2486,9235,71142,111620,1159988,247230,669103,243655,California,California State-Level Estimate,
2007,36553215,191561,2262,9046,70706,109547,1112510,237850,654526,220134,California,California State-Level Estimate,
2008,36756666,185329,2142,8903,69388,104896,1080996,237811,650656,192529,California,California State-Level Estimate,
2009,36961664,174934,1972,8713,64093,100156,1009433,230198,615402,163833,California,California State-Level Estimate,
2010,37338198,164133,1809,8331,58116,95877,981939,228857,600558,152524,California,California State-Level Estimate,
2011,37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842,California,California State-Level Estimate,
2012,37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608,California,California State-Level Estimate,
2013,38431393,154739,1746,10324,53640,89029,1018907,232058,621557,165292,California,California State-Level Estimate,
2014,38802500,153709,1699,11527,48680,91803,947192,202670,592670,151852,California,California State-Level Estimate,
2015,38993940,166883,1861,12811,52862,99349,1024914,197404,656517,170993,California,California State-Level Estimate,
2016,39296476,174796,1930,13702,54789,104375,1002070,188304,637010,176756,California,California State-Level Estimate,
2017,39399349,178597,1830,14724,56625,105418,987063,176679,642019,168365,California,California State-Level Estimate,
2018,39557045,176982,1739,15505,54326,105412,941618,164632,621775,155211,California,California State-Level Estimate,
