year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1990,10847115,54904,663,5075,20451,28715,470469,106575,310673,53221,Ohio,Ohio State-Level Estimate,,525373
1991,10939000,61460,783,5748,23536,31393,489100,115423,318933,54744,Ohio,Ohio State-Level Estimate,,550560
1992,11016000,57935,724,5739,21925,29547,456017,104357,299774,51886,Ohio,Ohio State-Level Estimate,,513952
1993,11091000,55915,667,5444,21373,28431,441550,97394,295880,48276,Ohio,Ohio State-Level Estimate,,497465
1994,11102000,53930,662,5231,20821,27216,441380,96175,297792,47413,Ohio,Ohio State-Level Estimate,,495310
1995,11151000,53799,600,4835,19931,28433,437424,93539,297624,46261,Ohio,Ohio State-Level Estimate,,491223
1996,11173000,47896,538,4617,18336,24405,449935,93336,311071,45528,Ohio,Ohio State-Level Estimate,,497831
1997,11186000,48706,523,4566,17755,25862,455799,94972,315908,45419,Ohio,Ohio State-Level Estimate,,504505
1998,11209000,40628,443,4543,14960,20682,444438,90805,310612,43021,Ohio,Ohio State-Level Estimate,,485066
1999,11256654,35616,397,4129,14405,16685,414264,87023,288049,39192,Ohio,Ohio State-Level Estimate,,449880
2000,11353140,37935,418,4271,15610,17636,420939,88636,293277,39026,Ohio,Ohio State-Level Estimate,,458874
2001,11389785,40023,452,4466,17199,17906,435115,96910,295976,42229,Ohio,Ohio State-Level Estimate,,475138
2002,11408699,40128,526,4809,17871,16922,428976,99164,287045,42767,Ohio,Ohio State-Level Estimate,,469104
2003,11437680,38185,526,4660,16895,16104,417483,95083,281383,41017,Ohio,Ohio State-Level Estimate,,455668
2004,11450143,38787,506,4744,17429,16108,419337,96518,282168,40651,Ohio,Ohio State-Level Estimate,,458124
2005,11470685,40162,590,4671,18673,16228,420705,100183,279051,41471,Ohio,Ohio State-Level Estimate,,460867
2006,11478006,41491,560,4770,19418,16743,423334,105639,279718,37977,Ohio,Ohio State-Level Estimate,,464825
2007,11466917,40759,529,4661,18351,17218,397681,99049,264677,33955,Ohio,Ohio State-Level Estimate,,438440
2008,11485910,40436,547,4531,18706,16652,391667,102428,260788,28451,Ohio,Ohio State-Level Estimate,,432103
2009,11542645,38305,527,4119,17670,15989,376446,104009,249777,22660,Ohio,Ohio State-Level Estimate,,414751
2010,11537968,36306,479,3730,16486,15611,376836,107125,248581,21130,Ohio,Ohio State-Level Estimate,,413142
2011,11541007,35218,500,3679,15991,15048,380572,112901,246744,20927,Ohio,Ohio State-Level Estimate,,415790
2012,11553031,34827,478,3813,15396,15140,370435,105312,245372,19751,Ohio,Ohio State-Level Estimate,,405262
2013,11572005,33722,478,4391,14483,14370,338414,91090,227799,19525,Ohio,Ohio State-Level Estimate,,372136
2014,11594163,33030,464,5042,12753,14771,324528,78845,227668,18015,Ohio,Ohio State-Level Estimate,,357558
2015,11605090,34373,522,5441,12617,15793,303743,69994,216354,17395,Ohio,Ohio State-Level Estimate,,338116
2016,11622554,35759,683,5754,12574,16748,300945,67081,214102,19762,Ohio,Ohio State-Level Estimate,,336704
2017,11664129,34621,741,5833,11224,16823,280557,57521,202320,20716,Ohio,Ohio State-Level Estimate,,315178
2018,11689442,32723,564,5300,9185,17674,254496,48186,186401,19909,Ohio,Ohio State-Level Estimate,,287219
