year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
2002,5450525,42015,513,1370,13417,26715,217105,39765,143320,34020,Maryland,Maryland State-Level Estimate,,259120
2003,5512310,38778,525,1358,13302,23593,209418,38641,134372,36405,Maryland,Maryland State-Level Estimate,,248196
2004,5561332,38961,521,1317,12772,24351,202474,36704,129888,35882,Maryland,Maryland State-Level Estimate,,241435
2005,5589599,39369,552,1266,14378,23173,198483,35922,128491,34070,Maryland,Maryland State-Level Estimate,,237852
2006,5615727,38111,546,1178,14376,22011,195484,37459,127502,30523,Maryland,Maryland State-Level Estimate,,233595
2007,5618344,36063,554,1179,13258,21072,192796,37095,127308,28393,Maryland,Maryland State-Level Estimate,,228859
2008,5633597,35393,493,1127,13203,20570,198165,38849,133983,25333,Maryland,Maryland State-Level Estimate,,233558
2009,5699478,33625,440,1156,12007,20022,182295,36905,125771,19619,Maryland,Maryland State-Level Estimate,,215920
2010,5785681,31607,426,1228,11054,18899,173309,36704,118578,18027,Maryland,Maryland State-Level Estimate,,204916
2011,5839572,28817,399,1200,10342,16876,166846,35823,114951,16072,Maryland,Maryland State-Level Estimate,,195663
2012,5884868,28086,373,1237,10173,16303,162309,33803,113550,14956,Maryland,Maryland State-Level Estimate,,190395
2013,5938737,28235,384,1679,10048,16124,157918,31950,112551,13417,Maryland,Maryland State-Level Estimate,,186153
2014,5976407,26661,365,1619,9544,15133,149859,28012,108745,13102,Maryland,Maryland State-Level Estimate,,176520
2015,5994983,28185,538,1717,10111,15819,142547,26432,102701,13414,Maryland,Maryland State-Level Estimate,,170732
2016,6024752,29019,536,1827,10815,15841,139716,24832,100995,13889,Maryland,Maryland State-Level Estimate,,168735
2017,6024891,30321,558,1712,11189,16862,134705,23526,97657,13522,Maryland,Maryland State-Level Estimate,,165026
2018,6042718,28320,490,1979,9716,16135,122864,18892,91835,12137,Maryland,Maryland State-Level Estimate,,151184
