year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1987,1187000,1806,30,186,304,1286,40122,9148,28916,2058,Maine,Maine State-Level Estimate,
1988,1206000,1898,37,224,311,1326,41249,9852,28928,2469,Maine,Maine State-Level Estimate,
1989,1222000,1676,39,229,293,1115,42116,9810,30067,2239,Maine,Maine State-Level Estimate,
1990,1227928,1759,30,242,308,1179,43647,10106,31372,2169,Maine,Maine State-Level Estimate,
1991,1235000,1631,15,270,280,1066,44900,11146,31737,2017,Maine,Maine State-Level Estimate,
1992,1235000,1616,21,294,288,1013,41900,10156,29966,1778,Maine,Maine State-Level Estimate,
1993,1239000,1558,20,329,264,945,37519,8909,26945,1665,Maine,Maine State-Level Estimate,
1994,1240000,1611,28,318,278,987,38971,8938,28257,1776,Maine,Maine State-Level Estimate,
1995,1241000,1631,25,265,334,1007,39132,9015,28444,1673,Maine,Maine State-Level Estimate,
1996,1243000,1553,25,260,292,976,40636,9303,29557,1776,Maine,Maine State-Level Estimate,
1997,1242000,1500,25,254,257,964,37396,8241,27513,1642,Maine,Maine State-Level Estimate,
1998,1244000,1566,26,225,263,1052,36261,8295,26457,1509,Maine,Maine State-Level Estimate,
1999,1253040,1404,25,239,243,897,34618,7532,25392,1694,Maine,Maine State-Level Estimate,
2000,1274923,1397,15,320,247,815,32003,6775,23906,1322,Maine,Maine State-Level Estimate,
2001,1284470,1435,19,326,264,826,33154,6898,24585,1671,Maine,Maine State-Level Estimate,
2002,1294894,1396,14,377,270,735,32985,6965,24591,1429,Maine,Maine State-Level Estimate,
2003,1309205,1422,16,354,289,763,32078,6579,24043,1456,Maine,Maine State-Level Estimate,
2004,1314985,1364,18,315,289,742,31740,6341,24096,1303,Maine,Maine State-Level Estimate,
2005,1318220,1483,19,326,323,815,31889,6323,24218,1348,Maine,Maine State-Level Estimate,
2006,1321574,1533,23,341,383,786,33658,6846,25465,1347,Maine,Maine State-Level Estimate,
2007,1317207,1565,20,392,349,804,32249,6745,24228,1276,Maine,Maine State-Level Estimate,
2008,1316456,1572,31,379,333,829,32433,6559,24695,1179,Maine,Maine State-Level Estimate,
2009,1318301,1580,26,375,399,780,31706,6729,23955,1022,Maine,Maine State-Level Estimate,
2010,1327379,1621,24,389,412,796,32900,7364,24547,989,Maine,Maine State-Level Estimate,
2011,1328544,1638,26,394,370,848,33829,7865,24886,1078,Maine,Maine State-Level Estimate,
2012,1328501,1626,26,372,420,808,33398,7476,24931,991,Maine,Maine State-Level Estimate,
2013,1328702,1761,24,495,335,907,30454,6480,23063,911,Maine,Maine State-Level Estimate,
2014,1330089,1700,21,485,304,890,26421,5030,20592,799,Maine,Maine State-Level Estimate,
2015,1329453,1726,23,461,311,931,24361,4694,18853,814,Maine,Maine State-Level Estimate,
2016,1330232,1649,20,413,268,948,21908,4001,17131,776,Maine,Maine State-Level Estimate,
2017,1335063,1610,23,470,249,868,20142,3337,16012,793,Maine,Maine State-Level Estimate,
2018,1338404,1501,24,446,228,803,18173,2713,14683,777,Maine,Maine State-Level Estimate,
