year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1986,9145000,73517,1032,6167,27550,38768,520127,138040,308894,73193,Michigan,Michigan State-Level Estimate,
1987,9200000,71772,1124,6184,25442,39022,522254,133602,319470,69182,Michigan,Michigan State-Level Estimate,
1988,9300000,68980,1009,6462,22424,39085,496867,122254,305693,68920,Michigan,Michigan State-Level Estimate,
1989,9273000,65760,993,6624,20616,37527,487682,113579,307096,67007,Michigan,Michigan State-Level Estimate,
1990,9295297,73468,971,7209,21752,43536,483764,106275,311153,66336,Michigan,Michigan State-Level Estimate,
1991,9368000,75232,1009,7372,22790,44061,499781,111126,324985,63670,Michigan,Michigan State-Level Estimate,
1992,9437000,72672,938,7550,20902,43282,456800,98257,299486,59057,Michigan,Michigan State-Level Estimate,
1993,9478000,75021,933,6740,22601,44747,441767,93143,290333,58291,Michigan,Michigan State-Level Estimate,
1994,9496000,72751,927,6720,21733,43371,444325,91849,290172,62304,Michigan,Michigan State-Level Estimate,
1995,9549000,65680,808,5917,17885,41070,429223,86872,280712,61639,Michigan,Michigan State-Level Estimate,
1996,9594000,60951,722,5466,16907,37856,430020,85908,276909,67203,Michigan,Michigan State-Level Estimate,
1997,9774000,57663,759,5070,14934,36900,422916,80726,276863,65327,Michigan,Michigan State-Level Estimate,
1998,9817000,60947,721,4946,15293,39987,398773,82249,258186,58338,Michigan,Michigan State-Level Estimate,
1999,9863775,56709,695,4849,14103,37062,369887,76736,236351,56800,Michigan,Michigan State-Level Estimate,
2000,9938444,55159,669,5025,13712,35753,353297,69790,227783,55724,Michigan,Michigan State-Level Estimate,
2001,10006266,55424,672,5264,12937,36551,352353,72038,226708,53607,Michigan,Michigan State-Level Estimate,
2002,10043221,54306,678,5364,11847,36417,335060,70970,214367,49723,Michigan,Michigan State-Level Estimate,
2003,10082364,51550,612,5470,11254,34214,330565,68316,208538,53711,Michigan,Michigan State-Level Estimate,
2004,10104206,49737,643,5482,11336,32276,309805,64233,194988,50584,Michigan,Michigan State-Level Estimate,
2005,10100833,55936,629,5199,13348,36760,312892,70527,194090,48275,Michigan,Michigan State-Level Estimate,
2006,10095643,56981,721,5347,14229,36684,325594,76313,199183,50098,Michigan,Michigan State-Level Estimate,
2007,10071822,53765,661,4592,13365,35147,308550,75273,191289,41988,Michigan,Michigan State-Level Estimate,
2008,10003422,51512,554,4507,13246,33205,295100,74787,184558,35755,Michigan,Michigan State-Level Estimate,
2009,9969727,49825,623,4524,12427,32251,284019,76046,178628,29345,Michigan,Michigan State-Level Estimate,
2010,9877143,48693,580,4733,11522,31858,271501,74345,169748,27408,Michigan,Michigan State-Level Estimate,
2011,9876801,43731,617,4344,10263,28507,251329,69755,156666,24908,Michigan,Michigan State-Level Estimate,
2012,9882519,44962,701,4635,10423,29203,249249,65560,158609,25080,Michigan,Michigan State-Level Estimate,
2013,9898193,44757,625,6785,10093,27254,230135,56256,149794,24085,Michigan,Michigan State-Level Estimate,
2014,9909877,42348,535,6273,8021,27519,202547,44184,137206,21157,Michigan,Michigan State-Level Estimate,
2015,9917715,41712,585,6710,7818,26599,191191,40375,132019,18797,Michigan,Michigan State-Level Estimate,
2016,9933445,45782,612,7268,7123,30779,190249,39738,130249,20262,Michigan,Michigan State-Level Estimate,
2017,9976447,44883,569,7110,6508,30696,179839,35833,124410,19596,Michigan,Michigan State-Level Estimate,
2018,9995915,44918,551,7690,5656,31021,165280,31651,116178,17451,Michigan,Michigan State-Level Estimate,
