year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1981,7401000,46674,542,2374,24761,18997,410693,128274,231846,50573,New Jersey,New Jersey State-Level Estimate,
1982,7438000,45175,482,2149,22880,19664,377016,106418,223978,46620,New Jersey,New Jersey State-Level Estimate,
1983,7468000,41304,399,2266,20086,18553,344296,92391,206778,45127,New Jersey,New Jersey State-Level Estimate,
1984,7515000,39659,402,2446,18218,18593,325231,79871,202181,43179,New Jersey,New Jersey State-Level Estimate,
1985,7562000,41172,407,2424,19282,19059,344067,79923,213907,50237,New Jersey,New Jersey State-Level Estimate,
1986,7620000,43623,399,2531,20473,20220,355764,81595,215073,59096,New Jersey,New Jersey State-Level Estimate,
1987,7672000,41507,351,2559,17862,20735,362155,77392,219906,64857,New Jersey,New Jersey State-Level Estimate,
1988,7720000,44993,411,2600,18927,23055,363807,75675,219086,69046,New Jersey,New Jersey State-Level Estimate,
1989,7736000,47111,394,2449,21139,23129,360532,75548,213878,71106,New Jersey,New Jersey State-Level Estimate,
1990,7730188,50057,432,2307,23269,24049,371023,78628,219767,72628,New Jersey,New Jersey State-Level Estimate,
1991,7760000,49257,406,2259,22744,23848,372212,78821,221544,71847,New Jersey,New Jersey State-Level Estimate,
1992,7789000,48745,397,2392,22216,23740,345718,75508,206686,63524,New Jersey,New Jersey State-Level Estimate,
1993,7879000,49390,418,2215,23319,23438,328867,76738,195876,56253,New Jersey,New Jersey State-Level Estimate,
1994,7904000,48544,396,1972,22762,23414,319856,72074,195618,52164,New Jersey,New Jersey State-Level Estimate,
1995,7945000,47652,409,1927,22486,22830,326056,69533,206339,50184,New Jersey,New Jersey State-Level Estimate,
1996,7988000,42459,338,1976,18838,21307,303657,63259,193961,46437,New Jersey,New Jersey State-Level Estimate,
1997,8053000,39673,337,1729,16957,20650,287038,60894,184979,41165,New Jersey,New Jersey State-Level Estimate,
1998,8115000,35720,325,1623,15109,18663,260810,54459,171166,35185,New Jersey,New Jersey State-Level Estimate,
1999,8143412,33540,287,1409,14243,17601,243333,46998,160978,35357,New Jersey,New Jersey State-Level Estimate,
2000,8414350,32298,289,1357,13553,17099,233637,43924,155562,34151,New Jersey,New Jersey State-Level Estimate,
2001,8511116,33094,336,1278,14110,17370,240551,46812,156031,37708,New Jersey,New Jersey State-Level Estimate,
2002,8575252,32252,339,1365,13955,16593,227715,43899,148061,35755,New Jersey,New Jersey State-Level Estimate,
2003,8642412,31488,406,1288,13342,16452,220350,43457,142287,34606,New Jersey,New Jersey State-Level Estimate,
2004,8685166,30943,392,1331,13076,16144,211313,41030,139977,30306,New Jersey,New Jersey State-Level Estimate,
2005,8703150,30919,417,1208,13215,16079,203391,38980,136728,27683,New Jersey,New Jersey State-Level Estimate,
2006,8724560,30550,427,1201,13360,15562,198820,39384,134687,24749,New Jersey,New Jersey State-Level Estimate,
2007,8685920,28544,381,1032,12567,14564,192338,37234,133145,21959,New Jersey,New Jersey State-Level Estimate,
2008,8682661,28351,376,1122,12701,14152,199127,40402,138545,20180,New Jersey,New Jersey State-Level Estimate,
2009,8707739,27113,319,1041,11639,14114,180752,36945,128303,15504,New Jersey,New Jersey State-Level Estimate,
2010,8799593,27055,371,981,11818,13885,183042,38732,128754,15556,New Jersey,New Jersey State-Level Estimate,
2011,8834773,27203,380,1006,12209,13608,189719,43238,129066,17415,New Jersey,New Jersey State-Level Estimate,
2012,8867749,25727,388,1035,11385,12919,181481,42338,122662,16481,New Jersey,New Jersey State-Level Estimate,
2013,8911502,25748,404,1189,12084,12071,167634,35883,118005,13746,New Jersey,New Jersey State-Level Estimate,
2014,8938175,23346,349,1274,10498,11225,154993,31710,111578,11705,New Jersey,New Jersey State-Level Estimate,
2015,8935421,22879,363,1373,9729,11414,145701,27960,105963,11778,New Jersey,New Jersey State-Level Estimate,
2016,8978416,21861,378,1454,8940,11089,138012,25229,101459,11324,New Jersey,New Jersey State-Level Estimate,
2017,8888543,20604,324,1505,7895,10880,140086,23891,104025,12170,New Jersey,New Jersey State-Level Estimate,
2018,8908520,18537,286,1424,6364,10463,125156,19232,94887,11037,New Jersey,New Jersey State-Level Estimate,
