year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1994,1137000,1328,16,407,308,597,29837,5275,22260,2302,New Hampshire,New Hampshire State-Level Estimate,
1995,1148000,1314,21,333,314,646,29170,4806,22698,1666,New Hampshire,New Hampshire State-Level Estimate,
1996,1162000,1373,20,404,317,632,31436,5063,24611,1762,New Hampshire,New Hampshire State-Level Estimate,
1997,1173000,1328,16,395,274,643,29635,4612,23430,1593,New Hampshire,New Hampshire State-Level Estimate,
1998,1185000,1270,18,400,255,597,27405,3852,22079,1474,New Hampshire,New Hampshire State-Level Estimate,
1999,1201134,1159,18,345,257,539,26247,3698,21195,1354,New Hampshire,New Hampshire State-Level Estimate,
2000,1235786,2167,22,522,453,1170,27901,4992,20761,2148,New Hampshire,New Hampshire State-Level Estimate,
2001,1259359,2144,17,458,445,1224,27089,4889,20060,2140,New Hampshire,New Hampshire State-Level Estimate,
2002,1274405,2056,12,446,413,1185,26250,4838,19468,1944,New Hampshire,New Hampshire State-Level Estimate,
2003,1288705,1937,17,438,480,1002,26456,4589,19934,1933,New Hampshire,New Hampshire State-Level Estimate,
2004,1299169,2202,17,466,500,1219,26658,4979,19723,1956,New Hampshire,New Hampshire State-Level Estimate,
2005,1306819,1761,19,406,365,971,24031,4192,18493,1346,New Hampshire,New Hampshire State-Level Estimate,
2006,1314895,1785,13,295,435,1042,26060,4395,20179,1486,New Hampshire,New Hampshire State-Level Estimate,
2007,1315828,1896,12,357,451,1076,26394,5074,19909,1411,New Hampshire,New Hampshire State-Level Estimate,
2008,1315809,2054,14,385,421,1234,28387,4266,22714,1407,New Hampshire,New Hampshire State-Level Estimate,
2009,1324575,2125,11,399,454,1261,28790,4915,22748,1127,New Hampshire,New Hampshire State-Level Estimate,
2010,1316807,2204,13,411,450,1330,29230,5444,22789,997,New Hampshire,New Hampshire State-Level Estimate,
2011,1317807,2864,16,581,509,1758,32756,6244,25398,1114,New Hampshire,New Hampshire State-Level Estimate,
2012,1321617,2841,15,486,471,1869,32074,5988,25024,1062,New Hampshire,New Hampshire State-Level Estimate,
2013,1322616,2952,21,778,647,1506,29278,4979,23355,944,New Hampshire,New Hampshire State-Level Estimate,
2014,1326813,2602,12,594,537,1459,26041,4162,21022,857,New Hampshire,New Hampshire State-Level Estimate,
2015,1330111,2692,15,644,475,1558,23453,3482,19076,895,New Hampshire,New Hampshire State-Level Estimate,
2016,1335015,2668,19,609,431,1609,20323,2989,16454,880,New Hampshire,New Hampshire State-Level Estimate,
2017,1349767,2642,13,619,441,1569,18550,2554,15087,909,New Hampshire,New Hampshire State-Level Estimate,
2018,1356458,2349,21,534,359,1435,16935,1847,14219,869,New Hampshire,New Hampshire State-Level Estimate,
