year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1989,3512000,28576,320,1632,4574,22050,168772,48914,107845,12013,South Carolina,South Carolina State-Level Estimate,,197348
1990,3486703,34050,390,1873,5313,26474,176729,48132,115144,13453,South Carolina,South Carolina State-Level Estimate,,210779
1991,3560000,34621,402,2098,6092,26029,185359,51793,119784,13782,South Carolina,South Carolina State-Level Estimate,,219980
1992,3603000,34029,373,2072,6148,25436,178298,49669,116186,12443,South Carolina,South Carolina State-Level Estimate,,212327
1993,3643000,37281,377,1905,6825,28174,177779,47695,117553,12531,South Carolina,South Carolina State-Level Estimate,,215060
1994,3664000,37756,353,1991,6817,28595,182114,46678,122252,13184,South Carolina,South Carolina State-Level Estimate,,219870
1995,3673000,36067,292,1737,6461,27577,186656,46083,126416,14157,South Carolina,South Carolina State-Level Estimate,,222723
1996,3699000,36875,332,1821,6361,28361,192986,47487,129650,15849,South Carolina,South Carolina State-Level Estimate,,229861
1997,3760000,37235,314,1837,6624,28460,193402,46322,131325,15755,South Carolina,South Carolina State-Level Estimate,,230637
1998,3836000,34647,306,1753,5943,26645,186960,44600,126412,15948,South Carolina,South Carolina State-Level Estimate,,221607
1999,3885736,32920,258,1587,5760,25315,173987,39630,119912,14445,South Carolina,South Carolina State-Level Estimate,,206907
2000,4012012,33225,291,1660,6220,25054,181290,40319,125385,15586,South Carolina,South Carolina State-Level Estimate,,214515
2001,4062125,33114,330,1769,5987,25028,186054,42611,126742,16701,South Carolina,South Carolina State-Level Estimate,,219168
2002,4103770,33761,298,1959,5774,25730,183808,43745,123196,16867,South Carolina,South Carolina State-Level Estimate,,217569
2003,4148744,33455,303,1952,5801,25399,187592,43993,127809,15790,South Carolina,South Carolina State-Level Estimate,,221047
2004,4197892,33160,286,1772,5468,25634,190456,43739,130991,15726,South Carolina,South Carolina State-Level Estimate,,223616
2005,4246933,32590,314,1862,5657,24757,185606,42741,126489,16376,South Carolina,South Carolina State-Level Estimate,,218196
2006,4321249,33322,362,1834,5902,25224,184712,42952,125075,16685,South Carolina,South Carolina State-Level Estimate,,218034
2007,4407709,34630,364,1773,6354,26139,189304,45398,126802,17104,South Carolina,South Carolina State-Level Estimate,,223934
2008,4479800,32746,307,1686,6595,24158,189950,45964,126316,17670,South Carolina,South Carolina State-Level Estimate,,222696
2009,4561242,30799,305,1663,5753,23078,178310,45443,119250,13617,South Carolina,South Carolina State-Level Estimate,,209109
2010,4637106,27923,265,1551,5017,21090,181098,46261,121544,13293,South Carolina,South Carolina State-Level Estimate,,209021
2011,4673348,27894,320,1678,4631,21265,183243,47351,122255,13637,South Carolina,South Carolina State-Level Estimate,,211137
2012,4723417,26474,332,1712,4511,19919,181049,45222,122340,13487,South Carolina,South Carolina State-Level Estimate,,207523
2013,4771929,24263,305,2233,3965,17760,173261,40930,119730,12601,South Carolina,South Carolina State-Level Estimate,,197524
2014,4832482,24052,311,2068,3997,17676,167217,36721,117594,12902,South Carolina,South Carolina State-Level Estimate,,191269
2015,4894834,24448,407,2439,3950,17652,162830,34942,114778,13110,South Carolina,South Carolina State-Level Estimate,,187278
2016,4959822,25137,358,2491,4071,18217,161534,33149,114455,13930,South Carolina,South Carolina State-Level Estimate,,186671
2017,5021219,25412,380,2576,3884,18572,160368,31165,114931,14272,South Carolina,South Carolina State-Level Estimate,,185780
2018,5084127,24825,392,2434,3553,18446,153421,29473,109616,14332,South Carolina,South Carolina State-Level Estimate,,178246
