year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1980,468954,1841,29,134,208,1470,21543,4238,15686,1619,Wyoming,Wyoming State-Level Estimate,,23384
1981,492000,2116,27,174,206,1709,23133,4728,16972,1433,Wyoming,Wyoming State-Level Estimate,,25249
1982,502000,1527,46,136,172,1173,22589,4432,16903,1254,Wyoming,Wyoming State-Level Estimate,,24116
1983,514000,1219,30,110,153,926,19412,3626,14932,854,Wyoming,Wyoming State-Level Estimate,,20631
1984,511000,1237,17,107,118,995,17582,3279,13518,785,Wyoming,Wyoming State-Level Estimate,,18819
1985,509000,1307,22,114,102,1069,19130,3515,14732,883,Wyoming,Wyoming State-Level Estimate,,20437
1986,507000,1486,27,111,114,1234,20605,4144,15606,855,Wyoming,Wyoming State-Level Estimate,,22091
1987,490000,1387,10,154,98,1125,18366,3516,14171,679,Wyoming,Wyoming State-Level Estimate,,19753
1988,471000,1479,12,113,71,1283,17206,3103,13432,671,Wyoming,Wyoming State-Level Estimate,,18685
1989,475000,1227,21,134,81,991,17246,3001,13593,652,Wyoming,Wyoming State-Level Estimate,,18473
1990,453588,1367,22,134,72,1139,17732,2862,14194,676,Wyoming,Wyoming State-Level Estimate,,19099
1991,460000,1427,15,119,79,1214,18762,3184,14867,711,Wyoming,Wyoming State-Level Estimate,,20189
1992,466000,1489,17,163,84,1225,19831,3127,16003,701,Wyoming,Wyoming State-Level Estimate,,21320
1993,470000,1345,16,161,81,1087,18221,3023,14470,728,Wyoming,Wyoming State-Level Estimate,,19566
1994,476000,1297,16,160,79,1042,19122,3097,15254,771,Wyoming,Wyoming State-Level Estimate,,20419
1995,480000,1220,10,165,86,959,19517,2938,15774,805,Wyoming,Wyoming State-Level Estimate,,20737
1996,481000,1201,16,140,98,947,19261,3184,15408,669,Wyoming,Wyoming State-Level Estimate,,20462
1997,480000,1225,17,137,85,986,18843,2998,15198,647,Wyoming,Wyoming State-Level Estimate,,20068
1998,481000,1191,23,133,78,957,17124,2696,13759,669,Wyoming,Wyoming State-Level Estimate,,18315
1999,479602,1115,11,137,74,893,15468,2349,12523,596,Wyoming,Wyoming State-Level Estimate,,16583
2000,493782,1316,12,160,70,1074,14969,2078,12318,573,Wyoming,Wyoming State-Level Estimate,,16285
2001,493754,1272,9,153,84,1026,16120,2481,12943,696,Wyoming,Wyoming State-Level Estimate,,17392
2002,498830,1364,15,148,93,1108,16494,2448,13303,743,Wyoming,Wyoming State-Level Estimate,,17858
2003,502111,1314,14,136,84,1080,16648,2611,13239,798,Wyoming,Wyoming State-Level Estimate,,17962
2004,505887,1163,11,112,67,973,16889,2738,13352,799,Wyoming,Wyoming State-Level Estimate,,18052
2005,508798,1172,14,122,78,958,16070,2426,12905,739,Wyoming,Wyoming State-Level Estimate,,17242
2006,515004,1307,13,151,72,1071,15381,2322,12255,804,Wyoming,Wyoming State-Level Estimate,,16688
2007,522830,1344,21,172,84,1067,15053,2365,11875,813,Wyoming,Wyoming State-Level Estimate,,16397
2008,532668,1330,12,185,87,1046,14515,2198,11584,733,Wyoming,Wyoming State-Level Estimate,,15845
2009,544270,1196,11,172,78,935,14243,2176,11310,757,Wyoming,Wyoming State-Level Estimate,,15439
2010,564554,1117,8,162,77,870,13869,2151,11126,592,Wyoming,Wyoming State-Level Estimate,,14986
2011,567356,1245,18,146,71,1010,12878,1864,10493,521,Wyoming,Wyoming State-Level Estimate,,14123
2012,576626,1161,14,154,61,932,13222,2125,10513,584,Wyoming,Wyoming State-Level Estimate,,14383
2013,583223,1212,17,204,74,917,12809,1956,10275,578,Wyoming,Wyoming State-Level Estimate,,14021
2014,584153,1142,16,174,53,899,11477,1689,9185,603,Wyoming,Wyoming State-Level Estimate,,12619
2015,586555,1300,16,171,59,1054,11151,1762,8797,592,Wyoming,Wyoming State-Level Estimate,,12451
2016,584910,1431,20,206,59,1146,11460,1771,8889,800,Wyoming,Wyoming State-Level Estimate,,12891
2017,578934,1358,14,253,98,993,10528,1556,8211,761,Wyoming,Wyoming State-Level Estimate,,11886
2018,577737,1226,13,243,100,870,10313,1525,7949,839,Wyoming,Wyoming State-Level Estimate,,11539
