year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1979,2369000,8376,130,626,2423,5197,107605,31504,69622,6479,Kansas,Kansas State-Level Estimate,,115981
1980,2354783,9168,163,742,2664,5599,117492,35826,75268,6398,Kansas,Kansas State-Level Estimate,,126660
1981,2381000,8796,151,733,2611,5301,119880,36768,77039,6073,Kansas,Kansas State-Level Estimate,,128676
1982,2408000,8088,138,596,2095,5259,111156,32382,73416,5358,Kansas,Kansas State-Level Estimate,,119244
1983,2425000,7919,137,627,2038,5117,101928,28318,68735,4875,Kansas,Kansas State-Level Estimate,,109847
1984,2438000,8147,89,669,1745,5644,97646,25577,67028,5041,Kansas,Kansas State-Level Estimate,,105793
1985,2450000,8716,121,719,1929,5947,98474,25740,67433,5301,Kansas,Kansas State-Level Estimate,,107190
1986,2461000,9076,108,810,1958,6200,109607,29229,74029,6349,Kansas,Kansas State-Level Estimate,,118683
1987,2476000,8932,110,808,2032,5982,112488,28177,78043,6268,Kansas,Kansas State-Level Estimate,,121420
1988,2487000,9083,85,779,2136,6083,112280,29321,76927,6032,Kansas,Kansas State-Level Estimate,,121363
1989,2513000,10073,138,917,2508,6510,115146,29871,77802,7473,Kansas,Kansas State-Level Estimate,,125219
1990,2477574,11093,98,1002,2914,7079,117571,28901,80361,8309,Kansas,Kansas State-Level Estimate,,128664
1991,2495000,12465,153,1118,3453,7741,125616,32601,84258,8757,Kansas,Kansas State-Level Estimate,,138081
1992,2523000,12888,151,1042,3277,8418,121334,32639,80526,8169,Kansas,Kansas State-Level Estimate,,134222
1993,2531000,12564,161,1016,3128,8259,113360,28655,76538,8167,Kansas,Kansas State-Level Estimate,,125924
1994,2554000,11314,170,1055,2940,7149,112477,28635,75459,8383,Kansas,Kansas State-Level Estimate,,123791
1995,2565000,10792,159,938,2775,6920,114558,27404,78855,8299,Kansas,Kansas State-Level Estimate,,125350
1996,2572000,10642,170,1096,2476,6900,109772,25239,78145,6388,Kansas,Kansas State-Level Estimate,,120414
1997,2595000,11151,150,1179,2535,7287,122553,24292,91823,6438,Kansas,Kansas State-Level Estimate,,133704
1998,2629000,10972,173,1128,2287,7384,117114,24984,85329,6801,Kansas,Kansas State-Level Estimate,,128086
1999,2654052,10159,160,1065,2047,6887,107644,21874,79722,6048,Kansas,Kansas State-Level Estimate,,117803
2000,2688418,10470,169,1022,2048,7231,108057,21484,80077,6496,Kansas,Kansas State-Level Estimate,,118527
2001,2702125,10909,92,945,2423,7449,105537,20514,77038,7985,Kansas,Kansas State-Level Estimate,,116446
2002,2711769,10229,78,1035,2165,6951,100768,19679,73877,7212,Kansas,Kansas State-Level Estimate,,110997
2003,2724786,10831,125,1085,2247,7374,109276,21973,79471,7832,Kansas,Kansas State-Level Estimate,,120107
2004,2733697,10330,122,1142,1812,7254,109771,20146,81115,8510,Kansas,Kansas State-Level Estimate,,120101
2005,2748172,10701,101,1098,1795,7707,104588,19028,76222,9338,Kansas,Kansas State-Level Estimate,,115289
2006,2764075,11960,125,1279,1878,8678,104260,20086,75450,8724,Kansas,Kansas State-Level Estimate,,116220
2007,2775997,12730,106,1287,2022,9315,102961,20461,73900,8600,Kansas,Kansas State-Level Estimate,,115691
2008,2802134,11554,113,1226,1681,8534,94882,19651,67826,7405,Kansas,Kansas State-Level Estimate,,106436
2009,2818747,11460,125,1179,1786,8370,90930,19473,65499,5958,Kansas,Kansas State-Level Estimate,,102390
2010,2859143,10602,97,1146,1538,7821,89109,19315,63774,6020,Kansas,Kansas State-Level Estimate,,99711
2011,2870386,10209,111,1122,1448,7528,88655,18712,63259,6684,Kansas,Kansas State-Level Estimate,,98864
2012,2885398,10292,85,1105,1493,7609,91066,18874,65413,6779,Kansas,Kansas State-Level Estimate,,101358
2013,2895801,9928,117,1295,1339,7177,85704,17476,61557,6671,Kansas,Kansas State-Level Estimate,,95632
2014,2904021,10123,91,1411,1362,7259,79431,15828,56697,6906,Kansas,Kansas State-Level Estimate,,89554
2015,2906721,11483,126,1684,1823,7850,80059,15619,57435,7005,Kansas,Kansas State-Level Estimate,,91542
2016,2907731,11665,132,1618,1757,8158,82293,14759,60119,7415,Kansas,Kansas State-Level Estimate,,93958
2017,2910689,11654,134,1504,1633,8383,79387,13102,58891,7394,Kansas,Kansas State-Level Estimate,,91041
2018,2911505,12782,113,1567,1543,9559,76686,12537,56305,7844,Kansas,Kansas State-Level Estimate,,89468
