agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Rio Vista Police Department,1997,California,3489,CA04804,170,38,4,2,6,5,0,0,20,18,1,0,1,0,0,0,0,0,0,0,2,2,0,0,14,13,1,0,3,3,0,0,62,5,0,0,3,0,0,0,31,1,0,0,28,4,0,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,11,3,2,10,4,0,0,1,0,0,0,0,0,0,0
Rio Vista Police Department,1996,California,3447,CA04804,151,33,3,5,4,3,0,0,14,11,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,8,0,0,2,1,0,0,51,1,0,0,0,0,0,0,33,0,0,0,18,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,74,17,3,5,5,2,0,0,4,0,0,0,1,0,0,0
Rio Vista Police Department,1995,California,3416,CA04804,213,60,12,6,13,13,0,0,21,21,2,0,0,0,0,0,2,2,0,0,4,4,0,0,8,8,2,0,7,7,0,0,77,5,0,0,3,1,0,0,48,2,0,0,26,2,0,0,19,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,28,10,3,18,6,0,2,1,0,0,0,0,0,0,1
Rio Vista Police Department,1994,California,3424,CA04804,159,49,16,2,9,8,1,0,15,12,3,0,1,1,1,0,0,0,0,0,2,2,0,0,6,4,2,0,6,5,0,0,48,7,3,0,0,0,0,0,30,4,1,0,18,3,2,0,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,27,10,1,3,2,0,1,1,0,0,0,0,0,0,0
Rio Vista Police Department,1993,California,3401,CA04804,196,42,9,1,3,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,2,2,0,0,87,10,5,0,3,1,0,0,57,4,4,0,27,5,1,0,18,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,16,2,1,15,10,2,0,2,0,0,0,1,0,0,0
Rio Vista Police Department,1992,California,3439,CA04804,208,60,10,3,11,10,1,0,17,16,1,0,1,1,1,0,3,2,0,0,5,5,0,0,6,6,0,0,2,2,0,0,57,9,2,0,1,0,0,0,35,2,0,0,21,7,2,0,23,10,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,109,24,7,2,17,9,0,0,5,1,0,0,1,0,0,1
Rio Vista Police Department,1991,California,3385,CA04804,166,45,5,3,6,6,1,0,10,9,1,0,2,2,1,0,1,1,0,0,2,2,0,0,4,3,0,0,1,1,0,0,62,17,3,0,0,0,0,0,34,5,1,0,28,12,2,0,13,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,14,1,3,8,2,0,0,5,1,0,0,0,0,0,0
Rio Vista Police Department,1990,California,3316,CA04804,174,38,10,6,9,6,0,0,14,11,0,0,0,0,0,0,2,1,0,0,5,3,0,0,5,5,0,0,2,2,0,0,60,5,2,3,0,0,0,0,32,1,1,1,28,4,1,2,14,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,84,17,8,2,12,3,0,1,2,0,0,0,0,0,0,0
Rio Vista Police Department,1989,California,3449,CA04804,121,22,3,1,5,5,1,0,6,5,1,0,2,2,0,0,0,0,0,0,2,2,1,0,1,0,0,0,1,1,0,0,38,6,1,0,1,0,0,0,23,5,1,0,14,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64,10,1,0,7,0,0,1,2,0,0,0,1,0,0,0
Rio Vista Police Department,1988,California,3559,CA04804,124,33,10,1,3,3,0,0,5,5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,1,1,0,0,38,2,2,0,1,0,0,0,23,1,1,0,14,1,1,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,23,8,1,5,1,0,0,4,1,0,0,0,0,0,0
Rio Vista Police Department,1987,California,3445,CA04804,108,32,12,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,26,4,2,1,1,0,0,0,17,2,0,0,8,2,2,1,13,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,19,7,0,7,4,3,0,4,2,0,0,2,0,0,0
Rio Vista Police Department,1986,California,3468,CA04804,130,28,8,3,3,2,0,0,5,4,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,45,6,0,0,1,1,0,0,26,2,0,0,18,3,0,0,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,15,7,2,3,1,0,0,1,1,0,0,1,1,1,0
Rio Vista Police Department,1985,California,3475,CA04804,105,22,5,0,4,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,40,4,1,0,0,0,0,0,21,3,1,0,19,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11,4,0,3,2,0,0,1,0,0,0,0,0,0,0
Rio Vista Police Department,1984,California,3377,CA04804,94,24,6,2,11,9,3,0,14,11,3,0,4,3,1,0,3,2,1,0,2,2,1,0,3,2,0,0,2,2,0,0,29,3,1,0,0,0,0,0,13,2,1,0,16,1,0,0,5,3,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,2,1,3,2,0,0,2,1,0,0,0,0,0,0
Rio Vista Police Department,1983,California,3255,CA04804,77,14,1,2,3,2,0,0,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,34,1,0,0,0,0,0,0,20,0,0,0,14,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Rio Vista Police Department,1982,California,3197,CA04804,172,67,15,0,2,2,0,0,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,74,21,6,0,9,10,4,0,39,6,1,0,26,5,1,0,5,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,39,8,0,2,2,1,0,1,0,0,0,2,0,0,0
Rio Vista Police Department,1981,California,3124,CA04804,160,48,5,0,8,7,0,0,11,10,0,0,1,1,0,0,1,0,0,0,2,2,0,0,3,3,0,0,4,4,0,0,44,4,1,0,1,0,0,0,17,0,0,0,26,4,1,0,11,8,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,26,1,0,5,4,2,0,3,1,0,0,3,3,1,0
Rio Vista Police Department,1980,California,3043,CA04804,185,55,15,0,2,0,0,0,8,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,47,17,3,0,4,0,0,0,24,9,1,0,19,8,2,0,10,6,3,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,25,7,0,2,2,1,0,4,1,0,0,4,3,2,0
Rio Vista Police Department,1979,California,3132,CA04804,94,28,4,0,8,7,2,0,11,8,2,0,0,0,0,0,1,1,0,0,2,2,0,0,3,1,0,0,5,4,2,0,28,7,0,0,0,0,0,0,21,6,0,0,7,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,2,0,4,3,0,0,0,0,0,0,2,0,0,0
Rio Vista Police Department,1978,California,2930,CA04804,149,65,24,0,11,10,0,0,11,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,9,0,0,43,21,19,0,0,0,0,0,33,20,18,0,10,1,1,0,6,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,30,4,0,3,2,0,0,1,0,0,0,2,2,1,0
Rio Vista Police Department,1977,California,3016,CA04804,235,68,17,0,17,11,2,0,18,12,3,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,1,0,13,9,1,0,33,4,1,0,4,0,0,0,20,4,1,0,9,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,46,12,0,4,3,0,0,2,2,0,0,1,1,1,0
