year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1981,3098000,13223,279,1091,3574,8279,136637,49220,74460,12957,Oklahoma,Oklahoma State-Level Estimate,
1982,3177000,14103,344,1180,4218,8361,151814,50956,85326,15532,Oklahoma,Oklahoma State-Level Estimate,
1983,3298000,13964,249,1247,4245,8223,148599,49782,84085,14732,Oklahoma,Oklahoma State-Level Estimate,
1984,3298000,13438,258,1315,3668,8197,147917,47979,84844,15094,Oklahoma,Oklahoma State-Level Estimate,
1985,3301000,13930,254,1252,3526,8898,165150,53216,93233,18701,Oklahoma,Oklahoma State-Level Estimate,
1986,3305000,14423,269,1202,3521,9431,184342,59054,103832,21456,Oklahoma,Oklahoma State-Level Estimate,
1987,3272000,13664,244,1173,3583,8664,183495,58333,105369,19793,Oklahoma,Oklahoma State-Level Estimate,
1988,3263000,14179,243,1229,3428,9279,168194,53624,96418,18152,Oklahoma,Oklahoma State-Level Estimate,
1989,3224000,15847,210,1209,4070,10358,161558,50411,92270,18877,Oklahoma,Oklahoma State-Level Estimate,
1990,3145585,17222,253,1479,3836,11654,158889,45531,94432,18926,Oklahoma,Oklahoma State-Level Estimate,
1991,3175000,18533,230,1615,4094,12594,161449,46934,96842,17673,Oklahoma,Oklahoma State-Level Estimate,
1992,3212000,20005,210,1556,4376,13863,154459,43678,94180,16601,Oklahoma,Oklahoma State-Level Estimate,
1993,3231000,20512,273,1592,3935,14712,150546,39903,95111,15532,Oklahoma,Oklahoma State-Level Estimate,
1994,3258000,21225,226,1616,4174,15209,160250,40764,104025,15461,Oklahoma,Oklahoma State-Level Estimate,
1995,3278000,21770,400,1461,3788,16121,161693,41694,103727,16272,Oklahoma,Oklahoma State-Level Estimate,
1996,3301000,19710,223,1545,3519,14423,166892,41447,109506,15939,Oklahoma,Oklahoma State-Level Estimate,
1997,3317000,18560,229,1517,3446,13368,163698,40015,109039,14644,Oklahoma,Oklahoma State-Level Estimate,
1998,3347000,18053,204,1513,3078,13258,149426,38268,97593,13565,Oklahoma,Oklahoma State-Level Estimate,
1999,3358044,17066,231,1375,2785,12675,140220,34472,93616,12132,Oklahoma,Oklahoma State-Level Estimate,
2000,3450654,17177,182,1422,2615,12958,140125,31661,96116,12348,Oklahoma,Oklahoma State-Level Estimate,
2001,3469577,17726,185,1486,2746,13309,141679,34573,94537,12569,Oklahoma,Oklahoma State-Level Estimate,
2002,3489700,17587,163,1573,2966,12885,148128,35171,100185,12772,Oklahoma,Oklahoma State-Level Estimate,
2003,3506469,17758,206,1501,3224,12827,151208,34846,103404,12958,Oklahoma,Oklahoma State-Level Estimate,
2004,3523546,17635,186,1557,3090,12802,149472,35244,101271,12957,Oklahoma,Oklahoma State-Level Estimate,
2005,3543442,18044,187,1481,3230,13146,143406,35692,93814,13900,Oklahoma,Oklahoma State-Level Estimate,
2006,3579212,17905,210,1488,3145,13062,129728,34437,81853,13438,Oklahoma,Oklahoma State-Level Estimate,
2007,3617316,18234,224,1565,3392,13053,128714,34367,80747,13600,Oklahoma,Oklahoma State-Level Estimate,
2008,3642361,19359,215,1471,3698,13975,126535,35247,80265,11023,Oklahoma,Oklahoma State-Level Estimate,
2009,3687050,18560,234,1535,3358,13433,132350,38071,83813,10466,Oklahoma,Oklahoma State-Level Estimate,
2010,3760184,18100,195,1469,3345,13091,129464,37848,81303,10313,Oklahoma,Oklahoma State-Level Estimate,
2011,3784163,17311,212,1410,3288,12401,127618,36462,80064,11092,Oklahoma,Oklahoma State-Level Estimate,
2012,3815780,18102,220,1622,3248,13012,130969,36094,83131,11744,Oklahoma,Oklahoma State-Level Estimate,
2013,3853118,17187,198,2314,3023,11652,126418,33512,81624,11282,Oklahoma,Oklahoma State-Level Estimate,
2014,3878051,15744,175,1777,3048,10744,115982,29508,75891,10583,Oklahoma,Oklahoma State-Level Estimate,
2015,3907414,16746,240,1953,3018,11535,114055,28783,74678,10594,Oklahoma,Oklahoma State-Level Estimate,
2016,3921207,17855,247,2100,3174,12334,118010,29376,76358,12276,Oklahoma,Oklahoma State-Level Estimate,
2017,3932640,17989,243,2220,3007,12519,113611,28749,72546,12316,Oklahoma,Oklahoma State-Level Estimate,
2018,3943079,18380,206,2299,2791,13084,113364,26858,73217,13289,Oklahoma,Oklahoma State-Level Estimate,
