year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1981,959000,2717,43,198,362,2114,40733,11255,27423,2055,Idaho,Idaho State-Level Estimate,
1982,965000,2501,24,160,292,2025,36902,9958,25256,1688,Idaho,Idaho State-Level Estimate,
1983,989000,2361,35,181,270,1875,35872,9206,24979,1687,Idaho,Idaho State-Level Estimate,
1984,1001000,2355,34,187,244,1890,34398,8751,24138,1509,Idaho,Idaho State-Level Estimate,
1985,1005000,2360,22,192,269,1877,36916,8917,26170,1829,Idaho,Idaho State-Level Estimate,
1986,1003000,2232,32,201,214,1785,39964,10065,28081,1818,Idaho,Idaho State-Level Estimate,
1987,998000,2138,31,175,242,1690,39342,9748,27923,1671,Idaho,Idaho State-Level Estimate,
1988,999000,2345,36,179,202,1928,37345,8691,26893,1761,Idaho,Idaho State-Level Estimate,
1989,1014000,2582,26,236,152,2168,37278,8843,26825,1610,Idaho,Idaho State-Level Estimate,
1990,1006749,2776,27,275,151,2323,38069,8187,28216,1666,Idaho,Idaho State-Level Estimate,
1991,1039000,3016,19,300,215,2482,40578,8582,30143,1853,Idaho,Idaho State-Level Estimate,
1992,1067000,3003,37,339,229,2398,39636,7934,30023,1679,Idaho,Idaho State-Level Estimate,
1993,1099000,3097,32,388,186,2491,39161,7350,29795,2016,Idaho,Idaho State-Level Estimate,
1994,1133000,3238,40,316,209,2673,42954,8147,32597,2210,Idaho,Idaho State-Level Estimate,
1995,1163000,3745,48,330,279,3088,47444,9069,35560,2815,Idaho,Idaho State-Level Estimate,
1996,1189000,3177,43,313,241,2580,44532,8431,33872,2229,Idaho,Idaho State-Level Estimate,
1997,1210000,3107,39,350,237,2481,44388,9175,32784,2429,Idaho,Idaho State-Level Estimate,
1998,1229000,3468,36,386,264,2782,42185,8518,31385,2282,Idaho,Idaho State-Level Estimate,
1999,1251700,3066,25,417,223,2401,36363,7641,26824,1898,Idaho,Idaho State-Level Estimate,
2000,1293953,3267,16,384,223,2644,37961,7330,28545,2086,Idaho,Idaho State-Level Estimate,
2001,1320585,3211,30,425,245,2511,38181,7507,28285,2389,Idaho,Idaho State-Level Estimate,
2002,1343124,3419,36,497,240,2646,39128,7441,29060,2627,Idaho,Idaho State-Level Estimate,
2003,1367034,3362,26,535,245,2556,40042,7837,29559,2646,Idaho,Idaho State-Level Estimate,
2004,1395140,3452,31,594,241,2586,38799,7671,28389,2739,Idaho,Idaho State-Level Estimate,
2005,1429367,3670,35,577,266,2792,38556,8066,27606,2884,Idaho,Idaho State-Level Estimate,
2006,1466465,3666,35,611,294,2726,35135,7545,25154,2436,Idaho,Idaho State-Level Estimate,
2007,1499402,3841,49,607,243,2942,34124,7131,24727,2266,Idaho,Idaho State-Level Estimate,
2008,1523816,3680,23,579,239,2839,31940,6748,23532,1660,Idaho,Idaho State-Level Estimate,
2009,1545801,3805,24,575,254,2952,31220,6682,23066,1472,Idaho,Idaho State-Level Estimate,
2010,1571102,3464,22,533,213,2696,31436,6513,23594,1329,Idaho,Idaho State-Level Estimate,
2011,1583744,3202,35,444,188,2535,32875,6915,24629,1331,Idaho,Idaho State-Level Estimate,
2012,1595590,3348,30,495,243,2580,31825,7240,23203,1382,Idaho,Idaho State-Level Estimate,
2013,1612843,3471,29,674,220,2548,30230,6693,21999,1538,Idaho,Idaho State-Level Estimate,
2014,1634464,3468,32,609,204,2623,30316,6428,22227,1661,Idaho,Idaho State-Level Estimate,
2015,1652828,3593,32,703,191,2667,28912,6124,20916,1872,Idaho,Idaho State-Level Estimate,
2016,1680026,3876,49,719,213,2895,29357,6318,20962,2077,Idaho,Idaho State-Level Estimate,
2017,1718904,4111,42,755,222,3092,28557,5837,20570,2150,Idaho,Idaho State-Level Estimate,
2018,1754208,3983,35,791,200,2957,25636,4940,18732,1964,Idaho,Idaho State-Level Estimate,
