year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1987,2724000,14697,153,1247,5338,7959,175138,48562,113907,12669,Oregon,Oregon State-Level Estimate,
1988,2741000,14959,139,1111,5289,8420,178520,48355,113872,16293,Oregon,Oregon State-Level Estimate,
1989,2820000,14625,134,1314,4282,8895,159119,40197,103690,15232,Oregon,Oregon State-Level Estimate,
1990,2842321,14405,108,1332,4102,8863,146073,32273,100765,13035,Oregon,Oregon State-Level Estimate,
1991,2922000,14795,133,1561,4387,8714,153370,34363,105145,13862,Oregon,Oregon State-Level Estimate,
1992,2977000,15189,139,1580,4507,8963,158100,32945,109274,15881,Oregon,Oregon State-Level Estimate,
1993,3032000,15254,140,1554,3930,9630,159558,31072,110878,17608,Oregon,Oregon State-Level Estimate,
1994,3086000,16067,150,1333,4264,10320,178240,33970,122506,21764,Oregon,Oregon State-Level Estimate,
1995,3141000,16408,129,1309,4332,10638,189765,34640,133075,22050,Oregon,Oregon State-Level Estimate,
1996,3204000,14837,129,1272,3914,9522,177295,31664,128618,17013,Oregon,Oregon State-Level Estimate,
1997,3243000,14412,95,1306,3811,9200,188916,33507,136129,19280,Oregon,Oregon State-Level Estimate,
1998,3282000,13778,126,1307,3452,8893,171545,30442,123841,17262,Oregon,Oregon State-Level Estimate,
1999,3316154,12432,88,1219,2858,8267,153434,26749,113052,13633,Oregon,Oregon State-Level Estimate,
2000,3421399,12000,70,1286,2888,7756,153780,25618,114230,13932,Oregon,Oregon State-Level Estimate,
2001,3473441,10650,84,1174,2749,6643,164524,26648,123034,14842,Oregon,Oregon State-Level Estimate,
2002,3520355,10298,72,1238,2742,6246,161145,25696,118925,16524,Oregon,Oregon State-Level Estimate,
2003,3564330,10506,68,1218,2847,6373,169863,28562,122327,18974,Oregon,Oregon State-Level Estimate,
2004,3591363,10724,90,1283,2751,6600,166475,30072,117868,18535,Oregon,Oregon State-Level Estimate,
2005,3638871,10444,80,1266,2478,6620,160199,27621,113316,19262,Oregon,Oregon State-Level Estimate,
2006,3700758,10534,88,1219,2711,6516,137858,24324,98897,14637,Oregon,Oregon State-Level Estimate,
2007,3747455,11015,76,1276,2864,6799,132773,22979,95157,14637,Oregon,Oregon State-Level Estimate,
2008,3790060,9909,87,1183,2656,5983,125169,21115,92677,11377,Oregon,Oregon State-Level Estimate,
2009,3825657,9968,88,1202,2499,6179,114780,19739,85064,9977,Oregon,Oregon State-Level Estimate,
2010,3838332,9648,96,1239,2421,5892,116657,20035,87494,9128,Oregon,Oregon State-Level Estimate,
2011,3868229,9643,84,1239,2237,6083,121869,20704,92059,9106,Oregon,Oregon State-Level Estimate,
2012,3899801,9638,91,1159,2419,5969,126417,22051,94114,10252,Oregon,Oregon State-Level Estimate,
2013,3928068,9536,82,1464,2394,5596,125083,20808,94363,9912,Oregon,Oregon State-Level Estimate,
2014,3970239,9224,81,1458,2093,5592,114305,17230,87526,9549,Oregon,Oregon State-Level Estimate,
2015,4024634,10680,110,1650,2163,6757,119752,18541,90514,10697,Oregon,Oregon State-Level Estimate,
2016,4085989,10983,116,1784,2307,6776,121716,16919,91507,13290,Oregon,Oregon State-Level Estimate,
2017,4146592,11629,105,1992,2474,7058,122524,17415,88091,17018,Oregon,Oregon State-Level Estimate,
2018,4190713,11966,82,1975,2549,7360,121278,16304,88418,16556,Oregon,Oregon State-Level Estimate,
