year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
2004,12712016,69365,780,4220,22582,41783,403486,76088,287025,40373,Illinois,Illinois State-Level Estimate,,472851
2005,12765427,70496,770,4313,23255,42158,394670,77635,277662,39373,Illinois,Illinois State-Level Estimate,,465166
2006,12831970,69498,780,4078,23782,40858,387478,77259,272578,37641,Illinois,Illinois State-Level Estimate,,456976
2007,12852548,68528,752,4103,23100,40573,377322,75524,267911,33887,Illinois,Illinois State-Level Estimate,,445850
2008,12901563,67780,790,4118,24054,38818,378355,78968,266815,32572,Illinois,Illinois State-Level Estimate,,446135
2009,12910409,64185,773,3901,22923,36588,353347,77850,248821,26676,Illinois,Illinois State-Level Estimate,,417532
2010,12841980,57132,704,3066,20386,32976,349064,77472,242681,28911,Illinois,Illinois State-Level Estimate,,406196
2011,12859752,54523,781,3030,20217,30495,344468,77719,237362,29387,Illinois,Illinois State-Level Estimate,,398991
2012,12868192,53556,770,3581,19480,29725,332706,71100,235314,26292,Illinois,Illinois State-Level Estimate,,386262
2013,12890552,51956,722,5340,17733,28161,296048,59093,216059,20896,Illinois,Illinois State-Level Estimate,,348004
2014,12880580,47663,685,4159,15299,27520,267385,50008,199926,17451,Illinois,Illinois State-Level Estimate,,315048
2015,12839047,49755,754,4926,15056,29019,256962,46846,192424,17692,Illinois,Illinois State-Level Estimate,,306717
2016,12835726,56054,1061,5003,17829,32161,263256,48193,195196,19867,Illinois,Illinois State-Level Estimate,,319310
2017,12786196,55777,983,5424,17731,31639,255108,43355,190860,20893,Illinois,Illinois State-Level Estimate,,310885
2018,12741080,51490,884,5859,14208,30539,246264,39080,187591,19593,Illinois,Illinois State-Level Estimate,,297754
