year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1981,10166000,98109,1522,5707,35473,55407,718470,241536,431222,45712,Florida,Florida State-Level Estimate,
1982,10416000,93411,1409,5587,31002,55413,684166,211932,427462,44772,Florida,Florida State-Level Estimate,
1983,10680000,88292,1199,5170,28126,53797,635934,191902,400796,43236,Florida,Florida State-Level Estimate,
1984,10976000,95270,1264,5570,30311,58125,653429,198446,408153,46830,Florida,Florida State-Level Estimate,
1985,11366000,106971,1296,6004,35506,64165,753918,228402,465792,59724,Florida,Florida State-Level Estimate,
1986,11675000,121013,1371,6152,42822,70668,839651,259331,510496,69824,Florida,Florida State-Level Estimate,
1987,12023000,123168,1371,6032,42869,72896,899167,271346,546466,81355,Florida,Florida State-Level Estimate,
1988,12377000,138343,1416,6154,49916,80857,967869,283960,589215,94694,Florida,Florida State-Level Estimate,
1989,12671000,140575,1405,6299,51188,81683,975042,289254,583702,102086,Florida,Florida State-Level Estimate,
1990,12937926,160990,1379,6781,53928,98902,978944,280832,591210,106902,Florida,Florida State-Level Estimate,
1991,13277000,157243,1248,6865,53083,96047,977570,266313,607222,104035,Florida,Florida State-Level Estimate,
1992,13488000,162827,1208,7310,49482,104827,964533,254755,598093,111685,Florida,Florida State-Level Estimate,
1993,13679000,164975,1224,7359,48913,107479,977363,251063,603784,122516,Florida,Florida State-Level Estimate,
1994,13953000,160016,1165,7301,45871,105679,991105,237341,626578,127186,Florida,Florida State-Level Estimate,
1995,14166000,151711,1037,6887,42485,101302,939288,215657,612311,111320,Florida,Florida State-Level Estimate,
1996,14400000,151350,1077,7508,41643,101122,928273,219056,605448,103769,Florida,Florida State-Level Estimate,
1997,14654000,149996,1012,7599,40459,100926,915613,213926,594492,107195,Florida,Florida State-Level Estimate,
1998,14916000,140016,967,7404,36198,95447,887107,203105,579752,104250,Florida,Florida State-Level Estimate,
1999,15111244,129044,859,6990,31969,89226,808674,181378,534105,93191,Florida,Florida State-Level Estimate,
2000,15982378,129777,903,7057,31809,90008,780377,172898,518298,89181,Florida,Florida State-Level Estimate,
2001,16373330,130713,874,6641,32867,90331,782517,176052,516548,89917,Florida,Florida State-Level Estimate,
2002,16691701,128721,911,6753,32581,88476,777236,177242,511478,88516,Florida,Florida State-Level Estimate,
2003,16999181,124280,924,6727,31523,85106,757696,170644,505489,81563,Florida,Florida State-Level Estimate,
2004,17385430,123754,946,6612,29997,86199,727141,166332,482484,78325,Florida,Florida State-Level Estimate,
2005,17768191,125957,883,6592,30141,88341,712998,164783,472912,75303,Florida,Florida State-Level Estimate,
2006,18089888,129602,1129,6475,34147,87851,721101,170873,473774,76454,Florida,Florida State-Level Estimate,
2007,18251243,131878,1202,6149,38155,86372,746249,181836,490783,73630,Florida,Florida State-Level Estimate,
2008,18328340,126256,1168,5972,36268,82848,758889,188472,506902,63515,Florida,Florida State-Level Estimate,
2009,18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259,Florida,Florida State-Level Estimate,
2010,18838613,101969,987,5373,26086,69523,669035,169119,458454,41462,Florida,Florida State-Level Estimate,
2011,19082262,98198,984,5273,25622,66319,671200,170171,461408,39621,Florida,Florida State-Level Estimate,
2012,19320749,94087,1009,5260,23889,63929,632988,153563,442095,37330,Florida,Florida State-Level Estimate,
2013,19600311,91993,972,6767,23200,61054,607170,138915,433344,34911,Florida,Florida State-Level Estimate,
2014,19893297,107521,1149,8563,24914,72895,679446,143220,493647,42579,Florida,Florida State-Level Estimate,
2015,20244914,93625,1041,7552,21137,63895,570270,109268,420341,40661,Florida,Florida State-Level Estimate,
2016,20656589,88700,1111,7598,20175,59816,553812,100325,410352,43135,Florida,Florida State-Level Estimate,
2017,20976812,85606,1057,7936,18597,58016,527125,88835,395375,42915,Florida,Florida State-Level Estimate,
2018,21299325,81980,1107,8438,16884,55551,486017,71933,372919,41165,Florida,Florida State-Level Estimate,
