year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
2005,934737,2634,18,301,177,2138,29407,3642,23794,1971,Montana,Montana State-Level Estimate,
2006,944632,3564,33,348,233,2950,26986,3380,21659,1947,Montana,Montana State-Level Estimate,
2007,957861,3638,27,363,233,3015,27837,3476,22315,2046,Montana,Montana State-Level Estimate,
2008,967440,3013,40,358,204,2411,26300,3689,20834,1777,Montana,Montana State-Level Estimate,
2009,974989,2798,32,357,228,2181,24826,3686,19528,1612,Montana,Montana State-Level Estimate,
2010,990958,2733,25,332,154,2222,25409,3692,20166,1551,Montana,Montana State-Level Estimate,
2011,997667,2755,29,366,171,2189,23885,3347,19089,1449,Montana,Montana State-Level Estimate,
2012,1005494,2803,29,392,202,2180,26102,3920,20484,1698,Montana,Montana State-Level Estimate,
2013,1014864,2924,23,467,217,2217,26195,4122,20192,1881,Montana,Montana State-Level Estimate,
2014,1023579,3313,37,541,203,2532,25312,3595,19674,2043,Montana,Montana State-Level Estimate,
2015,1032073,3647,38,572,210,2827,27276,3887,20966,2423,Montana,Montana State-Level Estimate,
2016,1038656,3886,37,598,268,2983,28156,3966,21427,2763,Montana,Montana State-Level Estimate,
2017,1053090,3937,41,639,234,3023,27294,3623,21073,2598,Montana,Montana State-Level Estimate,
2018,1062305,3974,34,551,269,3120,26518,3257,20465,2796,Montana,Montana State-Level Estimate,
