year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1987,644000,2774,33,441,789,1511,29032,6572,20453,2007,Delaware,Delaware State-Level Estimate,
1988,660000,2981,34,491,784,1672,28693,6868,19824,2001,Delaware,Delaware State-Level Estimate,
1989,673000,3745,34,569,934,2208,28998,6072,20294,2632,Delaware,Delaware State-Level Estimate,
1990,666168,4365,33,587,1098,2647,31344,6465,21922,2957,Delaware,Delaware State-Level Estimate,
1991,680000,4857,37,588,1460,2772,35055,7668,24836,2551,Delaware,Delaware State-Level Estimate,
1992,689000,4280,32,591,1042,2615,29126,6598,20419,2109,Delaware,Delaware State-Level Estimate,
1993,7e+05,4801,35,539,1307,2920,29304,6244,20853,2207,Delaware,Delaware State-Level Estimate,
1994,706000,4549,33,546,1141,2829,29971,6198,20828,2945,Delaware,Delaware State-Level Estimate,
1995,717000,5198,25,575,1425,3173,31790,6491,22329,2970,Delaware,Delaware State-Level Estimate,
1996,725000,4845,31,454,1304,3056,30643,5830,21665,3148,Delaware,Delaware State-Level Estimate,
1997,732000,5753,22,428,1783,3520,36578,6421,25904,4253,Delaware,Delaware State-Level Estimate,
1998,744000,5672,21,499,1445,3707,34230,6395,24649,3186,Delaware,Delaware State-Level Estimate,
1999,753538,5534,24,529,1492,3489,30922,5245,22634,3043,Delaware,Delaware State-Level Estimate,
2000,783600,5363,25,424,1394,3520,29727,5216,21360,3151,Delaware,Delaware State-Level Estimate,
2001,796599,4868,23,420,1156,3269,27399,5144,19476,2779,Delaware,Delaware State-Level Estimate,
2002,805945,4836,26,358,1154,3298,26967,5355,18555,3057,Delaware,Delaware State-Level Estimate,
2003,818166,5525,21,370,1441,3693,27943,6066,18933,2944,Delaware,Delaware State-Level Estimate,
2004,830069,5105,28,357,1343,3377,27256,5669,19285,2302,Delaware,Delaware State-Level Estimate,
2005,841741,5332,37,377,1306,3612,26245,5811,18085,2349,Delaware,Delaware State-Level Estimate,
2006,853476,5983,42,417,1791,3733,29670,6337,20449,2884,Delaware,Delaware State-Level Estimate,
2007,864764,6100,39,341,1763,3957,29216,6420,20454,2342,Delaware,Delaware State-Level Estimate,
2008,873092,6187,57,371,1847,3912,31385,6783,22045,2557,Delaware,Delaware State-Level Estimate,
2009,885122,5713,41,395,1680,3597,29685,6943,20836,1906,Delaware,Delaware State-Level Estimate,
2010,899792,5608,51,326,1839,3392,31078,7550,21593,1935,Delaware,Delaware State-Level Estimate,
2011,908137,5144,48,307,1558,3231,31163,7617,22001,1545,Delaware,Delaware State-Level Estimate,
2012,917053,5048,56,249,1498,3245,30707,7389,21880,1438,Delaware,Delaware State-Level Estimate,
2013,925240,4633,41,399,1233,2960,29001,6299,21347,1355,Delaware,Delaware State-Level Estimate,
2014,935614,4576,54,386,1269,2867,27900,5768,20865,1267,Delaware,Delaware State-Level Estimate,
2015,944076,4760,62,361,1240,3097,25545,4797,19555,1193,Delaware,Delaware State-Level Estimate,
2016,952698,4859,58,311,1359,3131,26370,5028,19812,1530,Delaware,Delaware State-Level Estimate,
2017,957078,4377,51,351,1082,2893,23430,3960,18108,1362,Delaware,Delaware State-Level Estimate,
2018,967171,4097,48,338,866,2845,22481,3158,17847,1476,Delaware,Delaware State-Level Estimate,
