agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Panama City,1980,Florida,FL,33100,FL00301,FL0030100,12,005,12005,local police department,"cities 25,000-49,999",south atlantic,suburban,131,128,3,112,19,110,2,18,2,0,0,0,0,0,2,7,6,7,4,5,6,4,22,14,10,8,5,4,3,1,4,0,0,1,0,0,0,1,2,2,1,0,1,1,4,3,0,2,0,0,1,0,0,73,54,1,0,2,1,0,0
Calloway,1980,Florida,FL,7020,FL00302,FL0030200,12,005,12005,local police department,"cities 2,500-9,999",south atlantic,suburban,3,2,1,3,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Cedar Grove,1980,Florida,FL,1098,FL00303,FL0030300,12,005,12005,local police department,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico Beach,1980,Florida,FL,625,FL00304,FL0030400,12,005,12005,local police department,"cities under 2,500",south atlantic,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Springfield,1980,Florida,FL,7073,FL00305,FL0030500,12,005,12005,local police department,"cities 2,500-9,999",south atlantic,suburban,12,9,3,10,2,7,3,2,3,0,0,0,3,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0
Panama City Beach,1980,Florida,FL,2091,FL00306,FL0030600,12,005,12005,local police department,"cities under 2,500",south atlantic,suburban,16,13,3,16,0,13,3,0,3,0,0,0,0,1,2,2,1,0,1,0,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0
Lynn Haven,1980,Florida,FL,6224,FL00307,FL0030700,12,005,12005,local police department,"cities 2,500-9,999",south atlantic,suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Parker,1980,Florida,FL,4283,FL00326,FL0032600,12,005,12005,local police department,"cities 2,500-9,999",south atlantic,suburban,2,0,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bay Co Div Beverage,1980,Florida,FL,0,FL003DB,FL003DB00,12,005,12005,special jurisdiction,"msa cnty under 10,000",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford,1980,Florida,FL,14723,FL00400,FL0040000,12,007,12007,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,23,23,0,23,0,23,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,4,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0
Starke,1980,Florida,FL,5324,FL00401,FL0040100,12,007,12007,local police department,"cities 2,500-9,999",south atlantic,non-suburban,26,23,3,15,11,14,1,9,1,0,0,0,1,0,0,1,0,2,0,0,2,1,1,1,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,1,3,1,0,0,0,0,0,0,10,13,0,0,1,2,0,0
Brevard,1980,Florida,FL,110349,FL00500,FL0050000,12,009,12009,sheriffs office,"msa cnty 100,000 or over",south atlantic,suburban,85,74,11,78,7,70,8,4,8,0,0,0,1,2,5,0,2,4,12,1,1,3,9,13,5,7,6,2,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,62,12,0,0,7,4,0,0
Cocoa,1980,Florida,FL,16021,FL00502,FL0050200,12,009,12009,local police department,"cities 10,000-24,999",south atlantic,non-suburban,47,27,20,34,13,21,13,6,13,0,0,6,2,2,3,1,0,0,2,0,2,0,5,4,3,0,2,1,1,0,0,0,0,3,1,0,3,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,16,0,0,3,17,0,0
Cocoa Beach,1980,Florida,FL,10890,FL00503,FL0050300,12,009,12009,local police department,"cities 10,000-24,999",south atlantic,suburban,28,27,1,21,7,20,1,7,1,0,0,1,0,0,0,2,1,2,1,2,0,2,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,26,1,0,0,1,0,0,0
Indialantic,1980,Florida,FL,2924,FL00505,FL0050500,12,009,12009,local police department,"cities 2,500-9,999",south atlantic,suburban,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
Indian Harbour Beach,1980,Florida,FL,5974,FL00506,FL0050600,12,009,12009,local police department,"cities 2,500-9,999",south atlantic,suburban,9,5,4,9,0,5,4,0,4,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Melbourne,1980,Florida,FL,45986,FL00507,FL0050700,12,009,12009,local police department,"cities 25,000-49,999",south atlantic,non-suburban,54,29,25,43,11,26,16,3,16,1,2,4,1,3,6,0,1,1,1,0,0,4,3,5,4,1,3,2,1,0,0,0,0,1,1,3,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,17,0,0,12,13,0,0
Melbourne Beach,1980,Florida,FL,2648,FL00508,FL0050800,12,009,12009,local police department,"cities 2,500-9,999",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rockledge,1980,Florida,FL,11735,FL00509,FL0050900,12,009,12009,local police department,"cities 10,000-24,999",south atlantic,suburban,14,11,3,11,3,9,2,2,2,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,3,0,0,1,2,0,0
Satellite Beach,1980,Florida,FL,9149,FL00510,FL0051000,12,009,12009,local police department,"cities 2,500-9,999",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Titusville,1980,Florida,FL,31738,FL00511,FL0051100,12,009,12009,local police department,"cities 25,000-49,999",south atlantic,non-suburban,56,42,14,50,6,38,12,4,12,0,1,1,2,2,6,1,4,1,3,3,0,0,7,2,2,2,6,0,0,0,7,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,19,23,0,0,5,9,0,0
Palm Bay,1980,Florida,FL,18015,FL00512,FL0051200,12,009,12009,local police department,"cities 10,000-24,999",south atlantic,suburban,20,18,2,16,4,14,2,4,2,0,0,0,1,0,1,0,0,0,1,2,0,1,1,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,11,7,0,0,1,1,0,0
West Melbourne,1980,Florida,FL,5052,FL00516,FL0051600,12,009,12009,local police department,"cities 2,500-9,999",south atlantic,suburban,7,7,0,4,3,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Broward,1980,Florida,FL,193234,FL00600,FL0060000,12,011,12011,sheriffs office,"msa cnty 100,000 or over",south atlantic,suburban,260,189,71,234,26,177,56,12,56,1,4,11,10,14,17,11,6,10,12,10,8,5,44,24,23,11,3,5,1,4,0,0,0,3,3,4,4,1,0,0,0,0,0,1,4,1,2,1,1,0,1,0,0,112,77,0,0,35,35,1,0
Dania,1980,Florida,FL,11862,FL00601,FL0060100,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,21,21,0,18,3,18,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13,8,0,0,0,0,0,0
Deerfield Beach,1980,Florida,FL,31468,FL00602,FL0060200,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,14,9,5,14,0,9,5,0,5,0,0,2,0,3,0,0,1,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,2,3,0,0
Fort Lauderdale,1980,Florida,FL,154035,FL00603,FL0060300,12,011,12011,local police department,"cities 100,000-249,999",south atlantic,non-suburban,200,182,18,177,23,161,16,21,16,0,0,3,1,2,10,0,1,0,0,1,0,0,3,5,9,20,22,32,35,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,4,10,3,0,117,65,0,0,9,9,0,0
Hallandale,1980,Florida,FL,36772,FL00604,FL0060400,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,77,52,25,73,4,49,24,3,24,0,1,4,4,10,5,2,0,4,1,1,6,3,14,5,8,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,31,21,0,0,13,12,0,0
Hollywood,1980,Florida,FL,116832,FL00605,FL0060500,12,011,12011,local police department,"cities 100,000-249,999",south atlantic,non-suburban,118,93,25,112,6,88,23,5,23,1,1,3,6,6,7,4,4,3,6,7,6,4,17,10,8,6,5,2,1,2,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,76,17,0,0,12,13,0,0
Plantation,1980,Florida,FL,48464,FL00606,FL0060600,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,16,11,5,13,3,9,4,2,4,0,0,1,3,0,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,3,2,0,0
Pompano Beach,1980,Florida,FL,51590,FL00607,FL0060700,12,011,12011,local police department,"cities 50,000-99,999",south atlantic,suburban,122,89,33,103,19,78,25,11,25,0,2,7,3,8,5,5,3,2,5,7,1,6,10,14,5,10,4,1,1,1,3,0,1,0,2,3,2,1,0,2,0,0,0,1,4,1,0,1,1,0,0,0,0,38,51,0,0,15,18,0,0
Pembroke Pines,1980,Florida,FL,35648,FL00608,FL0060800,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,23,18,5,20,3,16,3,2,3,1,0,0,2,0,1,1,3,1,0,0,1,0,3,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,4,0,0,5,0,0,0
Wilton Manors,1980,Florida,FL,12718,FL00609,FL0060900,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,16,15,1,14,2,13,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,5,0,0,1,0,0,0
Cooper City,1980,Florida,FL,10106,FL00610,FL0061000,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,12,7,5,12,0,7,5,0,5,0,1,2,0,0,2,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0
Coconut Creek,1980,Florida,FL,6314,FL00611,FL0061100,12,011,12011,local police department,"cities 2,500-9,999",south atlantic,suburban,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Davie,1980,Florida,FL,20548,FL00612,FL0061200,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,21,18,3,19,2,16,3,2,3,0,0,0,1,1,1,1,0,3,1,2,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,1,3,0,0,0
Hacienda Village,1980,Florida,FL,130,FL00613,FL0061300,12,011,12011,local police department,"cities under 2,500",south atlantic,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Hillsboro Beach,1980,Florida,FL,1524,FL00614,FL0061400,12,011,12011,local police department,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale-by-the-sea,1980,Florida,FL,2570,FL00616,FL0061600,12,011,12011,local police department,"cities 2,500-9,999",south atlantic,suburban,3,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
Lauderhill,1980,Florida,FL,36779,FL00618,FL0061800,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,30,20,10,24,6,16,8,4,8,0,3,1,0,4,0,0,1,0,0,2,0,0,3,3,4,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,13,7,0,0,5,5,0,0
Lighthouse Point,1980,Florida,FL,11420,FL00620,FL0062000,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,5,5,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Margate,1980,Florida,FL,35867,FL00621,FL0062100,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,53,24,29,49,4,23,26,1,26,0,8,3,3,6,6,1,1,1,3,3,0,1,4,3,2,1,0,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,29,0,0,0
Miramar,1980,Florida,FL,32651,FL00622,FL0062200,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,19,18,1,19,0,18,1,0,1,0,0,0,0,1,0,4,3,0,0,0,1,2,2,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,1,0,0,0
North Lauderdale,1980,Florida,FL,17626,FL00623,FL0062300,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,47,20,27,40,7,20,19,0,19,1,4,4,2,7,2,1,1,0,0,2,1,0,5,4,1,2,3,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,27,0,0,0
Oakland Park,1980,Florida,FL,20280,FL00624,FL0062400,12,011,12011,local police department,"cities 10,000-24,999",south atlantic,suburban,55,53,2,46,9,44,2,9,2,0,0,0,0,2,0,1,2,2,2,8,1,2,10,6,5,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,0,0,1,0,0,0,0,0,46,6,0,1,2,0,0,0
Sunrise Village,1980,Florida,FL,39448,FL00627,FL0062700,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,24,15,9,24,0,15,9,0,9,0,0,2,3,3,1,1,1,1,1,1,0,0,4,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,7,2,0,0
Coral Springs,1980,Florida,FL,36883,FL00628,FL0062800,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,22,15,7,19,3,14,5,1,5,0,1,2,0,0,2,1,1,1,0,1,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,2,0,0,7,0,0,0
Tamarac,1980,Florida,FL,28206,FL00631,FL0063100,12,011,12011,local police department,"cities 25,000-49,999",south atlantic,suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Broward Co Crim Law Enf,1980,Florida,FL,0,FL006DL,FL006DL00,12,011,12011,special jurisdiction,"msa cnty under 10,000",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broward Co Marine Patrol,1980,Florida,FL,0,FL006MP,FL006MP00,12,011,12011,special jurisdiction,"msa cnty under 10,000",south atlantic,suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Calhoun,1980,Florida,FL,6128,FL00700,FL0070000,12,013,12013,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,8,8,0,7,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0
Altha,1980,Florida,FL,477,FL00701,FL0070100,12,013,12013,local police department,"cities under 2,500",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blountstown,1980,Florida,FL,2578,FL00702,FL0070200,12,013,12013,local police department,"cities 2,500-9,999",south atlantic,non-suburban,6,6,0,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Charlotte,1980,Florida,FL,49856,FL00800,FL0080000,12,015,12015,sheriffs office,"non-msa cnty 25,000-99,999",south atlantic,non-suburban,31,25,6,30,1,24,6,1,6,0,0,0,0,4,2,2,2,2,2,0,2,2,2,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,2,0,0,6,0,0,0
Punta Gorda,1980,Florida,FL,6485,FL00802,FL0080200,12,015,12015,local police department,"cities 2,500-9,999",south atlantic,non-suburban,6,5,1,4,2,3,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0
Citrus,1980,Florida,FL,46580,FL00900,FL0090000,12,017,12017,sheriffs office,"non-msa cnty 25,000-99,999",south atlantic,non-suburban,54,48,6,49,5,43,6,5,6,0,1,0,1,2,2,1,4,1,4,1,1,0,5,3,6,9,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,45,3,0,0,6,0,0,0
