agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,rape_tot_arrests,rape_tot_adult,rape_tot_juv,rape_tot_male,rape_tot_female,rape_tot_male_adult,rape_tot_male_juv,rape_tot_female_adult,rape_tot_female_juv,rape_male_under_10,rape_male_10_12,rape_male_13_14,rape_male_15,rape_male_16,rape_male_17,rape_male_18,rape_male_19,rape_male_20,rape_male_21,rape_male_22,rape_male_23,rape_male_24,rape_male_25_29,rape_male_30_34,rape_male_35_39,rape_male_40_44,rape_male_45_49,rape_male_50_54,rape_male_55_59,rape_male_60_64,rape_male_over_64,rape_female_under_10,rape_female_10_12,rape_female_13_14,rape_female_15,rape_female_16,rape_female_17,rape_female_18,rape_female_19,rape_female_20,rape_female_21,rape_female_22,rape_female_23,rape_female_24,rape_female_25_29,rape_female_30_34,rape_female_35_39,rape_female_40_44,rape_female_45_49,rape_female_50_54,rape_female_55_59,rape_female_60_64,rape_female_over_64,rape_adult_white,rape_adult_black,rape_adult_asian,rape_adult_indian,rape_juv_white,rape_juv_black,rape_juv_asian,rape_juv_indian
Claiborne,1980,Mississippi,MS,6862,MS01100,MS0110000,28,021,28021,sheriffs office,"non-msa cnty under 10,000",east south central,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Clarke,1980,Mississippi,MS,14158,MS01200,MS0120000,28,023,28023,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quitman,1980,Mississippi,MS,2678,MS01201,MS0120100,28,023,28023,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Point,1980,Mississippi,MS,8759,MS01301,MS0130100,28,025,28025,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahoma,1980,Mississippi,MS,15582,MS01400,MS0140000,28,027,28027,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clarksdale,1980,Mississippi,MS,21034,MS01401,MS0140100,28,027,28027,local police department,"cities 10,000-24,999",east south central,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Copiah,1980,Mississippi,MS,17096,MS01500,MS0150000,28,029,28029,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Hazlehurst,1980,Mississippi,MS,4357,MS01502,MS0150200,28,029,28029,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covington,1980,Mississippi,MS,16003,MS01600,MS0160000,28,031,28031,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
De Soto,1980,Mississippi,MS,50899,MS01700,MS0170000,28,033,28033,sheriffs office,"msa cnty 25,000-99,999",east south central,suburban,5,1,4,5,0,1,4,0,4,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0
Hernando,1980,Mississippi,MS,2990,MS01703,MS0170300,28,033,28033,local police department,"cities 2,500-9,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hattiesburg,1980,Mississippi,MS,39761,MS01801,MS0180100,28,035,28035,local police department,"cities 25,000-49,999",east south central,non-suburban,13,12,1,13,0,12,1,0,1,0,0,0,0,0,1,1,4,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0
Petal,1980,Mississippi,MS,8379,MS01802,MS0180200,28,035,28035,local police department,"cities 2,500-9,999",east south central,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Franklin,1980,Mississippi,MS,7517,MS01900,MS0190000,28,037,28037,sheriffs office,"non-msa cnty under 10,000",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxie,1980,Mississippi,MS,588,MS01904,MS0190400,28,037,28037,local police department,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucedale,1980,Mississippi,MS,2400,MS02001,MS0200100,28,039,28039,local police department,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,1980,Mississippi,MS,11469,MS02201,MS0220100,28,043,28043,local police department,"cities 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,1980,Mississippi,MS,12519,MS02300,MS0230000,28,045,28045,sheriffs office,"msa cnty 10,000-24,999",east south central,suburban,8,6,2,8,0,6,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0
Waveland,1980,Mississippi,MS,4223,MS02303,MS0230300,28,045,28045,local police department,"cities 2,500-9,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biloxi,1980,Mississippi,MS,49352,MS02401,MS0240100,28,047,28047,local police department,"cities 25,000-49,999",east south central,non-suburban,12,12,0,12,0,12,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
Gulfport,1980,Mississippi,MS,39603,MS02402,MS0240200,28,047,28047,local police department,"cities 25,000-49,999",east south central,non-suburban,15,12,3,15,0,12,3,0,3,0,0,0,0,3,0,4,1,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,3,0,0
Long Beach,1980,Mississippi,MS,7958,MS02403,MS0240300,28,047,28047,local police department,"cities 2,500-9,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass Christian,1980,Mississippi,MS,5056,MS02404,MS0240400,28,047,28047,local police department,"cities 2,500-9,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,1980,Mississippi,MS,29689,MS02500,MS0250000,28,049,28049,sheriffs office,"msa cnty 25,000-99,999",east south central,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Jackson,1980,Mississippi,MS,200682,MS02501,MS0250100,28,049,28049,local police department,"cities 100,000-249,999",east south central,non-suburban,25,20,5,25,0,20,5,0,5,0,0,1,2,2,0,0,1,1,2,2,3,1,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,5,0,0
Clinton,1980,Mississippi,MS,14634,MS02503,MS0250300,28,049,28049,local police department,"cities 10,000-24,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holmes,1980,Mississippi,MS,14063,MS02600,MS0260000,28,051,28051,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durant,1980,Mississippi,MS,2888,MS02601,MS0260100,28,051,28051,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humphreys,1980,Mississippi,MS,10928,MS02700,MS0270000,28,053,28053,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belzoni,1980,Mississippi,MS,2982,MS02701,MS0270100,28,053,28053,local police department,"cities 2,500-9,999",east south central,non-suburban,2,0,2,2,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Issaquena,1980,Mississippi,MS,2518,MS02800,MS0280000,28,055,28055,sheriffs office,"non-msa cnty under 10,000",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,1980,Mississippi,MS,3266,MS02901,MS0290100,28,057,28057,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,1980,Mississippi,MS,55111,MS03000,MS0300000,28,059,28059,sheriffs office,"msa cnty 25,000-99,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss Point,1980,Mississippi,MS,19112,MS03001,MS0300100,28,059,28059,local police department,"cities 10,000-24,999",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascagoula,1980,Mississippi,MS,29414,MS03003,MS0300300,28,059,28059,local police department,"cities 25,000-49,999",east south central,suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
Jasper,1980,Mississippi,MS,14454,MS03100,MS0310000,28,061,28061,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Springs,1980,Mississippi,MS,1877,MS03101,MS0310100,28,061,28061,local police department,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,1980,Mississippi,MS,2009,MS03201,MS0320100,28,063,28063,local police department,"cities under 2,500",east south central,non-suburban,3,0,3,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Ellisville,1980,Mississippi,MS,4653,MS03401,MS0340100,28,067,28067,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurel,1980,Mississippi,MS,21944,MS03402,MS0340200,28,067,28067,local police department,"cities 10,000-24,999",east south central,non-suburban,2,1,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Kemper,1980,Mississippi,MS,8941,MS03500,MS0350000,28,069,28069,sheriffs office,"non-msa cnty under 10,000",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford,1980,Mississippi,MS,9887,MS03601,MS0360100,28,071,28071,local police department,"cities 2,500-9,999",east south central,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
University Of Miss,1980,Mississippi,MS,0,MS03602,MS0360200,28,071,28071,special jurisdiction,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar,1980,Mississippi,MS,21590,MS03700,MS0370000,28,073,28073,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Purvis,1980,Mississippi,MS,2316,MS03701,MS0370100,28,073,28073,local police department,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,1980,Mississippi,MS,29803,MS03800,MS0380000,28,075,28075,sheriffs office,"non-msa cnty 25,000-99,999",east south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Meridian,1980,Mississippi,MS,46129,MS03801,MS0380100,28,075,28075,local police department,"cities 25,000-49,999",east south central,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Lawrence,1980,Mississippi,MS,12529,MS03900,MS0390000,28,077,28077,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carthage,1980,Mississippi,MS,3424,MS04001,MS0400100,28,079,28079,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,1980,Mississippi,MS,29152,MS04100,MS0410000,28,081,28081,sheriffs office,"non-msa cnty 25,000-99,999",east south central,non-suburban,12,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
Tupelo,1980,Mississippi,MS,23896,MS04101,MS0410100,28,081,28081,local police department,"cities 10,000-24,999",east south central,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Verona,1980,Mississippi,MS,2509,MS04105,MS0410500,28,081,28081,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood,1980,Mississippi,MS,20151,MS04201,MS0420100,28,083,28083,local police department,"cities 10,000-24,999",east south central,non-suburban,4,3,1,4,0,3,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
Itta Bena,1980,Mississippi,MS,2901,MS04202,MS0420200,28,083,28083,local police department,"cities 2,500-9,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,1980,Mississippi,MS,19298,MS04300,MS0430000,28,085,28085,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brookhaven,1980,Mississippi,MS,10832,MS04301,MS0430100,28,085,28085,local police department,"cities 10,000-24,999",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowndes,1980,Mississippi,MS,29944,MS04400,MS0440000,28,087,28087,sheriffs office,"non-msa cnty 25,000-99,999",east south central,non-suburban,3,3,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
