agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,arson_male_under_10,arson_male_10_12,arson_male_13_14,arson_male_15,arson_male_16,arson_male_17,arson_male_18,arson_male_19,arson_male_20,arson_male_21,arson_male_22,arson_male_23,arson_male_24,arson_male_25_29,arson_male_30_34,arson_male_35_39,arson_male_40_44,arson_male_45_49,arson_male_50_54,arson_male_55_59,arson_male_60_64,arson_male_over_64,arson_female_under_10,arson_female_10_12,arson_female_13_14,arson_female_15,arson_female_16,arson_female_17,arson_female_18,arson_female_19,arson_female_20,arson_female_21,arson_female_22,arson_female_23,arson_female_24,arson_female_25_29,arson_female_30_34,arson_female_35_39,arson_female_40_44,arson_female_45_49,arson_female_50_54,arson_female_55_59,arson_female_60_64,arson_female_over_64,arson_adult_white,arson_adult_black,arson_adult_asian,arson_adult_indian,arson_juv_white,arson_juv_black,arson_juv_asian,arson_juv_indian
Washington,1985,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,49,39,10,33,16,28,5,11,5,0,2,0,1,0,2,0,0,0,0,2,1,1,7,8,3,2,1,3,0,0,0,0,0,2,1,1,1,0,1,2,0,0,0,1,3,1,1,2,0,0,0,0,0,3,35,1,0,0,10,0,0
Zoological Park Police,1985,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1986,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,38,31,7,25,13,18,7,13,7,0,2,0,3,1,1,0,2,0,0,0,0,3,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,2,1,0,0,0,1,0,0,1,30,0,0,1,6,0,0
Zoological Park Police,1986,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1987,District of Columbia,NA,622e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,45,41,4,34,11,32,1,9,1,1,0,0,1,0,0,2,2,2,0,0,1,0,7,6,6,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,2,3,1,0,0,0,0,1,39,1,0,0,4,0,0
Washington,1988,District of Columbia,NA,62e4,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,54,46,8,39,15,34,5,12,5,0,1,1,0,2,1,0,0,0,0,0,0,1,4,10,8,7,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,4,4,1,0,0,0,0,1,1,45,0,0,0,8,0,0
Zoological Park Police,1988,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1989,District of Columbia,NA,604e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,46,38,8,33,13,25,7,13,7,1,3,2,1,1,0,0,0,0,1,0,1,0,8,7,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,2,1,0,3,0,0,0,0,2,36,0,0,0,8,0,0
Washington,1990,District of Columbia,NA,606900,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,35,33,2,27,8,25,1,8,1,1,0,1,0,0,0,2,1,0,1,0,1,1,3,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,5,28,0,0,0,2,0,0
Washington,1991,District of Columbia,NA,598e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,38,35,3,30,8,27,3,8,3,0,0,1,1,0,1,0,0,1,4,0,0,2,2,5,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,3,32,0,0,0,3,0,0
Zoological Park Police,1991,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1992,District of Columbia,NA,589e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,50,38,12,37,13,25,12,13,12,0,0,4,3,4,1,1,3,0,0,1,2,0,6,2,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,0,0,1,0,0,4,34,0,0,0,12,0,0
Zoological Park Police,1992,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1993,District of Columbia,NA,578e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,32,32,0,22,10,22,0,10,0,0,0,0,0,0,0,0,0,2,2,0,0,1,7,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,1,1,0,0,5,27,0,0,0,0,0,0
Washington,1994,District of Columbia,NA,57e4,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,27,23,4,19,8,17,2,6,2,0,0,1,0,0,1,0,1,0,2,0,0,0,3,0,4,3,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,3,20,0,0,0,4,0,0
Washington,1995,District of Columbia,NA,554e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,15,15,0,11,4,11,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Metro Transit Police,2001,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2002,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2003,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Zoological Park,2003,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2004,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2005,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Zoological Park,2005,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2006,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Metro Transit Police,2007,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2008,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2009,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2010,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Metro Transit Police,2011,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2012,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2013,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2014,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Metro Transit Police,2015,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,special jurisdiction,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
