agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Hawaii County,1982,Hawaii,HI,56828,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,125,51,74,110,15,47,61,4,61,2,4,19,8,16,14,9,9,4,4,2,1,0,4,2,4,4,2,1,0,0,1,0,2,1,3,2,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,24,0,27,0,35,1,38,0
Hilo,1982,Hawaii,HI,38180,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,99,42,57,87,12,40,47,2,47,0,8,9,13,9,8,6,6,5,3,2,7,2,4,3,1,0,1,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,30,0,19,0,38,0
Honolulu,1982,Hawaii,HI,785181,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1468,675,793,1319,149,613,678,62,678,28,90,186,146,122,134,116,96,48,58,55,35,21,96,44,19,9,5,0,7,1,3,3,15,26,22,9,12,8,5,5,1,3,4,0,20,6,1,2,1,4,0,2,0,211,35,428,1,112,20,661,0
Kauai County,1982,Hawaii,HI,40306,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,87,42,45,79,8,37,39,5,39,3,10,13,9,5,2,2,4,1,2,2,0,14,7,3,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,26,0,16,0,11,0,34,0
Maui County,1982,Hawaii,HI,73505,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,222,81,141,201,21,71,127,10,127,3,18,28,25,31,25,12,7,15,5,3,2,4,9,7,4,1,1,0,0,1,0,0,1,1,3,3,3,4,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,45,1,35,0,25,0,116,0
Hawaii County,1983,Hawaii,HI,58485,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,81,30,51,69,12,27,41,3,41,1,5,14,9,6,7,1,3,8,1,1,0,0,5,4,4,0,0,0,0,0,0,0,2,3,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,1,14,0,17,1,33,0
Hilo,1983,Hawaii,HI,39293,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,79,32,47,67,12,30,37,2,37,0,4,10,8,12,3,5,2,3,2,1,4,2,5,3,3,0,0,0,0,0,0,0,0,4,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,20,0,15,0,32,0
Honolulu,1983,Hawaii,HI,808092,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1182,604,578,1087,95,555,514,49,514,18,80,156,105,76,97,98,86,61,34,43,25,42,88,37,15,13,5,4,2,0,2,1,6,18,8,11,2,7,5,2,3,4,1,4,13,5,2,0,2,1,0,0,0,180,31,390,3,109,11,458,0
Kauai County,1983,Hawaii,HI,41481,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,63,32,31,55,8,28,24,4,24,3,15,2,3,2,2,2,2,3,1,5,2,2,5,5,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,1,15,0,16,0,15,0
Maui County,1983,Hawaii,HI,75649,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,208,68,140,166,42,56,109,12,109,1,15,34,17,23,20,5,9,3,2,5,5,0,14,6,6,0,0,1,0,0,0,0,2,11,8,8,1,3,0,1,0,3,3,0,0,0,1,0,1,0,0,0,0,37,1,30,0,30,0,110,0
Hawaii County,1984,Hawaii,HI,67605,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,131,59,72,120,11,55,62,4,62,3,7,25,14,10,6,7,7,14,3,7,0,1,5,7,2,2,0,0,0,0,0,0,2,3,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,28,0,31,0,35,0,37,0
Hilo,1984,Hawaii,HI,36722,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,65,38,27,62,3,36,22,2,22,4,4,10,3,3,2,5,2,4,3,5,3,2,5,4,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,26,0,10,0,17,0
Honolulu,1984,Hawaii,HI,810772,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1007,500,507,918,89,466,443,34,443,9,60,154,84,62,83,76,73,48,53,24,16,19,73,46,14,9,1,8,3,2,1,0,4,23,8,5,15,6,1,4,2,2,3,2,4,1,2,3,2,0,1,0,1,148,24,326,2,78,6,423,0
Kauai County,1984,Hawaii,HI,43730,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,75,37,38,67,8,32,30,5,30,5,3,21,2,1,3,1,2,6,2,0,1,0,9,8,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,23,1,11,2,25,0,13,0
Maui County,1984,Hawaii,HI,80171,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,156,60,96,139,17,58,78,2,78,3,10,24,16,14,14,10,6,1,5,3,4,2,14,7,1,2,1,0,2,0,0,0,4,3,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,28,0,21,0,75,0
Hawaii County,1985,Hawaii,HI,70698,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,167,53,114,153,14,52,99,1,99,2,12,32,24,16,15,7,9,2,3,2,3,4,9,10,1,0,0,1,0,0,1,2,3,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,33,0,57,1,56,0
Hilo,1985,Hawaii,HI,37259,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,70,37,33,64,6,35,28,2,28,1,8,9,5,4,2,4,8,0,2,3,0,0,10,4,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,25,0,12,2,19,0
Honolulu,1985,Hawaii,HI,817083,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1151,554,597,1078,73,518,544,36,544,16,76,177,113,100,78,58,58,67,43,33,36,31,99,40,29,8,8,1,3,3,1,4,1,11,6,8,7,2,1,2,4,1,5,0,15,3,2,0,1,0,0,0,0,164,18,372,0,85,4,508,0
Kauai County,1985,Hawaii,HI,44644,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,111,76,35,105,6,74,31,2,31,0,9,8,4,4,6,12,16,7,14,4,3,1,4,8,2,0,2,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,1,51,0,8,1,26,0
Maui County,1985,Hawaii,HI,84316,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,209,105,104,178,31,92,85,13,85,1,7,16,19,17,26,8,11,6,4,4,7,5,17,10,13,4,0,3,0,0,0,0,2,7,6,2,1,0,0,1,2,0,1,0,6,2,0,1,0,0,0,0,0,57,0,48,0,32,0,72,0
Hawaii County,1986,Hawaii,HI,70693,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,140,65,75,123,17,59,58,6,58,6,5,16,18,9,10,7,6,4,5,4,2,5,12,8,4,0,2,0,0,0,0,0,1,4,5,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,36,1,28,0,28,2,45,0
Hilo,1986,Hawaii,HI,38094,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,109,38,71,96,13,35,61,3,61,0,11,17,14,9,10,7,6,2,1,3,0,7,3,2,1,2,0,0,0,0,1,1,0,1,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,11,1,26,0,23,2,37,9
Honolulu,1986,Hawaii,HI,823306,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1242,658,584,1166,76,627,533,31,533,6,70,164,83,109,107,95,79,54,45,18,25,28,125,49,78,4,3,22,0,1,1,0,6,13,10,8,8,1,1,4,3,2,0,0,12,3,0,5,0,0,0,0,0,171,34,452,1,89,8,487,0
Kauai County,1986,Hawaii,HI,44965,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,167,67,100,136,31,61,73,6,73,2,11,18,13,20,11,2,2,7,3,13,6,1,18,4,3,2,0,0,0,0,0,0,0,11,10,3,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,16,1,50,0,44,0,56,0
Maui County,1986,Hawaii,HI,84942,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,258,134,124,236,22,121,109,13,109,6,17,45,20,11,16,16,31,10,8,10,5,1,20,9,3,3,1,1,2,1,0,0,3,0,1,1,4,3,0,1,1,1,2,0,2,1,2,0,0,0,0,0,0,42,0,92,0,33,0,91,0
Hawaii County,1987,Hawaii,HI,75143,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,104,42,62,89,15,37,51,5,51,1,5,19,9,10,8,3,4,3,2,3,4,1,9,4,3,1,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,21,0,21,0,27,0,35,0
Hilo,1987,Hawaii,HI,38836,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,58,25,33,53,5,24,29,1,29,0,6,4,4,9,6,2,0,2,3,1,1,2,6,3,1,3,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,15,0,12,0,21,0
Honolulu,1987,Hawaii,HI,832614,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1269,618,651,1172,97,556,596,62,596,20,42,205,108,115,126,120,97,43,41,21,34,12,80,62,25,9,9,2,1,0,0,2,2,10,8,8,5,4,16,4,1,3,1,5,13,8,1,3,0,2,1,0,0,187,30,399,2,100,9,542,0
Kauai County,1987,Hawaii,HI,47202,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,129,59,70,111,18,47,63,12,63,1,5,18,10,23,7,1,6,7,8,0,5,0,15,2,3,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,16,0,43,0,12,0,58,0
Maui County,1987,Hawaii,HI,89205,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,155,89,66,138,17,83,52,6,52,3,7,13,13,9,10,6,10,3,5,7,6,3,13,13,9,2,3,2,1,0,0,1,0,4,2,3,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,43,2,44,0,8,0,58,0
Hawaii County,1988,Hawaii,HI,76152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,129,62,67,116,13,59,57,3,57,0,8,12,17,11,9,10,4,4,2,5,3,2,10,10,5,2,0,2,0,0,0,0,1,3,4,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,30,1,31,0,32,2,33,0
Hilo,1988,Hawaii,HI,39358,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,79,29,50,75,4,26,47,3,47,2,14,6,7,7,13,6,3,6,2,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,0,11,0,17,1,32,0
Honolulu,1988,Hawaii,HI,838656,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1483,763,720,1370,113,704,657,59,657,9,83,241,114,129,90,70,128,135,51,42,14,31,98,59,58,10,2,2,3,1,0,3,7,12,14,8,10,1,16,11,7,1,2,0,15,3,0,2,1,0,0,0,0,181,34,548,0,111,42,567,0
Kauai County,1988,Hawaii,HI,48062,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,147,68,79,136,11,65,70,3,70,1,10,28,8,10,14,4,4,6,0,20,1,0,13,8,5,0,1,0,0,3,0,1,2,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,4,29,0,8,0,71,0
Maui County,1988,Hawaii,HI,90772,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,217,109,108,194,23,99,93,10,93,2,11,46,17,9,10,3,15,13,11,6,2,4,18,9,12,5,1,0,0,0,0,1,6,4,1,0,1,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,48,1,60,0,18,0,90,0
Hawaii County,1989,Hawaii,HI,81912,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,159,75,84,142,17,70,69,5,69,3,11,22,9,13,14,8,11,5,4,4,5,1,12,8,6,5,1,0,0,0,0,0,2,7,1,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,38,2,34,1,39,1,44,0
Hilo,1989,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,99,32,67,89,10,28,60,4,60,1,2,12,20,14,12,1,3,1,2,4,0,2,8,3,3,0,1,0,0,0,0,0,0,2,1,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14,0,18,0,25,2,40,0
Kauai County,1989,Hawaii,HI,49915,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,101,48,53,88,13,42,44,6,44,2,1,21,9,6,7,13,1,0,1,0,2,5,5,8,6,0,0,1,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,25,3,20,0,14,0,39,0
Maui County,1989,Hawaii,HI,94160,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,184,102,82,167,17,89,69,13,69,9,11,22,11,8,17,11,12,7,4,7,6,3,19,6,9,3,2,0,0,0,0,0,3,0,0,0,1,4,1,0,2,1,0,0,1,2,0,0,2,0,0,0,0,38,1,63,0,13,0,69,0
Hawaii County,1990,Hawaii,HI,83263,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,143,84,59,108,35,68,37,16,37,3,3,8,8,13,5,8,7,9,1,8,5,2,11,11,2,2,0,1,1,0,0,0,0,13,3,0,3,2,1,1,2,1,2,2,3,1,1,0,0,0,0,0,0,44,0,40,0,12,0,47,0
Hilo,1990,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,82,25,57,75,7,22,49,3,49,4,1,13,13,11,11,3,5,3,0,1,1,1,4,2,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,1,16,1,19,1,37,0
Honolulu,1990,Hawaii,HI,836231,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1067,604,463,922,145,512,404,92,404,6,33,130,96,88,57,40,54,78,15,20,21,12,139,61,30,31,5,2,1,0,3,8,3,11,18,9,4,2,1,1,6,4,48,1,11,8,4,3,2,1,0,0,0,188,27,389,0,88,10,365,0
Kauai County,1990,Hawaii,HI,51177,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,138,67,71,122,16,63,56,4,56,3,5,7,15,24,5,18,10,9,6,2,0,5,7,2,3,1,0,0,0,0,0,1,1,2,6,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,17,0,50,0,23,0,48,0
Maui County,1990,Hawaii,HI,100504,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,148,74,74,131,17,68,60,6,60,3,10,12,10,16,12,10,6,6,6,2,7,0,12,10,6,2,0,1,0,0,0,0,1,5,1,4,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,29,3,42,0,21,1,52,0
Hawaii County,1991,Hawaii,HI,85274,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,185,64,121,162,23,55,105,9,105,2,18,31,15,25,16,4,4,3,7,5,5,2,6,2,6,4,4,1,2,0,0,0,1,4,3,3,3,0,2,1,0,0,0,0,1,3,0,2,0,0,0,0,0,30,2,32,0,36,0,85,0
Hilo,1991,Hawaii,HI,37949,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,89,27,62,82,7,25,56,2,56,1,5,15,9,18,9,3,9,2,1,1,1,1,4,2,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,20,0,19,0,43,0
Honolulu,1991,Hawaii,HI,856432,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1115,545,570,1008,107,505,496,40,496,7,41,186,77,126,66,109,49,48,28,20,26,13,89,56,31,28,2,1,2,3,0,1,5,20,18,18,5,0,14,3,1,4,2,0,9,4,1,1,0,0,1,0,0,145,34,366,0,131,43,396,0
Kauai County,1991,Hawaii,HI,52413,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,124,64,60,112,12,59,53,5,53,0,3,8,16,15,11,12,6,4,13,0,3,1,6,7,4,3,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,26,0,38,0,12,0,48,0
Maui County,1991,Hawaii,HI,102932,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 100,000 or over",pacific,non-suburban,190,96,94,166,24,85,80,11,80,1,18,22,24,5,11,9,11,3,6,6,3,4,12,11,7,4,4,3,1,0,1,1,5,3,4,0,0,1,2,0,0,2,0,1,2,1,0,0,1,1,0,0,0,51,1,44,0,23,3,66,2
Hawaii County,1992,Hawaii,HI,87152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,209,73,136,179,30,62,114,11,114,3,20,37,21,22,14,11,2,8,6,4,2,4,14,4,2,4,0,1,0,0,0,0,6,7,4,1,1,1,0,4,0,1,0,0,3,0,0,1,1,0,0,0,0,41,1,31,0,80,2,54,0
Hilo,1992,Hawaii,HI,38785,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,96,32,64,87,9,30,54,2,54,3,4,11,17,12,10,1,3,2,6,0,3,1,2,6,3,2,0,0,0,1,0,0,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,16,0,22,1,41,0
Honolulu,1992,Hawaii,HI,875297,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1223,657,566,1115,108,595,509,62,509,11,60,152,110,103,84,75,58,46,76,17,16,16,146,86,29,20,6,4,0,0,0,1,6,18,5,11,5,2,3,6,3,4,4,3,16,10,3,8,0,0,0,0,0,220,44,393,0,90,6,470,0
Kauai County,1992,Hawaii,HI,53567,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,105,49,56,92,13,43,44,6,44,5,14,13,4,6,7,7,4,3,2,2,2,2,9,8,4,0,0,0,0,0,0,1,1,2,2,0,1,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,27,2,20,0,11,0,45,0
Maui County,1992,Hawaii,HI,105199,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 100,000 or over",pacific,non-suburban,234,130,104,208,26,126,79,4,79,3,11,11,19,19,19,22,9,9,9,6,11,6,17,14,13,8,1,1,0,0,0,1,5,11,3,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,49,1,77,3,32,0,71,1
Hawaii County,1993,Hawaii,HI,92866,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,203,88,115,177,26,76,95,12,95,6,14,22,24,17,18,9,8,5,7,5,4,2,19,9,4,2,2,0,0,0,0,0,2,7,1,1,3,1,0,1,0,1,0,0,3,0,5,1,0,0,0,0,0,37,3,48,0,45,3,67,0
Hilo,1993,Hawaii,HI,39321,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,55,28,27,51,4,28,22,0,22,1,2,4,6,4,6,0,3,1,1,0,2,0,6,6,4,3,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,13,0,7,2,18,0
